Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет,question,answer,snippet
"Как узнать, какие требования предъявляются к парковочным местам при строительстве многоквартирного дома?","Требования к парковочным местам устанавливаются нормативами градостроительного проектирования, которые являются частью правил землепользования и застройки, разрабатываемых в соответствии со статьей 31 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,10417.0,10744.0,"26) нормативы градостроительного проектирования - совокупность расчетных
показателей, установленных в соответствии с настоящим Кодексом в целях обеспечения благоприятных
условий жизнедеятельности человека и подлежащих применению при подготовке документов
территориального планирования, градостроительного зонирования, документации по планировке
территории;","Как узнать, какие требования предъявляются к парковочным местам при строительстве многоквартирного дома?","Требования к парковочным местам устанавливаются нормативами градостроительного проектирования, которые являются частью правил землепользования и застройки, разрабатываемых в соответствии со статьей 31 Градостроительного кодекса Российской Федерации.","26) нормативы градостроительного проектирования - совокупность расчетных
показателей, установленных в соответствии с настоящим Кодексом в целях обеспечения благоприятных
условий жизнедеятельности человека и подлежащих применению при подготовке документов
территориального планирования, градостроительного зонирования, документации по планировке
территории;"
"Как узнать, какие экологические требования действуют при строительстве вблизи водного объекта?","Экологические требования устанавливаются Водным кодексом Российской Федерации и другими природоохранными нормативными актами, которые должны учитываться при подготовке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216.0,140766.0,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации, рабочей документации (если иное не предусмотрено частью 1.4 настоящей статьи), в
том числе путем внесения в них изменений в соответствии с настоящим Кодексом, применительно к
объектам капитального строительства и их частям, строящимся, реконструируемым в границах
принадлежащего застройщику или иному правообладателю (которому при осуществлении бюджетных
инвестиций в объекты капитального строительства государственной (муниципальной) собственности
органы государственной власти (государственные органы), Государственная корпорация по атомной
энергии ""Росатом"", Государственная корпорация по космической деятельности ""Роскосмос"", органы
управления государственными внебюджетными фондами или органы местного самоуправления
передали в случаях, установленных бюджетным законодательством Российской Федерации, на
основании соглашений свои полномочия государственного (муниципального) заказчика) земельного
участка, а также раздела проектной документации ""Смета на капитальный ремонт объекта капитального
строительства"" при проведении капитального ремонта объекта капитального строительства в случаях, 
предусмотренных частью 12.2 настоящей статьи.","Как узнать, какие экологические требования действуют при строительстве вблизи водного объекта?","Экологические требования устанавливаются Водным кодексом Российской Федерации и другими природоохранными нормативными актами, которые должны учитываться при подготовке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.","Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации, рабочей документации (если иное не предусмотрено частью 1.4 настоящей статьи), в
том числе путем внесения в них изменений в соответствии с настоящим Кодексом, применительно к
объектам капитального строительства и их частям, строящимся, реконструируемым в границах
принадлежащего застройщику или иному правообладателю (которому при осуществлении бюджетных
инвестиций в объекты капитального строительства государственной (муниципальной) собственности
органы государственной власти (государственные органы), Государственная корпорация по атомной
энергии ""Росатом"", Государственная корпорация по космической деятельности ""Роскосмос"", органы
управления государственными внебюджетными фондами или органы местного самоуправления
передали в случаях, установленных бюджетным законодательством Российской Федерации, на
основании соглашений свои полномочия государственного (муниципального) заказчика) земельного
участка, а также раздела проектной документации ""Смета на капитальный ремонт объекта капитального
строительства"" при проведении капитального ремонта объекта капитального строительства в случаях, 
предусмотренных частью 12.2 настоящей статьи."
"Как узнать, какие требования предъявляются к благоустройству территории при строительстве?","Требования к благоустройству территории могут устанавливаться правилами землепользования и застройки, а также проектной документацией, разработанной в соответствии со статьей 42 Градостроительного кодекса Российской Федерации (проекты планировки территории).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,13657.0,14388.0,"36) благоустройство территории - деятельность по реализации комплекса мероприятий, 
установленного правилами благоустройства территории муниципального образования, направленная на
обеспечение и повышение комфортности условий проживания граждан, по поддержанию и улучшению
санитарного и эстетического состояния территории муниципального образования, по содержанию
территорий населенных пунктов и расположенных на таких территориях объектов, в том числе
территорий общего пользования, земельных участков, зданий, строений, сооружений, прилегающих
территорий;","Как узнать, какие требования предъявляются к благоустройству территории при строительстве?","Требования к благоустройству территории могут устанавливаться правилами землепользования и застройки, а также проектной документацией, разработанной в соответствии со статьей 42 Градостроительного кодекса Российской Федерации (проекты планировки территории).","36) благоустройство территории - деятельность по реализации комплекса мероприятий, 
установленного правилами благоустройства территории муниципального образования, направленная на
обеспечение и повышение комфортности условий проживания граждан, по поддержанию и улучшению
санитарного и эстетического состояния территории муниципального образования, по содержанию
территорий населенных пунктов и расположенных на таких территориях объектов, в том числе
территорий общего пользования, земельных участков, зданий, строений, сооружений, прилегающих
территорий;"
"Что делать, если я считаю, что проект строительства нарушает нормы пожарной безопасности?","О нарушении норм пожарной безопасности следует сообщить в органы государственного пожарного надзора, которые осуществляют контроль в соответствии с требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,171093.0,171317.0,"Статья 51. Разрешение на строительство
...
1. Разрешение на строительство представляет собой документ, который подтверждает
соответствие проектной документации требованиям, установленным градостроительным регламентом...","Что делать, если я считаю, что проект строительства нарушает нормы пожарной безопасности?","О нарушении норм пожарной безопасности следует сообщить в органы государственного пожарного надзора, которые осуществляют контроль в соответствии с требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).","Статья 51. Разрешение на строительство
...
1. Разрешение на строительство представляет собой документ, который подтверждает
соответствие проектной документации требованиям, установленным градостроительным регламентом..."
"Как узнать, какие требования предъявляются к шумоизоляции в многоквартирных домах?","Требования к шумоизоляции устанавливаются строительными нормами и правилами, которые разрабатываются в соответствии с Федеральным законом ""О техническом регулировании"" и учитываются при проектировании согласно статье 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216.0,140766.0,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации...","Как узнать, какие требования предъявляются к шумоизоляции в многоквартирных домах?","Требования к шумоизоляции устанавливаются строительными нормами и правилами, которые разрабатываются в соответствии с Федеральным законом ""О техническом регулировании"" и учитываются при проектировании согласно статье 48 Градостроительного кодекса Российской Федерации.","Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если при проведении строительных работ на соседнем участке поврежден мой дом?",В случае повреждения дома следует обратиться к застройщику с требованием о возмещении ущерба в соответствии со статьей 60 Градостроительного кодекса Российской Федерации (ответственность застройщика).,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,326028.0,326708.0,"Статья 60. Возмещение вреда, причиненного вследствие разрушения, повреждения объекта
капитального строительства, нарушения требований безопасности при строительстве, 
сносе объекта капитального строительства, требований к обеспечению безопасной
эксплуатации здания, сооружения
...
1. В случае причинения вреда личности или имуществу гражданина, имуществу юридического
лица вследствие разрушения, повреждения здания, сооружения либо части здания или сооружения...","Что делать, если при проведении строительных работ на соседнем участке поврежден мой дом?",В случае повреждения дома следует обратиться к застройщику с требованием о возмещении ущерба в соответствии со статьей 60 Градостроительного кодекса Российской Федерации (ответственность застройщика).,"Статья 60. Возмещение вреда, причиненного вследствие разрушения, повреждения объекта
капитального строительства, нарушения требований безопасности при строительстве, 
сносе объекта капитального строительства, требований к обеспечению безопасной
эксплуатации здания, сооружения
...
1. В случае причинения вреда личности или имуществу гражданина, имуществу юридического
лица вследствие разрушения, повреждения здания, сооружения либо части здания или сооружения..."
"Как узнать, какие требования предъявляются к доступности объектов для маломобильных групп населения при строительстве?","Требования к доступности устанавливаются Федеральным законом от 30 декабря 2009 г. N 384-ФЗ ""Технический регламент о безопасности зданий и сооружений"" и соответствующими сводами правил, которые являются обязательными для соблюдения при проектировании в силу статьи 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216.0,140766.0,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации...","Как узнать, какие требования предъявляются к доступности объектов для маломобильных групп населения при строительстве?","Требования к доступности устанавливаются Федеральным законом от 30 декабря 2009 г. N 384-ФЗ ""Технический регламент о безопасности зданий и сооружений"" и соответствующими сводами правил, которые являются обязательными для соблюдения при проектировании в силу статьи 48 Градостроительного кодекса Российской Федерации.","Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я обнаружил, что построенный объект не соответствует санитарно-эпидемиологическим требованиям?","О несоответствии санитарно-эпидемиологическим требованиям следует сообщить в органы Роспотребнадзора, которые осуществляют надзор в соответствии с санитарным законодательством и требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,171093.0,171317.0,"Статья 51. Разрешение на строительство
...
1. Разрешение на строительство представляет собой документ, который подтверждает
соответствие проектной документации требованиям, установленным градостроительным регламентом...","Что делать, если я обнаружил, что построенный объект не соответствует санитарно-эпидемиологическим требованиям?","О несоответствии санитарно-эпидемиологическим требованиям следует сообщить в органы Роспотребнадзора, которые осуществляют надзор в соответствии с санитарным законодательством и требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).","Статья 51. Разрешение на строительство
...
1. Разрешение на строительство представляет собой документ, который подтверждает
соответствие проектной документации требованиям, установленным градостроительным регламентом..."
"Как узнать, какие требования предъявляются к энергоэффективности зданий при строительстве?","Требования к энергоэффективности устанавливаются Федеральным законом от 23 ноября 2009 г. N 261-ФЗ ""Об энергосбережении и о повышении энергетической эффективности и о внесении изменений в отдельные законодательные акты Российской Федерации"", которые учитываются при разработке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216.0,140766.0,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации...","Как узнать, какие требования предъявляются к энергоэффективности зданий при строительстве?","Требования к энергоэффективности устанавливаются Федеральным законом от 23 ноября 2009 г. N 261-ФЗ ""Об энергосбережении и о повышении энергетической эффективности и о внесении изменений в отдельные законодательные акты Российской Федерации"", которые учитываются при разработке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.","Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Как узнать, какие требования предъявляются к вентиляции и кондиционированию воздуха в жилых домах?","Требования к вентиляции и кондиционированию устанавливаются строительными нормами и правилами, которые являются частью нормативно-технической документации в строительстве (статья 48 Градостроительного кодекса Российской Федерации).1",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216.0,140766.0,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации...","Как узнать, какие требования предъявляются к вентиляции и кондиционированию воздуха в жилых домах?","Требования к вентиляции и кондиционированию устанавливаются строительными нормами и правилами, которые являются частью нормативно-технической документации в строительстве (статья 48 Градостроительного кодекса Российской Федерации).1","Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я считаю, что при строительстве нарушаются мои права на неприкосновенность частной жизни (например, слишком близко расположены окна соседнего дома)?","Вопросы, связанные с нарушением прав на неприкосновенность частной жизни, могут быть рассмотрены в судебном порядке с учетом градостроительных норм и правил, регулирующих расстояния между зданиями (статья 42 Градостроительного кодекса Российской Федерации - планировка территории).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,118573.0,118966.0,"Статья 42. Проект планировки территории
...
1. Подготовка проектов планировки территории осуществляется для выделения элементов
планировочной структуры, установления границ территорий общего пользования, границ зон
планируемого размещения объектов капитального строительства, определения характеристик и
очередности планируемого развития территории.","Что делать, если я считаю, что при строительстве нарушаются мои права на неприкосновенность частной жизни (например, слишком близко расположены окна соседнего дома)?","Вопросы, связанные с нарушением прав на неприкосновенность частной жизни, могут быть рассмотрены в судебном порядке с учетом градостроительных норм и правил, регулирующих расстояния между зданиями (статья 42 Градостроительного кодекса Российской Федерации - планировка территории).","Статья 42. Проект планировки территории
...
1. Подготовка проектов планировки территории осуществляется для выделения элементов
планировочной структуры, установления границ территорий общего пользования, границ зон
планируемого размещения объектов капитального строительства, определения характеристик и
очередности планируемого развития территории."
"Как узнать, какие требования предъявляются к освещению территории при строительстве многоквартирных домов?","Требования к освещению территории могут устанавливаться нормами градостроительного проектирования, являющимися частью правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,10417.0,10744.0,"26) нормативы градостроительного проектирования - совокупность расчетных
показателей, установленных в соответствии с настоящим Кодексом в целях обеспечения благоприятных
условий жизнедеятельности человека и подлежащих применению при подготовке документов
территориального планирования, градостроительного зонирования, документации по планировке
территории;","Как узнать, какие требования предъявляются к освещению территории при строительстве многоквартирных домов?","Требования к освещению территории могут устанавливаться нормами градостроительного проектирования, являющимися частью правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации).","26) нормативы градостроительного проектирования - совокупность расчетных
показателей, установленных в соответствии с настоящим Кодексом в целях обеспечения благоприятных
условий жизнедеятельности человека и подлежащих применению при подготовке документов
территориального планирования, градостроительного зонирования, документации по планировке
территории;"
"Как узнать, какие требования предъявляются к озеленению территории при строительстве?","Требования к озеленению территории могут устанавливаться правилами землепользования и застройки и проектом благоустройства, которые разрабатываются в соответствии с принципами устойчивого развития территорий (статья 2 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,14920.0,15137.0,"Статья 2. Основные принципы законодательства о градостроительной деятельности
...
1) обеспечение комплексного и устойчивого развития территории на основе
территориального планирования, градостроительного зонирования и планировки территории;","Как узнать, какие требования предъявляются к озеленению территории при строительстве?","Требования к озеленению территории могут устанавливаться правилами землепользования и застройки и проектом благоустройства, которые разрабатываются в соответствии с принципами устойчивого развития территорий (статья 2 Градостроительного кодекса Российской Федерации).","Статья 2. Основные принципы законодательства о градостроительной деятельности
...
1) обеспечение комплексного и устойчивого развития территории на основе
территориального планирования, градостроительного зонирования и планировки территории;"
"Что делать, если застройщик не обеспечивает безопасность строительной площадки?","О нарушениях требований безопасности на строительной площадке следует сообщить в органы государственного строительного надзора, которые контролируют соблюдение требований технических регламентов (статья 53 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,212446.0,212774.0,"Статья 53. Строительный контроль
...
1. Строительный контроль проводится в процессе строительства, реконструкции, капитального
ремонта объектов капитального строительства в целях проверки соответствия выполняемых работ
проектной документации ... требованиям
технических регламентов...","Что делать, если застройщик не обеспечивает безопасность строительной площадки?","О нарушениях требований безопасности на строительной площадке следует сообщить в органы государственного строительного надзора, которые контролируют соблюдение требований технических регламентов (статья 53 Градостроительного кодекса Российской Федерации).","Статья 53. Строительный контроль
...
1. Строительный контроль проводится в процессе строительства, реконструкции, капитального
ремонта объектов капитального строительства в целях проверки соответствия выполняемых работ
проектной документации ... требованиям
технических регламентов..."
"Как узнать, какие требования предъявляются к организации строительной площадки?","Требования к организации строительной площадки устанавливаются строительными нормами и правилами, а также проектом организации строительства, являющимся частью проектной документации (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,146136.0,146516.0,"2) проект организации строительства объектов капитального строительства должен содержать
проект организации работ по сносу объектов капитального строительства, их частей (в случае
необходимости сноса объектов капитального строительства, их частей для строительства, 
реконструкции других объектов капитального строительства);","Как узнать, какие требования предъявляются к организации строительной площадки?","Требования к организации строительной площадки устанавливаются строительными нормами и правилами, а также проектом организации строительства, являющимся частью проектной документации (статья 48 Градостроительного кодекса Российской Федерации).","2) проект организации строительства объектов капитального строительства должен содержать
проект организации работ по сносу объектов капитального строительства, их частей (в случае
необходимости сноса объектов капитального строительства, их частей для строительства, 
реконструкции других объектов капитального строительства);"
"Что делать, если я считаю, что при строительстве нарушаются мои права на тишину и покой?","Нарушение тишины и покоя в ночное время регулируется законодательством об административных правонарушениях, однако градостроительные нормы также могут устанавливать требования к шумовому режиму на территориях жилой застройки (статья 30 Градостроительного кодекса Российской Федерации - градостроительное зонирование).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,91534.0,91956.0,"Статья 30. Правила землепользования и застройки
...
1. Правила землепользования и застройки разрабатываются в целях:
1) создания условий для устойчивого развития территорий муниципальных образований, 
сохранения окружающей среды и объектов культурного наследия;","Что делать, если я считаю, что при строительстве нарушаются мои права на тишину и покой?","Нарушение тишины и покоя в ночное время регулируется законодательством об административных правонарушениях, однако градостроительные нормы также могут устанавливать требования к шумовому режиму на территориях жилой застройки (статья 30 Градостроительного кодекса Российской Федерации - градостроительное зонирование).","Статья 30. Правила землепользования и застройки
...
1. Правила землепользования и застройки разрабатываются в целях:
1) создания условий для устойчивого развития территорий муниципальных образований, 
сохранения окружающей среды и объектов культурного наследия;"
