Вопрос,Ответ
"Что делать, если я не согласен с решением налоговой инспекции?","Вы имеете право обжаловать решение налоговой инспекции в вышестоящий налоговый орган или в суд в установленные сроки (статья 138 Налогового кодекса РФ).
    
126."
Что такое ЕНС?,"ЕНС (единый налоговый счет) - это способ уплаты налогов, сборов и страховых взносов одним платежом на единый счет Федерального казначейства (статья 11.3 Налогового кодекса РФ).
    
127."
"Как узнать свой ИНН, если я его потерял?","Узнать свой ИНН можно онлайн на сайте ФНС России с помощью специального сервиса или обратившись лично в налоговую инспекцию.
    
128."
Что такое налоговый резидент?,"Налоговым резидентом признается физическое лицо, фактически находящееся в Российской Федерации не менее 183 календарных дней в течение 12 следующих подряд месяцев (статья 207 Налогового кодекса РФ).
    
129."
Как облагаются налогом доходы от сдачи квартиры в аренду?,"Доходы от сдачи квартиры в аренду облагаются НДФЛ по ставке 13% (или 15% при превышении определенного порога). Необходимо самостоятельно задекларировать эти доходы и уплатить налог (статья 208 Налогового кодекса РФ).
    
130."
Что такое КБК?,"КБК (код бюджетной классификации) - это код, который используется для классификации доходов и расходов бюджетов бюджетной системы Российской Федерации. Он указывается при уплате налогов и сборов.
    
131."
"Я получил дивиденды от акций, какой налог я должен заплатить?","Доходы в виде дивидендов облагаются НДФЛ по ставке 13% (статья 224 Налогового кодекса РФ).
    
132."
Что такое налоговый агент по НДФЛ?,"Налоговый агент по НДФЛ - это лицо, которое обязано исчислить, удержать и перечислить НДФЛ в бюджет с доходов, выплачиваемых налогоплательщикам (статья 226 Налогового кодекса РФ). Обычно это работодатель.
    
133."
Как часто нужно платить транспортный налог?,"Транспортный налог уплачивается один раз в год. Сроки уплаты устанавливаются региональными властями.
    
134."
Что такое налог на прибыль организаций?,"Налог на прибыль организаций - это федеральный налог, который уплачивают юридические лица с полученной прибыли (статья 246 Налогового кодекса РФ).
    
135."
"Что такое УСН ""доходы""?","УСН ""доходы"" - это один из вариантов упрощенной системы налогообложения, при котором налоговая база составляет все полученные доходы, а ставка налога обычно составляет 6% (может быть снижена региональными властями) (статья 346.20 Налогового кодекса РФ).
    
136."
"Что такое УСН ""доходы минус расходы""?","УСН ""доходы минус расходы"" - это другой вариант упрощенной системы налогообложения, при котором налоговая база определяется как разница между полученными доходами и произведенными расходами, а ставка налога обычно составляет 15% (может быть снижена региональными властями)1 (статья 346.20 Налогового кодекса РФ).
    
137."
Что такое патентная система налогообложения?,"Патентная система налогообложения (ПСН) - это специальный налоговый режим для индивидуальных предпринимателей по определенным видам деятельности, при котором вместо уплаты ряда налогов приобретается патент на определенный срок (глава 26.5 Налогового кодекса РФ).
    
138."
Как получить патент для ИП?,"Для получения патента необходимо подать заявление в налоговый орган по месту жительства или месту осуществления деятельности (статья 346.45 Налогового кодекса РФ).
    
139."
Что такое земельный налог для физических лиц?,"Земельный налог для физических лиц - это местный налог, который уплачивается собственниками земельных участков, расположенных в пределах муниципального образования (статья 388 Налогового кодекса РФ).
    
140."
Как рассчитывается налог на имущество физических лиц?,"Налог на имущество физических лиц рассчитывается исходя из кадастровой стоимости объекта недвижимости и установленных налоговых ставок, которые могут различаться в зависимости от региона и типа имущества (статья 403 Налогового кодекса РФ).
    
141."
Что такое налоговые льготы по транспортному налогу?,"Региональные власти могут устанавливать различные налоговые льготы по транспортному налогу для определенных категорий граждан (например, ветеранов, инвалидов, многодетных семей) (статья 356 Налогового кодекса РФ).
    
142."
Как узнать кадастровую стоимость своей недвижимости?,"Кадастровую стоимость недвижимости можно узнать на сайте Росреестра (rosreestr.gov.ru) или через портал Госуслуг.
    
143."
"Что делать, если я не получил уведомление об уплате налога на имущество?","Если вы не получили уведомление, вы можете самостоятельно узнать сумму налога и реквизиты для уплаты в личном кабинете налогоплательщика на сайте ФНС России или обратившись в налоговую инспекцию.
    
144."
Могу ли я платить налоги за другого человека?,"Да, уплатить налоги за другое физическое лицо может любое другое физическое лицо (пункт 1 статьи 45 Налогового кодекса РФ).
    
145."
Что такое налоговая проверка и как она проводится?,"Налоговая проверка - это форма налогового контроля, проводимая налоговыми органами для проверки правильности исчисления и уплаты налогов. Она может быть камеральной (по документам) или выездной (на территории налогоплательщика) (статья 82 Налогового кодекса РФ).
    
146."
Какие документы могут потребовать налоговые органы при проверке?,"Налоговые органы могут потребовать документы, связанные с исчислением и уплатой налогов, такие как договоры, счета-фактуры, платежные документы, бухгалтерская отчетность (статья 93 Налогового кодекса РФ).
    
147."
"Что делать, если я получил требование от налоговой инспекции о предоставлении документов?","Необходимо внимательно изучить требование и предоставить запрашиваемые документы в указанный срок (статья 93 Налогового кодекса РФ).
    
148."
Что такое срок исковой давности по налоговым обязательствам?,"По общему правилу, срок исковой давности по требованиям налоговых органов об уплате налогов, пеней и штрафов составляет три года (статья 46 Налогового кодекса РФ).
    
149."
Могу ли я получить налоговую консультацию бесплатно?,"Да, вы можете получить бесплатную консультацию в налоговой инспекции по месту учета или по телефону горячей линии ФНС России. Также много полезной информации размещено на сайте ФНС России.
    
150."
"Что делать, если я переплатил налог? Как вернуть излишне уплаченную сумму?","Если вы переплатили налог, вам необходимо подать заявление в налоговый орган о возврате излишне уплаченной суммы. Заявление можно подать в течение трех лет со дня уплаты (статья 78 Налогового кодекса РФ).

151."
"Я работаю удаленно на иностранную компанию, как мне платить налоги в России?","Если вы являетесь налоговым резидентом РФ, то доходы, полученные от иностранной компании, облагаются налогом на доходы физических лиц (НДФЛ) в России. Вам необходимо самостоятельно задекларировать эти доходы и уплатить налог (статья 207, статья 208 и статья 228 Налогового кодекса РФ).
    
152."
"Я выиграл в лотерею крупную сумму денег, нужно ли мне платить с этого налог?","Да, выигрыши в лотерею облагаются налогом на доходы физических лиц (статья 224 Налогового кодекса РФ). Обычно налог удерживается организатором лотереи при выплате выигрыша.
    
153."
"У меня есть брокерский счет, и я получаю доход от инвестиций. Как я должен платить налоги с этого дохода?","Доходы от инвестиций (например, от продажи ценных бумаг, дивиденды) облагаются НДФЛ. Налог может удерживаться брокером как налоговым агентом. В некоторых случаях вам может потребоваться самостоятельно задекларировать доход (статья 214.1 и статья 228 Налогового кодекса РФ).
    
154."
Я блогер и получаю доход от рекламы в интернете. Как мне платить налоги?,"Доходы от блогерской деятельности облагаются НДФЛ. Вы можете зарегистрироваться как индивидуальный предприниматель или применять специальный налоговый режим для самозанятых ""Налог на профессиональный доход"" (НПД), если соответствуете условиям (статья 207, глава 26.2 или Федеральный закон от 27.11.2018 N 422-ФЗ).
    
155."
Я сдаю свою квартиру в аренду. Какой налог я должен платить с этого дохода?,"Доходы от сдачи квартиры в аренду облагаются НДФЛ. Вам необходимо самостоятельно задекларировать эти доходы и уплатить налог (статья 208 и статья 228 Налогового кодекса РФ).
    
156."
"У меня есть дом в деревне, и мне пришло уведомление об уплате налога на имущество. Как рассчитывается этот налог?","Налог на имущество физических лиц рассчитывается исходя из кадастровой стоимости вашего дома и налоговой ставки, установленной органами местного самоуправления (статья 403 Налогового кодекса РФ).
    
157."
"Я не согласен с кадастровой стоимостью своей квартиры, могу ли я ее оспорить для уменьшения налога на имущество?","Да, вы имеете право оспорить кадастровую стоимость объекта недвижимости в комиссии по рассмотрению споров о результатах определения кадастровой стоимости или в суде (статья 24.18 Федерального закона от 03.07.2016 N 237-ФЗ ""О государственной кадастровой оценке"").
    
158."
Я унаследовал дачу от бабушки. Нужно ли мне платить какой-то налог при вступлении в наследство?,"Доходы, полученные в порядке наследования, освобождаются от налога на доходы физических лиц (статья 217 Налогового кодекса РФ). Однако может взиматься государственная пошлина за оформление наследства у нотариуса (статья 333.24 Налогового кодекса РФ).
    
159."
Какие есть законные способы уменьшить сумму уплачиваемых налогов?,"Существуют различные законные способы уменьшения налоговой нагрузки, такие как использование налоговых вычетов (например, имущественных, социальных, инвестиционных), применение специальных налоговых режимов (для бизнеса), а также грамотное налоговое планирование в рамках закона (главы 21, 23, 26.2, 26.5 Налогового кодекса РФ).
    
160."
Ко мне пришла налоговая проверка. Какие у меня права и обязанности в этой ситуации?,"При проведении налоговой проверки вы имеете право знакомиться с документами проверяющих, представлять свои пояснения и возражения, требовать соблюдения законодательства. Вы обязаны предоставлять необходимые документы и информацию по запросу налоговых органов (статья 21, статья 93 Налогового кодекса РФ).
    
161."
"Что будет, если налоговая проверка выявит у меня нарушения?","Если налоговая проверка выявит нарушения налогового законодательства, вам могут быть начислены недоимки по налогам, пени за просрочку уплаты и штрафы (глава 16 Налогового кодекса РФ).
    
162."
"Я являюсь индивидуальным предпринимателем на УСН ""доходы"". Как мне отчитываться перед налоговой?","Индивидуальные предприниматели на УСН ""доходы"" обязаны подавать налоговую декларацию по упрощенной системе налогообложения один раз в год (статья 346.23 Налогового кодекса РФ).
    
163."
Что такое фиксированные страховые взносы для ИП и когда их нужно платить?,"Индивидуальные предприниматели обязаны уплачивать фиксированные страховые взносы на обязательное пенсионное и медицинское страхование за себя. Срок уплаты обычно до 31 декабря текущего года (статья 430 Налогового кодекса РФ).
    
164."
"Я продал автомобиль, которым владел меньше трех лет. Какой налог я должен заплатить?","Доход от продажи автомобиля, находившегося в собственности менее трех лет, облагается НДФЛ. Однако вы можете уменьшить налогооблагаемый доход на сумму расходов, связанных с приобретением этого автомобиля, или воспользоваться имущественным налоговым вычетом в установленном размере (статья 220 Налогового кодекса РФ).
    
165."
Что такое налог на прибыль организаций и кто его платит?,"Налог на прибыль организаций - это федеральный налог, который уплачивают юридические лица с полученной прибыли. Ставка налога устанавливается Налоговым кодексом (глава 25 Налогового кодекса РФ).
    
166."
Могу ли я получить налоговый вычет за занятия спортом?,"Да, с 2021 года введен социальный налоговый вычет по расходам на физкультурно-оздоровительные услуги (статья 219 Налогового кодекса РФ).
    
167."
"Я работаю по трудовому договору и получаю ""серую"" зарплату. Какие налоговые риски у меня могут возникнуть?","Получение ""серой"" зарплаты является нарушением налогового законодательства. Вы можете быть привлечены к ответственности за неуплату НДФЛ, а также это может негативно сказаться на ваших социальных гарантиях (например, размере пенсии, оплате больничных) (статья 23 Налогового кодекса РФ).
    
168."
Что такое акциз на бензин и куда идут эти деньги?,"Акциз на бензин - это федеральный налог, который включается в стоимость бензина. Часть этих средств направляется в федеральный и региональные бюджеты на строительство и ремонт дорог (статья 179 и глава 22 Налогового кодекса РФ).
    
169."
Я получил наследство в виде квартиры. Нужно ли мне платить налог на имущество сразу после оформления наследства?,"Обязанность по уплате налога на имущество возникает с момента государственной регистрации права собственности на квартиру (статья 400 Налогового кодекса РФ). Уведомление об уплате налога придет вам в следующем году.
    
170."
Что такое налоговая декларация по налогу на прибыль организаций и когда ее нужно подавать?,"Налоговая декларация по налогу на прибыль организаций подается по итогам каждого отчетного периода (квартала или месяца, в зависимости от выбранного способа уплаты авансовых платежей) и по итогам налогового периода (календарного года) (статья 289 Налогового кодекса РФ).
    
171."
"Как я могу узнать, какие налоговые льготы мне положены?","Информацию о налоговых льготах, на которые вы имеете право, можно получить на сайте ФНС России, в личном кабинете налогоплательщика или обратившись в налоговую инспекцию.
    
172."
Что такое камеральная налоговая проверка и как она проводится?,"Камеральная налоговая проверка проводится налоговыми органами по месту их нахождения на основе представленных вами налоговых деклараций и других документов. Для ее проведения не требуется специального решения руководителя налогового органа (статья 88 Налогового кодекса РФ).
    
173."
"Что делать, если я не согласен с результатами камеральной налоговой проверки?","Если вы не согласны с результатами камеральной налоговой проверки, вы имеете право представить письменные возражения на акт проверки в течение одного месяца со дня его получения (статья 100 Налогового кодекса РФ).
    
174."
Что такое выездная налоговая проверка и как часто она может проводиться?,"Выездная налоговая проверка проводится на территории налогоплательщика на основании решения руководителя налогового органа. Как правило, в течение одного календарного года в отношении одного налогоплательщика может быть проведена одна выездная налоговая проверка по одним и тем же налогам и сборам за один и тот же налоговый период (статья 89 Налогового кодекса РФ).
    
175."
"Я получил требование об уплате налога, но считаю, что платить не должен. Что мне делать?","Если вы не согласны с требованием об уплате налога, вы имеете право обжаловать его в вышестоящий налоговый орган или в суд в установленные сроки (статья 138 Налогового кодекса РФ).
    
176."
Что такое НДФЛ по ставке 15% и когда он применяется?,"С 2021 года для доходов физических лиц, превышающих определенный размер за налоговый период (календарный год), применяется ставка НДФЛ в размере 15% (статья 224 Налогового кодекса РФ).
    
177."
Я работаю по гражданско-правовому договору. Как с моих доходов удерживается НДФЛ?,"Если вы работаете по гражданско-правовому договору с организацией или индивидуальным предпринимателем, они выступают в качестве налогового агента и обязаны исчислить, удержать и перечислить НДФЛ с вашего вознаграждения (статья 226 Налогового кодекса РФ).
    
178."
Что такое налоговый период по НДФЛ?,"Налоговым периодом по налогу на доходы физических лиц признается календарный год (статья 216 Налогового кодекса РФ).
    
179."
Как мне узнать свой ОКТМО для уплаты налогов?,"Узнать код ОКТМО (Общероссийский классификатор территорий муниципальных образований) для уплаты налогов можно на сайте ФНС России с помощью специального сервиса.
    
180."
Что такое авансовые платежи по налогу на прибыль организаций?,"В течение налогового периода организации обязаны уплачивать авансовые платежи по налогу на прибыль. Порядок и сроки уплаты зависят от выбранного способа (ежемесячно или ежеквартально) (статья 286 Налогового кодекса РФ).
    
181."
"Я являюсь владельцем нескольких квартир, сдаю их в аренду и плачу НДФЛ. Могу ли я зарегистрироваться как ИП для оптимизации налогов?","Да, вы можете зарегистрироваться в качестве индивидуального предпринимателя и выбрать специальный налоговый режим, например, УСН, что может быть выгоднее, чем уплата НДФЛ по общей ставке (глава 26.2 Налогового кодекса РФ).
    
182."
Что такое налоговая база по налогу на имущество организаций?,"Налоговая база по налогу на имущество организаций определяется как среднегодовая (средняя) стоимость имущества, признаваемого объектом налогообложения (статья 375 Налогового кодекса РФ).
    
183."
Какие организации освобождены от уплаты налога на имущество?,"Налоговый кодекс предусматривает ряд организаций, освобожденных от уплаты налога на имущество, например, государственные и муниципальные учреждения (статья 381 Налогового кодекса РФ).
    
184."
Что такое транспортный налог для юридических лиц?,"Транспортный налог для юридических лиц является региональным налогом и уплачивается организациями, на которые зарегистрированы транспортные средства (статья 356 Налогового кодекса РФ). Ставки и порядок уплаты устанавливаются законами субъектов РФ.
    
185."
Что такое земельный налог для организаций?,"Земельный налог для организаций является местным налогом и уплачивается организациями, владеющими земельными участками на праве собственности, постоянного (бессрочного) пользования или пожизненного наследуемого владения (статья 388 Налогового кодекса РФ).
    
186."
Как часто нужно платить земельный налог юридическим лицам?,"Сроки уплаты земельного налога и авансовых платежей по нему устанавливаются органами местного самоуправления (статья 397 Налогового кодекса РФ).
    
187."
Что такое водный налог и кто его платит?,"Водный налог является федеральным налогом и уплачивается за пользование водными объектами (например, за забор воды из поверхностных и подземных водных объектов) (статья 333.7 Налогового кодекса РФ).
    
188."
Что такое налог на добычу полезных ископаемых (НДПИ)?,"НДПИ - это федеральный налог, который уплачивается организациями и индивидуальными предпринимателями, осуществляющими добычу полезных ископаемых на территории Российской Федерации (статья 334 Налогового кодекса РФ).
    
189."
Что такое акцизы на табачные изделия?,"Акцизы на табачные изделия - это федеральные налоги, которые включаются в стоимость табачной продукции (статья 179 и глава 22 Налогового кодекса РФ).
    
190."
Что такое налог на игорный бизнес?,"Налог на игорный бизнес является региональным налогом и уплачивается организациями, осуществляющими деятельность в сфере игорного бизнеса (статья 364 Налогового кодекса РФ).
    
191."
Что такое государственная пошлина за регистрацию юридического лица?,"Государственная пошлина взимается за государственную регистрацию юридических лиц в установленном размере (статья 333.33 Налогового кодекса РФ).
    
192."
"Как восстановить утерянные документы, подтверждающие право на налоговый вычет?","В случае утери документов, подтверждающих право на налоговый вычет, вы можете запросить их копии в организациях, которые их выдавали (например, в учебном заведении, медицинском учреждении).
    
193."
"Что делать, если мне пришло уведомление об уплате налога на имущество за проданную квартиру?","Вам необходимо обратиться в налоговую инспекцию с документами, подтверждающими продажу квартиры, для уточнения информации и снятия вас с учета в качестве плательщика налога на данное имущество.
    
194."
Могу ли я получить отсрочку или рассрочку по уплате налогов?,"Да, в определенных случаях, предусмотренных Налоговым кодексом, налогоплательщику может быть предоставлена отсрочка или рассрочка по уплате налога (статья 61 Налогового кодекса РФ).
    
195."
Что такое налоговое администрирование?,"Налоговое администрирование - это деятельность уполномоченных органов государственной власти по обеспечению соблюдения налогового законодательства, контролю за правильностью исчисления, полнотой и своевременностью уплаты налогов и сборов.
    
196."
Какова роль Федеральной налоговой службы (ФНС) России?,"Федеральная налоговая служба является федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору за соблюдением законодательства о налогах и сборах (статья 4 Федерального закона от 21.03.1991 N 943-1 ""О налоговых органах Российской Федерации"").
    
197."
Что такое налоговый контроль за трансфертным ценообразованием?,"Налоговый контроль за трансфертным ценообразованием направлен на проверку соответствия цен, применяемых в контролируемых сделках между взаимозависимыми лицами, рыночным ценам (раздел V.1 Налогового кодекса РФ).
    
198."
Что такое международное налоговое соглашение?,"Международные налоговые соглашения заключаются между государствами для избежания двойного налогообложения и предотвращения уклонения от уплаты налогов.
    
199."
"Как облагаются налогом доходы иностранных граждан, работающих в России?","Доходы иностранных граждан, работающих в России, облагаются НДФЛ по общим правилам, если они являются налоговыми резидентами РФ. Для нерезидентов применяются другие ставки (статья 207 и статья 224 Налогового кодекса РФ).
    
200."
"Что делать, если я не понимаю какое-то положение Налогового кодекса? Где я могу найти разъяснения?","Разъяснения по вопросам применения налогового законодательства можно найти на официальном сайте ФНС России, в справочно-правовых системах, а также обратившись за консультацией к налоговому специалисту или в налоговую инспекцию."
