Вопрос,Ответ
Что такое ненормированный рабочий день?,"Ненормированный рабочий день - это особый режим работы, в соответствии с которым отдельные работники могут по распоряжению работодателя при необходимости эпизодически привлекаться к выполнению своих трудовых функций за пределами установленной для них продолжительности рабочего времени (статья 101 Трудового кодекса РФ).

13."
Как оплачивается сверхурочная работа?,"Сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере (статья 152 Трудового кодекса РФ).

14."
Положен ли мне перерыв на обед?,"В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не включается (статья 108 Трудового кодекса РФ).

15."
Сколько выходных дней в неделю мне положено?,"При пятидневной рабочей неделе работникам предоставляются два выходных дня в неделю, при шестидневной рабочей неделе - один выходной день (статья 111 Трудового кодекса РФ).

16."
Что такое ежегодный основной оплачиваемый отпуск и какова его продолжительность?,"Ежегодный основной оплачиваемый отпуск предоставляется работникам продолжительностью 28 календарных дней (статья 115 Трудового кодекса РФ).

17."
Могут ли мне заменить отпуск денежной компенсацией?,"Денежной компенсацией может быть заменена только часть ежегодного оплачиваемого отпуска, превышающая 28 календарных дней (статья 126 Трудового кодекса РФ).

18."
За сколько дней меня должны предупредить о начале отпуска?,"О времени начала отпуска работник должен быть извещен под роспись не позднее чем за две недели до его начала (статья 123 Трудового кодекса РФ).

19."
Могут ли меня вызвать из отпуска на работу?,"Отзыв работника из отпуска допускается только с его согласия. Неиспользованная в связи с этим часть отпуска должна быть предоставлена по выбору работника в удобное для него время в течение текущего рабочего года или присоединена к отпуску за следующий рабочий год (статья 125 Трудового кодекса РФ).

20."
"Положен ли мне дополнительный оплачиваемый отпуск, если у меня вредные условия труда?","Да, работникам, занятым на работах с вредными и (или) опасными условиями труда, предоставляется ежегодный дополнительный оплачиваемый отпуск (статья 117 Трудового кодекса РФ).


21."
Какая минимальная зарплата установлена в России?,"Минимальный размер оплаты труда (МРОТ) устанавливается федеральным законом и не может быть ниже величины прожиточного минимума трудоспособного населения (статья 133.1 Трудового кодекса РФ).

22."
Как часто мне должны выплачивать зарплату?,"Заработная плата выплачивается не реже чем каждые полмесяца. Конкретные даты выплаты устанавливаются правилами внутреннего трудового распорядка, коллективным договором или трудовым договором (статья 136 Трудового кодекса РФ).

23."
Имеет ли право работодатель задерживать выплату зарплаты?,"Нет, работодатель обязан выплачивать заработную плату в установленные сроки. За задержку выплаты заработной платы работодатель несет ответственность в соответствии с законом (статья 136 и статья 236 Трудового кодекса РФ).

24."
Какие удержания могут производиться из моей заработной платы?,"Удержания из заработной платы работника могут производиться только в случаях, предусмотренных Трудовым кодексом РФ и иными федеральными законами (статья 137 Трудового кодекса РФ). Например, по исполнительным листам, для возмещения ущерба, причиненного работодателю.

25."
Могут ли меня оштрафовать на работе?,"Трудовое законодательство не предусматривает возможности штрафования работников. За совершение дисциплинарного проступка работодатель может применить следующие дисциплинарные взыскания: замечание, выговор, увольнение (статья 192 Трудового кодекса РФ).

26."
Как оплачивается работа в выходные и нерабочие праздничные дни?,"Работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере (статья 153 Трудового кодекса РФ).

27."
Что такое оплата труда за работу в ночное время?,"Каждый час работы в ночное время оплачивается в повышенном размере по сравнению с работой в нормальных условиях (статья 154 Трудового кодекса РФ). Конкретный размер повышения устанавливается коллективным договором, локальным нормативным актом, принимаемым с учетом мнения представительного органа работников, трудовым договором.

28."
Что такое районные коэффициенты и надбавки к заработной плате?,"В районах Крайнего Севера и приравненных к ним местностях, а также в других местностях с особыми климатическими условиями к заработной плате применяются районные коэффициенты и выплачиваются процентные надбавки (статья 148 Трудового кодекса РФ).

29."
Обязан ли работодатель индексировать заработную плату?,"Да, работодатель обязан проводить индексацию заработной платы в порядке, установленном коллективным договором, соглашениями, локальными нормативными актами (статья 134 Трудового кодекса РФ).

30."
Как мне должны оплатить отпуск?,"Оплата отпуска производится не позднее чем за три календарных дня до начала отпуска (статья 136 Трудового кодекса РФ).

31."
Какие основные обязанности у меня как работника?,"Работник обязан: добросовестно исполнять свои трудовые обязанности; соблюдать правила внутреннего трудового распорядка; соблюдать трудовую дисциплину; выполнять установленные нормы труда; соблюдать требования по охране труда и обеспечению безопасности труда; бережно относиться к имуществу работодателя и других работников; незамедлительно сообщать работодателю либо непосредственному руководителю о возникновении ситуации, представляющей угрозу жизни и здоровью людей, сохранности имущества работодателя (в том числе имущества третьих лиц, находящегося у работодателя, если работодатель несет ответственность за сохранность этого имущества) (статья 21 Трудового кодекса РФ).

32."
Какие основные права у меня как работника?,"Работник имеет право на: заключение, изменение и расторжение трудового договора в порядке и на условиях, которые установлены Трудовым кодексом РФ; предоставление ему работы, обусловленной трудовым договором; рабочее место, соответствующее требованиям охраны труда; своевременную и в полном объеме выплату заработной платы; отдых, обеспечиваемый установлением нормальной продолжительности рабочего времени, сокращенного рабочего времени для отдельных категорий работников, предоставлением еженедельных выходных дней, нерабочих праздничных дней, оплачиваемых ежегодных отпусков; полную достоверную информацию об условиях труда и требованиях охраны труда на рабочем месте; профессиональную подготовку, переподготовку и повышение своей квалификации; объединение, включая право на создание профессиональных союзов и вступление в них для защиты своих трудовых прав, свобод и законных интересов; участие в управлении организацией в предусмотренных настоящим Кодексом, иными федеральными законами и коллективным договором формах; ведение коллективных переговоров и заключение коллективных договоров и соглашений через своих представителей; защиту своих трудовых прав, свобод и законных интересов всеми не запрещенными законом способами; разрешение индивидуальных и коллективных трудовых споров; обязательное социальное страхование в случаях, предусмотренных федеральными законами (статья 21 Трудового кодекса РФ).

33."
Какие основные обязанности у работодателя?,"Работодатель обязан: соблюдать трудовое законодательство и иные нормативные правовые акты, содержащие нормы трудового права, локальные нормативные акты, условия коллективного договора, соглашений и трудовых договоров; предоставлять работникам работу, обусловленную трудовым договором; обеспечивать безопасность и условия труда, соответствующие государственным нормативным требованиям охраны труда; обеспечивать работников оборудованием, инструментами, технической документацией и иными средствами, необходимыми для исполнения ими трудовых обязанностей; обеспечивать работникам равную оплату за труд равной ценности; выплачивать в полном размере причитающуюся работникам заработную плату в сроки, установленные в соответствии с настоящим Кодексом, коллективным договором, правилами внутреннего трудового распорядка, трудовыми договорами; вести коллективные переговоры, а также заключать коллективный договор в порядке, установленном настоящим Кодексом; предоставлять представителям работников полную и достоверную информацию, необходимую для заключения коллективного договора, соглашения и контроля за их выполнением; знакомить работников под роспись с принимаемыми локальными нормативными актами, непосредственно связанными с их трудовой деятельностью; своевременно выполнять предписания федеральных органов исполнительной власти, уполномоченных на осуществление государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, уплачивать штрафы, наложенные за нарушения трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права; создавать условия, обеспечивающие участие работников в управлении организацией в предусмотренных настоящим Кодексом, иными федеральными законами и коллективным договором формах; осуществлять обязательное социальное страхование работников в порядке, установленном федеральными законами; возмещать вред, причиненный работникам в связи с исполнением ими трудовых обязанностей, а также компенсировать моральный вред в порядке и на условиях, которые установлены настоящим Кодексом, другими федеральными законами и иными нормативными правовыми актами Российской Федерации; исполнять иные обязанности, предусмотренные трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами и трудовыми договорами (статья 22 Трудового кодекса РФ).

34."
Какие основные права у работодателя?,"Работодатель имеет право: заключать, изменять и расторгать трудовые договоры с работниками в порядке и на условиях, которые установлены Трудовым кодексом РФ, иными федеральными законами; вести коллективные переговоры и заключать коллективные договоры; поощрять работников за добросовестный эффективный труд; требовать от работников исполнения ими трудовых обязанностей и бережного отношения к имуществу работодателя (в том числе к имуществу третьих лиц, находящемуся у работодателя, если работодатель несет ответственность за сохранность этого имущества) и других работников, соблюдения правил внутреннего трудового распорядка; привлекать работников к дисциплинарной и материальной ответственности в порядке, установленном Трудовым кодексом РФ, иными федеральными законами; принимать локальные нормативные акты (за исключением работодателей - физических лиц, не являющихся индивидуальными предпринимателями); создавать объединения работодателей в целях представительства и защиты своих прав и законных интересов и вступать в них (статья 22 Трудового кодекса РФ).

35."
За что меня могут привлечь к дисциплинарной ответственности?,"Дисциплинарная ответственность наступает за совершение дисциплинарного проступка, то есть за неисполнение или ненадлежащее исполнение работником по его вине возложенных на него трудовых обязанностей (статья 192 Трудового кодекса РФ).

36."
Какие виды дисциплинарных взысканий может применить работодатель?,"Работодатель имеет право применить следующие дисциплинарные взыскания: замечание, выговор, увольнение по соответствующим основаниям (статья 192 Трудового кодекса РФ).

37."
В каком порядке применяется дисциплинарное взыскание?,"До применения дисциплинарного взыскания работодатель должен затребовать от работника письменное объяснение. Если по истечении двух рабочих дней указанное объяснение работником не представлено, то составляется соответствующий акт. Дисциплинарное взыскание применяется не позднее одного месяца со дня обнаружения проступка, не считая времени болезни работника, пребывания его в отпуске, а также времени, необходимого на учет мнения представительного органа работников (статья 193 Трудового кодекса РФ).

38."
Могут ли меня уволить за однократное опоздание на работу?,"Увольнение за однократное опоздание на работу может быть применено, если это расценено как грубое нарушение трудовых обязанностей (например, прогул без уважительных причин) (пункт 6 части первой статьи 81 Трудового кодекса РФ). Обычное опоздание может повлечь замечание или выговор.

39."
Что такое прогул?,"Прогулом считается отсутствие на рабочем месте без уважительных причин в течение всего рабочего дня (смены) независимо от его (ее) продолжительности, а также отсутствие на рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены) (подпункт ""а"" пункта 6 части первой статьи 81 Трудового кодекса РФ).

40."
"В каких случаях работник обязан возместить ущерб, причиненный работодателю?","Работник обязан возместить работодателю причиненный ему прямой действительный ущерб (статья 238 Трудового кодекса РФ).

41."
В каком размере работник несет материальную ответственность?,"По общему правилу, работник несет ограниченную материальную ответственность в пределах своего среднего месячного заработка (статья 241 Трудового кодекса РФ). Полная материальная ответственность может быть возложена на работника только в случаях, предусмотренных статьей 243 Трудового кодекса РФ (например, при недостаче ценностей, вверенных ему на основании специального письменного договора).

42."
По каким основаниям может быть расторгнут трудовой договор по инициативе работника (по собственному желанию)?,"Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в письменной форме не позднее чем за две недели, если иной срок не установлен Трудовым кодексом РФ или иным федеральным законом (статья 80 Трудового кодекса РФ).

43."
По каким основаниям может быть расторгнут трудовой договор по инициативе работодателя?,"Трудовой договор может быть расторгнут работодателем в случаях, предусмотренных статьей 81 Трудового кодекса РФ (например, ликвидация организации, сокращение штата, несоответствие работника занимаемой должности, неоднократное неисполнение работником без уважительных причин трудовых обязанностей, прогул).

44."
За сколько меня должны предупредить об увольнении по сокращению штата?,"О предстоящем увольнении в связи с ликвидацией организации, сокращением численности или штата работников работодатель обязан предупредить работника персонально и под роспись не позднее чем за два месяца до увольнения (статья 180 Трудового кодекса РФ).

45."
Какие выплаты мне положены при увольнении по сокращению штата?,"При расторжении трудового договора в связи с ликвидацией организации либо сокращением численности или штата работников увольняемому работнику выплачивается выходное пособие в размере среднего месячного заработка, а также за ним сохраняется средний месячный заработок на период трудоустройства, но не свыше двух месяцев со дня увольнения (с зачетом выходного пособия) (статья 178 Трудового кодекса РФ).

46."
Что такое увольнение по соглашению сторон?,"Трудовой договор может быть расторгнут в любое время по соглашению сторон (статья 78 Трудового кодекса РФ). Условия расторжения определяются соглашением между работником и работодателем.

47."
Могут ли меня уволить во время больничного или отпуска?,"Расторжение трудового договора по инициативе работодателя (за исключением случая ликвидации организации либо прекращения деятельности индивидуальным предпринимателем) не допускается в период временной нетрудоспособности работника и в период его пребывания в отпуске (статья 81 Трудового кодекса РФ).

48."
Какие документы мне должны выдать при увольнении?,"В день прекращения трудового договора работодатель обязан выдать работнику трудовую книжку (если она ведется) и произвести с ним окончательный расчет (выплатить заработную плату за отработанное время, компенсацию за неиспользованный отпуск и другие причитающиеся выплаты) (статья 84.1 и статья 140 Трудового кодекса РФ).

49."
"Что делать, если я считаю свое увольнение незаконным?","Если вы считаете свое увольнение незаконным, вы имеете право обратиться в государственную инспекцию труда или в суд для разрешения индивидуального трудового спора (статья 391 Трудового кодекса РФ).

50."
В какой срок я могу обратиться в суд с иском о незаконном увольнении?,"Работник имеет право обратиться в суд за разрешением индивидуального трудового спора об увольнении в течение одного месяца со дня вручения ему копии приказа (распоряжения) об увольнении либо со дня выдачи трудовой книжки (статья 392 Трудового кодекса РФ).

51."
Имею ли я право на отпуск в первый год работы?,"Право на использование отпуска за первый год работы возникает у работника по истечении шести месяцев непрерывной работы у данного работодателя. По соглашению сторон оплачиваемый отпуск работнику может быть предоставлен и до истечения шести месяцев (статья 122 Трудового кодекса РФ).

52."
Могу ли я разделить свой ежегодный отпуск на части?,"Ежегодный оплачиваемый отпуск может быть разделен на части по соглашению между работником и работодателем. При этом хотя бы одна из частей этого отпуска должна быть не менее 14 календарных дней (статья 125 Трудового кодекса РФ).

53."
Что такое отпуск без сохранения заработной платы (за свой счет)?,"По семейным обстоятельствам и другим уважительным причинам работнику по его письменному заявлению может быть предоставлен отпуск без сохранения заработной платы, продолжительность которого определяется по соглашению между работником и работодателем (статья 128 Трудового кодекса РФ).

54."
"Положен ли мне учебный отпуск, если я учусь заочно?","Работникам, совмещающим работу с обучением, предоставляются учебные отпуска с сохранением среднего заработка для прохождения промежуточной и итоговой аттестации, а также для подготовки и защиты выпускной квалификационной работы (статьи 173-177 Трудового кодекса РФ).

55."
Что такое отпуск по беременности и родам и какова его продолжительность?,"Женщине по ее заявлению и на основании листка нетрудоспособности предоставляется отпуск по беременности и родам продолжительностью 70 (в случае многоплодной беременности - 84) календарных дней до родов и 70 (в случае осложненных родов - 86, при рождении двух или более детей - 110) календарных дней после родов (статья 255 Трудового кодекса РФ).

56."
Кто имеет право на отпуск по уходу за ребенком?,"Отпуск по уходу за ребенком до достижения им возраста трех лет может быть предоставлен матери ребенка, отцу ребенка, бабушке, дедушке, другому родственнику или опекуну, фактически осуществляющему уход за ребенком (статья 256 Трудового кодекса РФ).

57."
Что такое профсоюз и могу ли я вступить в него?,"Профессиональный союз (профсоюз) - это добровольное общественное объединение граждан, связанных общими производственными, профессиональными интересами по роду их деятельности. Работники имеют право создавать профсоюзы и вступать в них для защиты своих трудовых прав и интересов (статья 370 Трудового кодекса РФ).

58."
Что такое коллективный договор и кто его заключает?,"Коллективный договор - это правовой акт, регулирующий социально-трудовые отношения в организации или у индивидуального предпринимателя и заключаемый работниками и работодателем в лице их представителей (статья 40 Трудового кодекса РФ).

59."
Какие вопросы могут регулироваться коллективным договором?,"Коллективным договором могут регулироваться вопросы оплаты труда, рабочего времени и времени отдыха, охраны труда, социальных гарантий и льгот и другие вопросы трудовых отношений (статья 41 Трудового кодекса РФ).

60."
"Что делать, если у меня возник трудовой спор с работодателем?","Индивидуальные трудовые споры рассматриваются комиссиями по трудовым спорам (если они созданы в организации) и судами (статья 382 Трудового кодекса РФ).

61."
В какой срок я могу обратиться в комиссию по трудовым спорам?,"Работник имеет право обратиться в комиссию по трудовым спорам в течение трех месяцев со дня, когда он узнал или должен был узнать о нарушении своего права (статья 386 Трудового кодекса РФ).

62."
В какой срок я могу обратиться в суд по трудовому спору?,"По общему правилу, работник имеет право обратиться в суд за разрешением индивидуального трудового спора в течение трех месяцев со дня, когда он узнал или должен был узнать о нарушении своего права, а по спорам об увольнении - в течение одного месяца со дня вручения ему копии приказа об увольнении либо со дня выдачи трудовой книжки (статья 392 Трудового кодекса РФ).

63."
Какие особенности регулирования труда несовершеннолетних работников существуют?,"Для работников в возрасте до восемнадцати лет установлена сокращенная продолжительность рабочего времени, запрещено применение труда на работах с вредными и (или) опасными условиями труда, на подземных работах, а также на работах, выполнение которых может причинить вред их здоровью и нравственному развитию (статья 92 и статья 265 Трудового кодекса РФ).

64."
Какие гарантии предоставляются женщинам в связи с материнством?,"Женщинам предоставляются отпуска по беременности и родам, отпуска по уходу за ребенком, запрещается необоснованный отказ в заключении трудового договора или увольнение женщины по мотивам, связанным с беременностью или наличием детей (статья 253-264 Трудового кодекса РФ).

65."
Какие особенности регулирования труда дистанционных работников установлены законом?,"Особенности регулирования труда дистанционных работников определяются главой 49.1 Трудового кодекса РФ. Трудовой договор с дистанционным работником может заключаться путем обмена электронными документами. Режим рабочего времени и времени отдыха дистанционный работник определяет по своему усмотрению, если иное не предусмотрено трудовым договором.

66."
Какие обязанности по обеспечению безопасных условий труда лежат на работодателе?,"Работодатель обязан обеспечить безопасность и условия труда, соответствующие государственным нормативным требованиям охраны труда; проводить специальную оценку условий труда; проводить обучение работников по охране труда; обеспечивать работников средствами индивидуальной защиты и другие обязанности, предусмотренные статьей 212 Трудового кодекса РФ.

67."
Какие права у меня есть в области охраны труда?,"Работник имеет право на рабочее место, соответствующее требованиям охраны труда; обязательное социальное страхование от несчастных случаев на производстве и профессиональных заболеваний; получение достоверной информации от работодателя об условиях и охране труда на рабочем месте, о существующем риске повреждения здоровья, а также о мерах по защите от воздействия вредных и (или) опасных производственных факторов; отказ от выполнения работы в случае возникновения опасности для его жизни и здоровья вследствие нарушения требований охраны труда (за исключением случаев, предусмотренных федеральными законами) до устранения такой опасности; и другие права, предусмотренные статьей 219 Трудового кодекса РФ.

68."
"Что делать, если на моем рабочем месте небезопасные условия труда?","Вы имеете право отказаться от выполнения работы, которая непосредственно угрожает вашей жизни и здоровью, предварительно письменно известив об этом работодателя или своего непосредственного руководителя (статья 219 Трудового кодекса РФ).

69."
Что такое социальное партнерство в сфере труда?,"Социальное партнерство в сфере труда - это система взаимоотношений между работниками (представителями работников), работодателями (представителями работодателей), органами государственной власти, органами местного самоуправления, направленная на обеспечение согласования интересов работников и работодателей по вопросам регулирования трудовых отношений и иных непосредственно связанных с ними отношений (статья 23 Трудового кодекса РФ).

70."
Что такое правила внутреннего трудового распорядка?,"Правила внутреннего трудового распорядка - это локальный нормативный акт работодателя, регламентирующий в соответствии с Трудовым кодексом РФ и иными федеральными законами порядок приема и увольнения работников, основные права, обязанности и ответственность сторон трудового договора, режим работы, время отдыха, применяемые к работникам меры поощрения и взыскания, а также иные вопросы регулирования трудовых отношений у данного работодателя (статья 189 Трудового кодекса РФ).

71."
Обязан ли работодатель вести трудовую книжку на работника?,"С 1 января 2021 года работодатель формирует сведения о трудовой деятельности каждого работника в электронном виде и передает их в информационную систему Пенсионного фонда Российской Федерации. Трудовая книжка на бумажном носителе ведется только в случаях, если работник не отказался от нее в письменной форме до 31 декабря 2020 года или если он поступает на работу впервые после этой даты (статья 66.1 Трудового кодекса РФ).

72."
Что такое коллективный договор и чем он отличается от трудового договора?,"Трудовой договор регулирует индивидуальные трудовые отношения между работником и работодателем, а коллективный договор регулирует социально-трудовые отношения на уровне организации или индивидуального предпринимателя между работниками в целом и работодателем (статья 40 Трудового кодекса РФ).

73."
Могут ли меня заставить работать сверхурочно без моего согласия?,"По общему правилу, привлечение к сверхурочной работе допускается с письменного согласия работника. Без согласия работника привлечение к сверхурочной работе допускается только в исключительных случаях, предусмотренных статьей 99 Трудового кодекса РФ (например, для предотвращения катастрофы, производственной аварии).

74."
Какова продолжительность рабочей недели для медицинских работников?,"Для медицинских работников устанавливается сокращенная продолжительность рабочего времени не более 39 часов в неделю (статья 350 Трудового кодекса РФ).

75."
"Какие льготы предусмотрены для работников, совмещающих работу с обучением?","Работникам, успешно осваивающим образовательные программы по заочной и очно-заочной формам обучения, предоставляются дополнительные отпуска с сохранением среднего заработка, а также могут предоставляться другие льготы (статьи 173-177 Трудового кодекса РФ).

76."
Что такое командировка и как она оплачивается?,"Служебная командировка - поездка работника по распоряжению работодателя на определенный срок для выполнения служебного поручения вне места постоянной работы. При командировке работнику возмещаются расходы на проезд, проживание, суточные и другие расходы (статья 166-168 Трудового кодекса РФ).

77."
Что такое вахтовый метод работы?,"Вахтовый метод работы - особая форма осуществления трудового процесса вне места постоянного проживания работников, когда не может быть обеспечено ежедневное их возвращение к месту постоянного проживания. Работники работают вахтами, а между вахтами им предоставляется междувахтовый отдых (статья 297 Трудового кодекса РФ).

78."
Какова продолжительность вахты?,"Продолжительность вахты не должна превышать одного месяца. В исключительных случаях на отдельных объектах продолжительность вахты может быть увеличена работодателем до трех месяцев с учетом мнения выборного органа первичной профсоюзной организации (статья 299 Трудового кодекса РФ).

79."
Как оплачивается труд вахтовиков?,"Работникам, работающим вахтовым методом, за каждый день нахождения на вахте, а также за фактические дни нахождения в пути от места нахождения работодателя (пункта сбора) до места выполнения работы и обратно выплачивается взамен суточных надбавка за вахтовый метод работы (статья 302 Трудового кодекса РФ).

80."
Что такое коллективный трудовой спор и как он разрешается?,"Коллективный трудовой спор - неурегулированные разногласия между работниками (их представителями) и работодателями (их представителями) по поводу установления и изменения условий труда (включая заработную плату), заключения, изменения и выполнения коллективных договоров, соглашений, а также в связи с отказом работодателя учесть мнение выборного представительного органа работников при принятии локальных нормативных актов. Коллективный трудовой спор разрешается путем примирительных процедур (рассмотрение примирительной комиссией, посредничество и трудовой арбитраж) (глава 61 Трудового кодекса РФ).

81."
Что такое забастовка и в каком порядке она проводится?,"Забастовка - временный добровольный отказ работников от выполнения трудовых обязанностей (полностью или частично) в целях разрешения коллективного трудового спора. Решение об объявлении забастовки принимается собранием (конференцией) работников организации (филиала, представительства или иного обособленного структурного подразделения) или индивидуального предпринимателя по инициативе выборного представительного органа работников, объединения работников (статья 410 Трудового кодекса РФ).

82."
Какие категории работников не могут участвовать в забастовке?,"В соответствии с федеральным законом не имеют права на забастовку работники организаций (филиалов, представительств или иных обособленных структурных подразделений), непосредственно связанных с обеспечением жизнедеятельности населения (обеспечение электро- и теплоэнергией, водоснабжением, газоснабжением, связью, оказание скорой и неотложной медицинской помощи) (статья 413 Трудового кодекса РФ).

83."
Что такое трудовая книжка и для чего она нужна?,"Трудовая книжка является основным документом о трудовой деятельности и трудовом стаже работника (статья 66 Трудового кодекса РФ). Она содержит сведения о работнике, выполняемой им работе, переводах на другую постоянную работу и об увольнении работника, а также об основаниях прекращения трудового договора и о награждениях за успехи в работе.

84."
Как оформляется трудовая книжка при приеме на работу?,"Работодатель (за исключением работодателей - физических лиц, не являющихся индивидуальными предпринимателями) обязан вести трудовую книжку на каждого работника, проработавшего у него свыше пяти дней, если работа у данного работодателя является для работника основной. При приеме на работу работодатель вносит в трудовую книжку запись о приеме на работу не позднее недельного срока со дня приема (статья 66 Трудового кодекса РФ).

85."
Какие записи вносятся в трудовую книжку?,"В трудовую книжку вносятся сведения о работнике, выполняемой им работе, переводах на другую постоянную работу и об увольнении работника, а также об основаниях прекращения трудового договора и о награждениях за успехи в работе (статья 66 Трудового кодекса РФ).

86."
Как выдается трудовая книжка при увольнении?,"В день прекращения трудового договора работодатель обязан выдать работнику трудовую книжку (если она ведется) (статья 84.1 Трудового кодекса РФ).

87."
"Что делать, если трудовая книжка утеряна?","В случае утраты трудовой книжки работодатель обязан по письменному заявлению работника (не позднее 15 дней со дня обращения работника) выдать ему дубликат трудовой книжки (статья 66 Трудового кодекса РФ).

88."
Что такое электронная трудовая книжка?,"Электронная трудовая книжка - это сведения о трудовой деятельности работника, формируемые работодателем в электронном виде и передаваемые в информационную систему Пенсионного фонда Российской Федерации (статья 66.1 Трудового кодекса РФ).

89."
Обязан ли работодатель выдавать мне расчетный листок по заработной плате?,"При выплате заработной платы работодатель обязан в письменной форме извещать каждого работника о составных частях заработной платы, причитающихся ему за соответствующий период, размерах и основаниях произведенных удержаний, а также об общей денежной сумме, подлежащей выплате (статья 136 Трудового кодекса РФ).

90."
"Имею ли я право на получение копий документов, связанных с работой?","По письменному заявлению работника работодатель обязан не позднее трех рабочих дней со дня подачи этого заявления выдать работнику копии документов, связанных с работой (копии приказов о приеме на работу, о переводах на другую работу, об увольнении с работы; выписки из трудовой книжки; справки о заработной плате, о начисленных и фактически уплаченных страховых взносах на обязательное пенсионное страхование, о периоде работы у данного работодателя и другие) (статья 62 Трудового кодекса РФ).

91."
Что такое персональные данные работника и как они защищаются?,"Персональные данные работника - это информация, необходимая работодателю в связи с трудовыми отношениями и касающаяся конкретного работника. Работодатель обязан обеспечить защиту персональных данных работников в соответствии с требованиями Трудового кодекса РФ и Федерального закона от 27 июля 2006 года N 152-ФЗ ""О персональных данных"" (глава 14 Трудового кодекса РФ).

92."
Могут ли меня перевести на другую работу без моего согласия?,"Перевод на другую работу допускается только с письменного согласия работника, за исключением случаев, предусмотренных частями второй и третьей статьи 72.2 Трудового кодекса РФ (временные переводы в случае производственной необходимости или простоя).

93."
Что такое командировка и как она оформляется?,"Служебная командировка - поездка работника по распоряжению работодателя на определенный срок для выполнения служебного поручения вне места постоянной работы. Направление работника в командировку оформляется приказом (распоряжением) работодателя (статья 166 Трудового кодекса РФ).

94."
Обязан ли работодатель оплачивать мне проезд и проживание во время командировки?,"При направлении работника в служебную командировку работодатель обязан возмещать работнику: расходы на проезд; расходы на наем жилого помещения; дополнительные расходы, связанные с проживанием вне места постоянного жительства (суточные); иные расходы, произведенные работником с разрешения или ведома работодателя (статья 168 Трудового кодекса РФ).

95."
