Вопрос,Ответ
"Что делать, если застройщик многоквартирного дома нарушает сроки строительства?","В случае нарушения застройщиком сроков строительства следует обратиться к нему с письменной претензией в соответствии с Федеральным законом от 30 декабря 2004 г. N 214-ФЗ ""Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации"".
    
25."
"Как узнать, является ли земельный участок пригодным для строительства с точки зрения геологических условий?","Для определения пригодности земельного участка для строительства необходимо проведение инженерно-геологических изысканий в соответствии со статьей 47 Градостроительного кодекса Российской Федерации.
    
26."
Что такое проект межевания территории?,"Согласно статье 43 Градостроительного кодекса Российской Федерации, проект межевания территории разрабатывается в целях определения границ образуемых и изменяемых земельных участков.
    
27."
Как повлияет на мой участок планируемое строительство высотного здания по соседству?,"Влияние строительства высотного здания может быть оценено в рамках оценки воздействия на окружающую среду и в процессе публичных слушаний по проекту.
    
28."
"Что делать, если я обнаружил, что построенный мной объект не соответствует градостроительному плану2 земельного участка?","В случае несоответствия построенного объекта градостроительному плану земельного участка необходимо обратиться в органы местного самоуправления для выяснения возможности узаконивания постройки или необходимости ее приведения в соответствие.
    
29."
"Как узнать о планируемом строительстве объектов социальной инфраструктуры (школ, детских садов) в моем районе?","Информация о планируемом строительстве объектов социальной инфраструктуры должна быть отражена в документах территориального планирования муниципального образования.
    
30."
Что такое зона регулирования застройки и хозяйственной деятельности?,"Зоны регулирования застройки и хозяйственной деятельности устанавливаются в целях охраны объектов культурного наследия и могут накладывать ограничения на строительство и землепользование (Федеральный закон ""Об объектах культурного наследия"").
    
31."
Как получить разрешение на установку рекламной конструкции на фасаде здания?,"Порядок установки рекламных конструкций регулируется Федеральным законом ""О рекламе"" и может требовать согласования с органами местного самоуправления и собственниками здания.
    
32."
"Что делать, если соседний участок используется не по целевому назначению, нарушая градостроительные регламенты?","В случае нарушения целевого использования земельного участка следует обратиться в органы муниципального земельного контроля.
    
33."
Как узнать о планируемом строительстве мусороперерабатывающего завода вблизи моего населенного пункта?,"Информация о планируемом строительстве таких объектов должна быть отражена в документах территориального планирования и подлежит общественному обсуждению.
    
34."
Что такое сервитут проезда через соседний участок и как его оформить?,"Сервитут проезда может быть установлен по соглашению между собственниками участков или в судебном порядке в соответствии со статьями 274-277 Гражданского кодекса Российской Федерации.
    
35."
Как повлияет на стоимость моей недвижимости планируемое строительство автомагистрали рядом?,"Влияние строительства автомагистрали на стоимость недвижимости может быть оценено независимыми оценщиками.
    
36."
"Что делать, если застройщик нарушает условия договора долевого строительства?","В случае нарушения условий договора долевого строительства следует обратиться к застройщику с письменной претензией и, при необходимости, в суд в соответствии с Федеральным законом ""Об участии в долевом строительстве"".
    
37."
"Как узнать, не является ли мой дом аварийным и подлежащим сносу?","Информация о признании многоквартирного дома аварийным и подлежащим сносу доводится до собственников помещений органами местного самоуправления.
    
38."
Что такое минимальные расстояния между зданиями на соседних участках и где их можно узнать?,"Минимальные расстояния между зданиями определяются строительными нормами и правилами (СНиП) и могут быть уточнены в органах архитектуры и градостроительства.
    
39."
"Как получить разрешение на вырубку деревьев на своем участке, если они мешают строительству?","Порядок вырубки деревьев может регулироваться местными нормативными актами и требовать получения соответствующего разрешения.
    
40."
"Что делать, если при строительстве соседнего дома поврежден мой забор или другое имущество?","В случае повреждения имущества следует обратиться к застройщику с требованием о возмещении ущерба в соответствии с Гражданским кодексом Российской Федерации.
    
41."
Как узнать о планируемом строительстве крупного торгового центра в моем районе и как это может повлиять на транспортную ситуацию?,"Информация о планируемом строительстве крупных объектов должна быть отражена в документах территориального планирования и может обсуждаться на публичных слушаниях.
    
42."
Что такое коэффициент использования территории и как он влияет на возможность застройки моего участка?,"Коэффициент использования территории - это градостроительный показатель, определяющий максимально допустимую площадь застройки на участке, устанавливается правилами землепользования и застройки.
    
43."
"Как получить информацию о наличии обременений на земельный участок (например, ипотеки или ареста)?","Информацию об обременениях можно получить из выписки из Единого государственного реестра недвижимости (ЕГРН).
    
44."
"Что делать, если застройщик не выполняет свои обязательства по благоустройству территории вокруг построенного дома?","В случае невыполнения обязательств по благоустройству следует обратиться к застройщику с письменной претензией и, при необходимости, в суд.
    
45."
Как узнать о планируемом строительстве очистных сооружений или других объектов коммунальной инфраструктуры вблизи моего дома?,"Информация о планируемом строительстве объектов коммунальной инфраструктуры должна быть отражена в документах территориального планирования.
    
46."
Что такое сервитут для прокладки коммуникаций через мой участок и обязан ли я его предоставлять?,"Сервитут для прокладки коммуникаций может быть установлен в соответствии со статьей 23 Земельного кодекса Российской Федерации, и в определенных случаях собственник обязан его предоставить.
    
47."
Как повлияет на уровень шума в моем доме планируемое строительство железнодорожной линии рядом?,"Влияние строительства железнодорожной линии на уровень шума должно быть оценено в рамках санитарно-эпидемиологической экспертизы проекта.
    
48."
"Что делать, если я считаю, что проект строительства соседнего объекта нарушает мои права на благоприятную окружающую среду?","В случае нарушения прав на благоприятную окружающую среду следует обратиться в природоохранные органы и, при необходимости, в суд.
    
49."
Как узнать о планируемом сносе ветхого жилья в моем районе и какие права имеют жильцы?,"Информация о планируемом сносе ветхого жилья доводится до жителей органами местного самоуправления, и их права регулируются жилищным законодательством.
    
50."
Что такое разрешение на отклонение от предельных параметров разрешенного строительства и в каких случаях его можно получить?,"Разрешение на отклонение от предельных параметров разрешенного строительства может быть выдано в исключительных случаях при соблюдении определенных условий в соответствии со статьей 40 Градостроительного кодекса Российской Федерации.

51."
"Как узнать, планируется ли строительство многоэтажного дома на месте соседней зеленой зоны?","Информацию о планируемом строительстве следует искать в генеральном плане поселения или городского округа, а также в проектах планировки территории, которые подлежат опубликованию в соответствии со статьей 24 Градостроительного кодекса Российской Федерации.
    
52."
Могут ли власти изменить целевое назначение земельного участка без моего ведома и согласия?,"Изменение целевого назначения земельного участка осуществляется путем внесения изменений в правила землепользования и застройки, которые подлежат публичному обсуждению в соответствии со статьей 33 Градостроительного кодекса Российской Федерации.
    
53."
"Что делать, если построенный многоквартирный дом не соответствует проекту и представляет опасность для жильцов?","В случае выявления нарушений проектной документации и требований безопасности следует обратиться в органы государственного строительного надзора в соответствии со статьей 54 Градостроительного кодекса Российской Федерации.
    
54."
"Как узнать, какие коммуникации (газ, вода, электричество) будут подведены к моему строящемуся дому и кто за это отвечает?","Информация о планируемых коммуникациях должна быть отражена в проектной документации и технических условиях на подключение, которые выдаются ресурсоснабжающими организациями в соответствии со статьей 48 Градостроительного кодекса Российской Федерации.
    
55."
"Что делать, если застройщик не выполняет обязательства по строительству обещанных объектов инфраструктуры (детского сада, школы)?","Невыполнение застройщиком обязательств может являться основанием для обращения в суд в рамках договора долевого строительства или иного договора, регулируемого статьями 46.1-46.9 Градостроительного кодекса Российской Федерации (комплексное развитие территории).
    
56."
Как повлияет на мой частный дом строительство рядом крупного промышленного объекта?,"Строительство промышленного объекта может потребовать проведения оценки воздействия на окружающую среду в соответствии с требованиями законодательства, регулируемого, в частности, статьей 49 Градостроительного кодекса Российской Федерации (экспертиза проектной документации).
    
57."
"Что делать, если я считаю, что строительство соседнего объекта нарушает мои права на инсоляцию (освещение)?","Нарушение норм инсоляции является нарушением строительных норм и правил, и следует обратиться в органы государственного строительного надзора в соответствии со статьей 54 Градостроительного кодекса Российской Федерации.
    
58."
"Могу ли я построить временное сооружение (например, торговый павильон) на земельном участке без оформления капитального строительства?","Размещение временных сооружений может регулироваться местными нормативными актами, принимаемыми в соответствии со статьей 36 Градостроительного кодекса Российской Федерации (градостроительные регламенты).
    
59."
"Как узнать, не планируется ли снос моего частного дома в рамках программы реновации или комплексного развития территории?","Информация о планируемом сносе должна быть доведена до собственников в установленном законом порядке в рамках принятия решений о комплексном развитии территории в соответствии со статьей 46.3 Градостроительного кодекса Российской Федерации.
    
60."
"Что делать, если я обнаружил незаконное строительство на соседнем участке?","О факте незаконного строительства следует сообщить в органы муниципального строительного контроля, осуществляющие надзор в соответствии со статьей 54 Градостроительного кодекса Российской Федерации.
    
61."
"Как узнать, какие требования предъявляются к парковочным местам при строительстве многоквартирного дома?","Требования к парковочным местам устанавливаются нормативами градостроительного проектирования, которые являются частью правил землепользования и застройки, разрабатываемых в соответствии со статьей 31 Градостроительного кодекса Российской Федерации.
    
62."
Что такое публичный сервитут для прохода или проезда через мой земельный участок и как определяется размер компенсации?,"Публичный сервитут устанавливается в соответствии со статьей 23 Земельного кодекса Российской Федерации, а порядок определения размера компенсации может регулироваться статьей 46 Градостроительного кодекса Российской Федерации (изъятие земельных участков для государственных или муниципальных нужд).
    
63."
"Как узнать, какие экологические требования действуют при строительстве вблизи водного объекта?","Экологические требования устанавливаются Водным кодексом Российской Федерации и другими природоохранными нормативными актами, которые должны учитываться при подготовке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.
    
64."
"Что делать, если застройщик многоквартирного дома не предоставляет информацию о ходе строительства?","Застройщик обязан предоставлять информацию участникам долевого строительства в порядке, установленном Федеральным законом от 30 декабря 2004 г. N 214-ФЗ, который регулирует отношения, связанные со строительством многоквартирных домов (статья 1 Градостроительного кодекса Российской Федерации).
    
65."
"Как узнать, какие требования предъявляются к благоустройству территории при строительстве?","Требования к благоустройству территории могут устанавливаться правилами землепользования и застройки, а также проектной документацией, разработанной в соответствии со статьей 42 Градостроительного кодекса Российской Федерации (проекты планировки территории).
    
66."
"Что делать, если я считаю, что проект строительства нарушает нормы пожарной безопасности?","О нарушении норм пожарной безопасности следует сообщить в органы государственного пожарного надзора, которые осуществляют контроль в соответствии с требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).
    
67."
"Как узнать, какие требования предъявляются к шумоизоляции в многоквартирных домах?","Требования к шумоизоляции устанавливаются строительными нормами и правилами, которые разрабатываются в соответствии с Федеральным законом ""О техническом регулировании"" и учитываются при проектировании согласно статье 48 Градостроительного кодекса Российской Федерации.
    
68."
"Что делать, если при проведении строительных работ на соседнем участке поврежден мой дом?","В случае повреждения дома следует обратиться к застройщику с требованием о возмещении ущерба в соответствии со статьей 60 Градостроительного кодекса Российской Федерации (ответственность застройщика).
    
69."
"Как узнать, какие требования предъявляются к доступности объектов для маломобильных групп населения при строительстве?","Требования к доступности устанавливаются Федеральным законом от 30 декабря 2009 г. N 384-ФЗ ""Технический регламент о безопасности зданий и сооружений"" и соответствующими сводами правил, которые являются обязательными для соблюдения при проектировании в силу статьи 48 Градостроительного кодекса Российской Федерации.
    
70."
"Что делать, если я обнаружил, что построенный объект не соответствует санитарно-эпидемиологическим требованиям?","О несоответствии санитарно-эпидемиологическим требованиям следует сообщить в органы Роспотребнадзора, которые осуществляют надзор в соответствии с санитарным законодательством и требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).
    
71."
"Как узнать, какие требования предъявляются к энергоэффективности зданий при строительстве?","Требования к энергоэффективности устанавливаются Федеральным законом от 23 ноября 2009 г. N 261-ФЗ ""Об энергосбережении и о повышении энергетической эффективности и о внесении изменений в отдельные законодательные акты Российской Федерации"", которые учитываются при разработке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.
    
72."
"Что делать, если застройщик отказывается предоставить мне проектную документацию на строящийся многоквартирный дом?","Застройщик обязан предоставлять проектную документацию участникам долевого строительства в соответствии с Федеральным законом от 30 декабря 2004 г. N 214-ФЗ, что также следует из принципа информационной открытости градостроительной деятельности (статья 4 Градостроительного кодекса Российской Федерации).
    
73."
"Как узнать, какие требования предъявляются к вентиляции и кондиционированию воздуха в жилых домах?","Требования к вентиляции и кондиционированию устанавливаются строительными нормами и правилами, которые являются частью нормативно-технической документации в строительстве (статья 48 Градостроительного кодекса Российской Федерации).1
    
74."
"Что делать, если я считаю, что при строительстве нарушаются мои права на неприкосновенность частной жизни (например, слишком близко расположены окна соседнего дома)?","Вопросы, связанные с нарушением прав на неприкосновенность частной жизни, могут быть рассмотрены в судебном порядке с учетом градостроительных норм и правил, регулирующих расстояния между зданиями (статья 42 Градостроительного кодекса Российской Федерации - планировка территории).
    
75."
"Как узнать, какие требования предъявляются к освещению территории при строительстве многоквартирных домов?","Требования к освещению территории могут устанавливаться нормами градостроительного проектирования, являющимися частью правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации).
    
76."
"Что делать, если я обнаружил, что построенный объект расположен на границе моего участка без моего согласия?","В случае нарушения границ земельного участка следует обратиться к кадастровому инженеру для проведения межевания и затем в суд с иском об устранении препятствий в пользовании земельным участком, что может быть основано на данных государственного кадастра недвижимости (статья 1 Градостроительного кодекса Российской Федерации - основные понятия).
    
77."
"Как узнать, какие требования предъявляются к озеленению территории при строительстве?","Требования к озеленению территории могут устанавливаться правилами землепользования и застройки и проектом благоустройства, которые разрабатываются в соответствии с принципами устойчивого развития территорий (статья 2 Градостроительного кодекса Российской Федерации).
    
78."
"Что делать, если застройщик не обеспечивает безопасность строительной площадки?","О нарушениях требований безопасности на строительной площадке следует сообщить в органы государственного строительного надзора, которые контролируют соблюдение требований технических регламентов (статья 53 Градостроительного кодекса Российской Федерации).
    
79."
"Как узнать, какие требования предъявляются к организации строительной площадки?","Требования к организации строительной площадки устанавливаются строительными нормами и правилами, а также проектом организации строительства, являющимся частью проектной документации (статья 48 Градостроительного кодекса Российской Федерации).
    
80."
"Что делать, если я считаю, что при строительстве нарушаются мои права на тишину и покой?","Нарушение тишины и покоя в ночное время регулируется законодательством об административных правонарушениях, однако градостроительные нормы также могут устанавливать требования к шумовому режиму на территориях жилой застройки (статья 30 Градостроительного кодекса Российской Федерации - градостроительное зонирование).
    
81."
"Как узнать, какие требования предъявляются к сбору и вывозу строительного мусора?","Требования к сбору и вывозу строительного мусора могут устанавливаться местными нормативными актами, принимаемыми в соответствии с законодательством об отходах производства и потребления, а также проектом организации строительства (статья 48 Градостроительного кодекса Российской Федерации).
    
82."
"Что делать, если застройщик не предоставляет гарантию на построенный объект?","Гарантийные обязательства застройщика устанавливаются Федеральным законом от 30 декабря 2004 г. N 214-ФЗ ""Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации"", а также Гражданским кодексом Российской Федерации (статья 755).
    
83."
"Как узнать, какие требования предъявляются к пожарным проездам и подъездам к зданиям?","Требования к пожарным проездам и подъездам устанавливаются нормами пожарной безопасности, которые являются обязательными для соблюдения при проектировании и строительстве (статья 48 и статья 51 Градостроительного кодекса Российской Федерации).
    
84."
"Что делать, если я обнаружил, что построенный объект препятствует доступу к объекту общего пользования?","О препятствии доступа к объекту общего пользования следует сообщить в органы местного самоуправления, которые осуществляют контроль за соблюдением градостроительных регламентов и правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации).
    
85."
"Как узнать, какие требования предъявляются к освещению улиц и общественных2 пространств при новом строительстве?","Требования к освещению устанавливаются нормами градостроительного проектирования, которые являются частью правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации) и могут также регулироваться проектами благоустройства территории (статья 42 Градостроительного кодекса Российской Федерации).
    
86."
"Что делать, если застройщик не выполняет свои обязательства по устранению выявленных недостатков в построенном доме?","В случае невыполнения гарантийных обязательств следует обратиться к застройщику с письменной претензией в соответствии с Федеральным законом ""Об участии в долевом строительстве"" и Гражданским кодексом Российской Федерации (статья 754).
    
87."
"Как узнать, какие требования предъявляются к лифтовому оборудованию в многоквартирных домах?","Требования к лифтовому оборудованию устанавливаются техническими регламентами, стандартами и сводами правил, которые являются обязательными для применения при проектировании и строительстве (статья 48 Градостроительного кодекса Российской Федерации).
    
88."
"Что делать, если я считаю, что проект строительства нарушает требования к охране объектов культурного наследия?","О нарушении требований к охране объектов культурного наследия следует сообщить в органы охраны культурного наследия в соответствии с Федеральным законом от 25 июня 2002 г. N 73-ФЗ ""Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации"", требования которого учитываются при градостроительном планировании (статья 9 Градостроительного кодекса Российской Федерации).
    
89."
"Как узнать, какие требования предъявляются к обустройству детских площадок и зон отдыха при строительстве жилых комплексов?","Требования к обустройству детских площадок и зон отдыха могут устанавливаться нормами градостроительного проектирования, проектами планировки территории (статья 42 Градостроительного кодекса Российской Федерации) и проектами благоустройства.
    
90."
"Что делать, если я обнаружил, что построенный объект создает угрозу обрушения?","Об угрозе обрушения следует немедленно сообщить в органы государственного строительного надзора, которые обязаны принять меры по предотвращению чрезвычайных ситуаций (статья 54 Градостроительного кодекса Российской Федерации).
    
91."
"Как узнать, какие требования предъявляются к организации водоотведения и канализации3 при строительстве?","Требования к водоотведению и канализации устанавливаются строительными нормами и правилами, а также техническими условиями на подключение к сетям, выдаваемыми ресурсоснабжающими организациями в соответствии с законодательством (статья 48 Градостроительного кодекса Российской Федерации).
    
92."
"Что делать, если застройщик не предоставляет информацию о страховании своей ответственности?","Застройщик обязан предоставлять информацию о страховании своей гражданской ответственности участникам долевого строительства в соответствии с Федеральным законом ""Об участии в долевом строительстве"".
    
93."
"Как узнать, какие требования предъявляются к отоплению и вентиляции в нежилых зданиях?","Требования к отоплению и вентиляции устанавливаются строительными нормами и правилами, техническими регламентами и стандартами, которые учитываются при проектировании (статья 48 Градостроительного кодекса Российской Федерации).
    
94."
"Что делать, если я считаю, что проект строительства нарушает мои права как собственника соседнего нежилого здания?","В случае нарушения прав собственника следует обратиться с претензией к застройщику и, при необходимости, в суд, ссылаясь на нормы градостроительного законодательства и правила землепользования и застройки (статья 60 Градостроительного кодекса Российской Федерации - ответственность застройщика).
    
95."
"Как узнать, какие требования предъявляются к электроснабжению при строительстве?","Требования к электроснабжению устанавливаются правилами устройства электроустановок и техническими условиями на подключение к электрическим сетям, выдаваемыми сетевыми организациями в соответствии с законодательством (статья 48 Градостроительного кодекса Российской Федерации).
    
96."
"Что делать, если застройщик не выполняет свои обязательства по передаче мне квартиры в установленный срок?","В случае нарушения срока передачи квартиры следует обратиться к застройщику с письменной претензией и требованием о выплате неустойки в соответствии со статьей 6 Федерального закона ""Об участии в долевом строительстве"".
    
97."
"Как узнать, какие требования предъявляются к слаботочным системам (телевидение, интернет) при строительстве многоквартирных домов?","Требования к слаботочным системам могут устанавливаться техническими условиями, выдаваемыми операторами связи, и проектной документацией (статья 48 Градостроительного кодекса Российской Федерации).
    
98."
"Что делать, если я считаю, что проект строительства нарушает требования к охране зеленых насаждений?","О нарушении требований к охране зеленых насаждений следует сообщить в органы местного самоуправления или природоохранные органы, которые контролируют соблюдение соответствующих правил и норм (статья 31 Градостроительного кодекса Российской Федерации - правила землепользования и застройки).
    
99."
"Как узнать, какие требования предъявляются к организации парковочного пространства для инвалидов при строительстве?","Требования к организации парковочного пространства для инвалидов устанавливаются строительными нормами и правилами, а также законодательством о социальной защите инвалидов, которые являются обязательными для соблюдения при проектировании (статья 48 Градостроительного кодекса Российской Федерации).
    
100."
"Что делать, если я обнаружил, что построенный объект препятствует свободному передвижению пешеходов?","О препятствии свободному передвижению пешеходов следует сообщить в органы местного самоуправления, которые осуществляют контроль за соблюдением градостроительных регламентов и обеспечением доступной среды (статья 31 и статья 42 Градостроительного кодекса Российской Федерации)."
