Вопрос,Ответ
"Что делать, если в ходе судебного разбирательства возникла необходимость привлечь к участию в деле третье лицо?","В соответствии со статьей 40 и статьей 43 Гражданского процессуального кодекса Российской Федерации, суд может по ходатайству лиц, участвующих в деле, или по своей инициативе привлечь к участию в деле третье лицо, заявляющее самостоятельные требования относительно предмета спора, или третье лицо, не заявляющее самостоятельных требований относительно предмета спора.
    
74."
Что такое судебные прения и каков порядок их проведения?,"Судебные прения состоят из речей лиц, участвующих в деле, их представителей. В судебных прениях первым выступает истец, затем ответчик. Третье лицо, заявившее самостоятельные требования относительно предмета спора, и его представитель выступают после истца и ответчика. Третье лицо, не заявившее самостоятельных требований относительно предмета спора, и его представитель выступают после истца и ответчика (статья 190 Гражданского процессуального кодекса Российской Федерации).
    
75."
В какой срок суд должен вынести решение после судебных прений?,"После судебных прений суд удаляется в совещательную комнату для принятия решения. Решение суда должно быть принято и объявлено в судебном заседании в тот же день, в который закончилось рассмотрение дела по существу, за исключением сложных дел, по которым составление мотивированного решения может быть отложено на срок не более чем пять дней со дня окончания судебного заседания (статья 199 Гражданского процессуального кодекса Российской Федерации).
    
76."
"Что делать, если я не могу присутствовать в судебном заседании?","В случае неявки в судебное заседание лица, участвующего в деле, извещенного надлежащим образом о времени и месте судебного заседания, суд вправе отложить разбирательство дела (статья 167 Гражданского процессуального кодекса Российской Федерации). Если причина неявки будет признана неуважительной, дело может быть рассмотрено в отсутствие этого лица.
    
77."
Как заявить отвод судье?,"Отвод судье может быть заявлен при наличии оснований, предусмотренных статьей 16 Гражданского процессуального кодекса Российской Федерации (например, если судья лично, прямо или косвенно заинтересован в исходе дела). Отвод заявляется в письменной форме до начала рассмотрения дела по существу, а в ходе судебного разбирательства - только в случае, если основание отвода стало известно после начала рассмотрения дела.
    
78."
"Что делать, если я не согласен с действиями судьи в ходе судебного разбирательства?","Несогласие с действиями судьи может быть выражено путем подачи письменных возражений, которые заносятся в протокол судебного заседания. Кроме того, действия судьи могут быть обжалованы вместе с обжалованием судебного решения по делу.
    
79."
Какие виды доказательств могут быть представлены в суд?,"В соответствии со статьей 55 Гражданского процессуального кодекса Российской Федерации, доказательствами по делу являются полученные в предусмотренном законом порядке сведения о фактах, на основе которых суд устанавливает наличие или отсутствие обстоятельств, обосновывающих требования и возражения сторон, а также иных обстоятельств, имеющих значение для правильного рассмотрения и разрешения дела. Эти сведения могут быть получены из объяснений сторон и третьих лиц, показаний свидетелей, письменных и вещественных доказательств, аудио- и видеозаписей, заключений экспертов.
    
80."
Как вызвать свидетеля в суд?,"Лицо, ходатайствующее о вызове свидетеля, обязано указать, какие обстоятельства, имеющие значение для рассмотрения дела, может подтвердить свидетель, и сообщить суду его имя, отчество, фамилию и место жительства. Суд вызывает свидетеля в судебное заседание (статья 70 Гражданского процессуального кодекса Российской Федерации).
    
81."
"Что делать, если вызванный в суд свидетель не является?","В случае неявки в судебное заседание свидетеля, извещенного надлежащим образом, суд может подвергнуть его штрафу в размере, установленном федеральным законом (часть 2 статьи 168 Гражданского процессуального кодекса Российской Федерации).
    
82."
Как проводится экспертиза по гражданскому делу?,"Экспертиза назначается судом по ходатайству лиц, участвующих в деле, или по своей инициативе, если для разъяснения возникших вопросов требуются специальные знания в различных областях науки, техники, искусства, ремесла. Вопросы, поставленные перед экспертом, и заключение эксперта оформляются в соответствии со статьями 84-86 Гражданского процессуального кодекса Российской Федерации.
    
83."
Кто оплачивает расходы на проведение экспертизы?7,"Расходы на проведение экспертизы несет сторона, заявившая ходатайство о ее назначении, если иное не установлено судом (статья 96 Гражданского процессуального кодекса Российской Федерации).
    
84."
Что такое обеспечительные меры и в каких случаях они могут быть приняты судом?,"Обеспечительные меры принимаются8 судом по заявлению лиц, участвующих в деле, в случае, если непринятие таких мер может затруднить или сделать невозможным исполнение решения суда. Виды обеспечительных мер перечислены в статье 139 Гражданского процессуального кодекса Российской Федерации (например, наложение ареста на имущество).
    
85."
Как подать заявление об обеспечении иска?,"Заявление об обеспечении иска подается в суд, в производстве которого находится дело, одновременно с подачей искового заявления или в процессе производства по делу. Заявление должно содержать основания для принятия обеспечительных мер и перечень конкретных мер, которые необходимо принять (статья 139 Гражданского процессуального кодекса Российской Федерации).
    
86."
"Что делать, если суд отказал в принятии обеспечительных мер?","На определение суда об отказе в обеспечении иска может быть подана частная жалоба в апелляционную инстанцию (статья 331 Гражданского процессуального кодекса Российской Федерации).
    
87."
Что такое мировое соглашение и как его заключить в суде?,"Мировое соглашение является способом урегулирования спора между сторонами путем взаимных уступок. Оно может быть заключено на любой стадии гражданского процесса. Мировое соглашение заключается в письменной форме и утверждается судом (статья 173 Гражданского процессуального кодекса Российской Федерации).
    
88."
Какие последствия влечет за собой утверждение мирового соглашения судом?,"Утвержденное судом мировое соглашение имеет силу судебного решения и подлежит немедленному исполнению. Повторное обращение в суд по тому же спору между теми же сторонами по тем же основаниям не допускается (статья 221 Гражданского процессуального кодекса Российской Федерации).
    
89."
Что такое заочное решение суда и в каких случаях оно выносится?,"Заочное решение выносится в случае неявки в судебное заседание ответчика, извещенного надлежащим образом о времени и месте судебного заседания, не сообщившего суду о причинах неявки и не просившего о рассмотрении дела в его отсутствие, если истец не возражает против такого рассмотрения дела (статья 233 Гражданского процессуального кодекса Российской Федерации).
    
90."
Как отменить заочное решение суда?,"Ответчик вправе подать в суд, принявший заочное решение, заявление об отмене этого решения в течение семи дней со дня вручения ему копии этого решения (статья 237 Гражданского процессуального кодекса Российской Федерации).
    
91."
"Что делать, если я не согласен с решением мирового судьи?","Решение мирового судьи может быть обжаловано в апелляционном порядке в районный суд в течение одного месяца со дня принятия решения мировым судьей в окончательной форме (статья 321 Гражданского процессуального кодекса Российской Федерации).
    
92."
В какой срок должно быть исполнено решение суда?,"Решение суда подлежит исполнению после вступления его в законную силу, за исключением случаев немедленного исполнения, предусмотренных статьей 211 Гражданского процессуального кодекса Российской Федерации. Срок для добровольного исполнения может быть установлен судом.
    
93."
"Что делать, если должник не исполняет решение суда добровольно?","В случае неисполнения должником решения суда в добровольном порядке, взыскатель вправе обратиться в суд за выдачей исполнительного листа и предъявить его судебному приставу-исполнителю для принудительного исполнения (статья 428 Федерального закона от 02.10.2007 N 229-ФЗ ""Об исполнительном производстве"").
    
94."
Какие действия может предпринять судебный пристав-исполнитель для принудительного исполнения решения суда?,"Судебный пристав-исполнитель имеет право совершать различные исполнительные действия, предусмотренные Федеральным законом ""Об исполнительном производстве"", в том числе налагать арест на имущество должника, обращать взыскание на его заработную плату и иные доходы, производить изъятие имущества и его9 реализацию.
    
95."
Могу ли я получить отсрочку или рассрочку исполнения решения суда?,"В соответствии со статьей 203 Гражданского процессуального кодекса Российской Федерации, суд, рассмотревший дело, по заявлениям лиц, участвующих в деле, судебного пристава-исполнителя либо по своей инициативе вправе отсрочить или рассрочить исполнение решения суда, изменить способ и порядок его исполнения.
    
96."
Что такое судебные расходы и кто их несет?,"Судебные расходы состоят из государственной пошлины и издержек, связанных с рассмотрением дела. Как правило, судебные расходы несет проигравшая сторона (статья 88 и статья 98 Гражданского процессуального кодекса Российской Федерации).
    
97."
Могу ли я быть освобожден от уплаты государственной пошлины при обращении в суд?,"В соответствии со статьей 333.36 Налогового кодекса Российской Федерации, отдельные категории граждан могут быть освобождены от уплаты государственной пошлины при обращении в суд. Кроме того, суд может освободить гражданина от уплаты государственной пошлины, исходя из его имущественного положения (статья 90 Гражданского процессуального кодекса Российской Федерации).
    
98."
Как взыскать с ответчика понесенные мной судебные расходы?,"Вопрос о распределении судебных расходов разрешается судом при вынесении решения. Сторона, в пользу которой состоялось решение суда, вправе требовать возмещения понесенных ею судебных расходов (статья 98 Гражданского процессуального кодекса Российской Федерации).
    
99."
"Что делать, если я не согласен с действиями судебного пристава-исполнителя?","Действия (бездействие) судебного пристава-исполнителя могут быть обжалованы вышестоящему должностному лицу службы судебных приставов или в суд в порядке, предусмотренном статьей10 441 Гражданского процессуального кодекса11 Российской Федерации и Федеральным законом ""Об исполнительном производстве"".
    
100."
Где можно получить бесплатную юридическую помощь по вопросам гражданского судопроизводства?,"Бесплатную юридическую помощь можно получить в государственных юридических бюро, адвокатских палатах субъектов Российской Федерации, а также в рамках государственных программ оказания бесплатной юридической помощи (Федеральный закон от 21.11.2011 N 324-ФЗ ""О бесплатной юридической помощи в Российской Федерации"")."
