Вопрос,Ответ
Кто обязан оплачивать взносы на капитальный ремонт?,"В соответствии со статьей 169 Жилищного кодекса Российской Федерации, обязанность по уплате взносов на капитальный ремонт общего имущества в многоквартирном доме возлагается на собственников помещений в этом доме.
    
12."
"Что делать, если сосед сверху затапливает мою квартиру?","В случае затопления квартиры по вине соседа необходимо зафиксировать факт затопления (например, с помощью акта, составленного управляющей компанией), определить причину и виновника, после чего обратиться к виновнику с требованием о возмещении причиненного ущерба в соответствии со статьей 1064 Гражданского кодекса Российской Федерации.
    
13."
Какие правила пользования жилыми помещениями установлены Жилищным кодексом Российской Федерации?,"Правила пользования жилыми помещениями установлены статьей 17 Жилищного кодекса Российской Федерации, включая обязанность использовать жилое помещение по назначению, соблюдать права и законные интересы соседей, правила пользования общим имуществом, а также правила содержания общего имущества.
    
14."
"Могут ли меня выселить из квартиры, если я являюсь собственником?","Собственник жилого помещения может быть выселен из него только в случаях, прямо предусмотренных законом, например, в случае обращения взыскания на жилое помещение по обязательствам собственника (статья 446 Гражданского процессуального кодекса Российской Федерации) или в случае признания жилого помещения непригодным для проживания и не подлежащим ремонту или реконструкции (статья 32 Жилищного кодекса Российской Федерации).
    
15."
"В каком порядке осуществляется выселение из жилого помещения, занимаемого по договору социального найма?","Выселение из жилого помещения, занимаемого по договору социального найма, допускается только по основаниям, установленным статьей 83 и статьей 85-91 Жилищного кодекса Российской Федерации, и осуществляется в судебном порядке.
    
16."
Какие права имеют наниматели жилых помещений по договору социального найма?,"Права и обязанности нанимателей жилых помещений по договору социального найма установлены главой 8 Жилищного кодекса Российской Федерации (статьи 67-82).
    
17."
Могут ли повышаться тарифы на коммунальные услуги произвольно?,"Тарифы на коммунальные услуги регулируются государством и устанавливаются в порядке, определенном Правительством Российской Федерации и органами государственной власти субъектов Российской Федерации (статья 157 Жилищного кодекса Российской Федерации).
    
18."
"Что делать, если я не согласен с размером платы за коммунальные услуги?","В случае несогласия с размером платы за коммунальные услуги необходимо обратиться в управляющую организацию, ТСЖ либо непосредственно к ресурсоснабжающей организации для получения разъяснений и проведения проверки правильности начисления платы. В случае неудовлетворения ответа можно обратиться в органы государственного жилищного надзора или в суд.
    
19."
Как оформить перепланировку квартиры в многоквартирном доме?,"Перепланировка жилого помещения проводится с соблюдением требований законодательства по согласованию с органом местного самоуправления на основании подготовленного и оформленного в установленном порядке проекта (статья 26 Жилищного кодекса Российской Федерации).
    
20."
Какая ответственность предусмотрена за самовольную перепланировку квартиры?,"Самовольно перепланированное жилое помещение должно быть приведено в прежнее состояние в разумный срок и в порядке, которые установлены органом, осуществляющим согласование. В случае невыполнения этого требования, суд по иску указанного органа может принять решение о продаже с публичных торгов такого жилого помещения с выплатой собственнику вырученных от продажи средств за вычетом расходов на исполнение судебного решения (статья 29 Жилищного кодекса Российской Федерации).
    
21."
Что такое капитальный ремонт общего имущества в многоквартирном доме?,"Капитальный ремонт общего имущества включает в себя ремонт или замену лифтов, лифтовых шахт, крыш, фасадов, фундаментов, подвальных помещений, инженерных систем и оборудования (пункт 1 части 2 статьи 166 Жилищного кодекса Российской Федерации).
    
22."
"Как узнать, включен ли мой дом в региональную программу капитального ремонта?","Региональные программы капитального ремонта общего имущества в многоквартирных домах утверждаются органами государственной власти субъектов Российской Федерации и подлежат опубликованию (статья 168 Жилищного кодекса Российской Федерации).
    
23."
"Могут ли собственники7 самостоятельно принять решение о проведении капитального ремонта раньше срока, установленного региональной программой?","Собственники помещений в многоквартирном доме вправе на общем собрании принять решение о проведении капитального ремонта общего имущества в своем многоквартирном доме ранее срока, установленного региональной программой, при условии, что на дату принятия такого решения имеется остаток средств на специальном счете в размере не менее чем тридцать процентов от планируемой стоимости капитального ремонта (часть 4 статьи 173 Жилищного кодекса Российской Федерации).
    
24."
"Что делать, если управляющая8 компания не выполняет работы по текущему ремонту общего имущества?","В случае невыполнения управляющей компанией работ по текущему ремонту общего имущества собственники помещений вправе обратиться в управляющую компанию с соответствующим требованием, а также в органы государственного жилищного надзора (статья 165 Жилищного кодекса Российской Федерации).
    
25."
Как сменить управляющую компанию многоквартирного дома?,"Решение о выборе способа управления многоквартирным домом, в том числе о выборе управляющей организации, принимается на общем собрании собственников помещений большинством голосов от общего числа голосов собственников (статья 161 Жилищного кодекса Российской Федерации).
    
26."
Какие требования предъявляются к содержанию общего имущества многоквартирного дома?,"Содержание общего имущества многоквартирного дома должно осуществляться в соответствии с требованиями законодательства Российской Федерации, включая требования санитарно-эпидемиологического благополучия населения, пожарной безопасности, градостроительных норм и правил (статья 166 Жилищного кодекса Российской Федерации).
    
27."
"Что делать, если я обнаружил неисправность общего имущества в многоквартирном доме (например, протечку крыши)?","О неисправности общего имущества необходимо сообщить в управляющую организацию или ТСЖ для принятия мер по ее устранению (статья 165 Жилищного кодекса Российской Федерации).
    
28."
Могу ли я установить кондиционер на фасаде многоквартирного дома?,"Установка кондиционера на фасаде многоквартирного дома может потребовать согласования с управляющей организацией или общим собранием собственников помещений, так как фасад относится к общему имуществу (статья 36 Жилищного кодекса Российской Федерации).
    
29."
Какие правила действуют при проведении общего собрания собственников в заочной форме?,"Порядок проведения общего собрания собственников в заочной форме регулируется статьей 47 Жилищного кодекса Российской Федерации, включая требования к уведомлению собственников, оформлению решений и подсчету голосов.
    
30."
Что такое договор управления многоквартирным домом и какие условия он должен содержать?,"Договор управления многоквартирным домом заключается между собственниками помещений и управляющей организацией и должен содержать существенные условия, предусмотренные статьей 162 Жилищного кодекса Российской Федерации, включая перечень работ и услуг по управлению, содержанию и ремонту общего имущества, порядок определения размера платы за содержание и ремонт, порядок осуществления контроля за исполнением договора.
    
31."
Как расторгнуть договор управления многоквартирным домом?,"Договор управления многоквартирным домом может быть расторгнут по соглашению сторон, в одностороннем порядке по основаниям, предусмотренным законом или договором, а также по решению общего собрания собственников помещений (статья 162 Жилищного кодекса Российской Федерации).
    
32."
Что такое плата за содержание жилого помещения и что в нее входит?,"Плата за содержание жилого помещения включает в себя плату за услуги, работы по управлению многоквартирным домом, за содержание и текущий ремонт общего имущества в многоквартирном доме, а также за коммунальные ресурсы, потребляемые при использовании и содержании общего имущества в многоквартирном доме (часть 1 статьи 154 Жилищного кодекса Российской Федерации).
    
33."
Могут ли собственники помещений самостоятельно определять размер платы за содержание жилого помещения?,"Размер платы за содержание жилого помещения устанавливается на общем собрании собственников помещений в многоквартирном доме с учетом предложений управляющей организации (статья 156 Жилищного кодекса Российской Федерации).
    
34."
"Что делать, если я не согласен с размером платы за содержание жилого помещения, установленным управляющей компанией?","В случае несогласия с размером платы за содержание жилого помещения необходимо обратиться в управляющую компанию для получения разъяснений. Если ответ не удовлетворит, можно обратиться в органы государственного жилищного надзора или в суд.
    
35."
"Какие права имеют жильцы, проживающие в квартире по договору найма?","Права и обязанности нанимателей жилых помещений по договору найма регулируются главой 5 Жилищного кодекса Российской Федерации (статьи 671-688 Гражданского кодекса Российской Федерации применяются к договору найма жилого помещения).
    
36."
Может ли собственник выселить нанимателя из квартиры до истечения срока договора найма?,"Досрочное расторжение договора9 найма жилого помещения по требованию собственника допускается в случаях, предусмотренных статьей 687 Гражданского кодекса Российской Федерации10 (например, невнесение нанимателем платы за жилое помещение более двух раз подряд).
    
37."
Какие правила действуют при сдаче квартиры в аренду (наем)?,"Сдача квартиры в аренду (наем) регулируется главой 35 Гражданского кодекса Российской Федерации. Собственник вправе сдавать жилое помещение внаем на основании договора найма.
    
38."
"Что делать, если соседи шумят в ночное время?","Нарушение тишины и покоя граждан в ночное время регулируется законодательством об административных правонарушениях субъектов Российской Федерации. Необходимо обратиться в правоохранительные органы.
    
39."
Какие правила содержания домашних животных в многоквартирном доме установлены законом?,"Жилищный кодекс Российской Федерации напрямую не регулирует вопросы содержания домашних животных. Эти вопросы могут быть урегулированы правилами пользования жилыми помещениями, утвержденными общим собранием собственников помещений (статья 30 Жилищного кодекса Российской Федерации).
    
40."
"Что делать, если я обнаружил незаконную перепланировку у соседей?","О факте незаконной перепланировки необходимо сообщить в орган местного самоуправления, осуществляющий контроль за перепланировкой жилых помещений (статья 26 Жилищного кодекса Российской Федерации).
    
41."
"Как узнать, признан ли мой дом аварийным и подлежащим сносу?","Информация о признании многоквартирного дома аварийным и подлежащим сносу доводится до собственников помещений органом местного самоуправления в порядке, установленном законодательством (статья 32 Жилищного кодекса Российской Федерации).
    
42."
Какие права имеют собственники при сносе аварийного дома?,"Собственникам помещений в аварийном доме предоставляется другое благоустроенное жилое помещение по договору социального найма либо выплачивается выкупная цена за изымаемое жилое помещение (статья 32 Жилищного кодекса Российской Федерации).
    
43."
Что такое придомовая территория многоквартирного дома и кто несет ответственность за ее содержание?,"Придомовая территория входит в состав общего имущества многоквартирного дома, и ответственность за ее содержание несут собственники помещений, которые могут осуществлять управление этой территорией самостоятельно или через управляющую организацию (статья 36 Жилищного кодекса Российской Федерации).
    
44."
Могу ли я огородить часть придомовой территории и использовать ее в личных целях?,"Ограждение части придомовой территории и ее использование в личных целях возможно только по решению общего собрания собственников помещений, принятому большинством не менее двух третей голосов от общего числа голосов собственников (статья 44 Жилищного кодекса Российской Федерации).
    
45."
Как организовать парковку на придомовой территории?,"Вопросы организации парковки на придомовой территории решаются на общем собрании собственников помещений (статья 44 Жилищного кодекса Российской Федерации) с учетом требований градостроительных норм и правил.
    
46."
"Что делать, если управляющая компания не обеспечивает надлежащее санитарное состояние подъезда?","В случае ненадлежащего санитарного состояния подъезда необходимо обратиться с жалобой в управляющую компанию, а также в органы государственного жилищного надзора (статья 165 Жилищного кодекса Российской Федерации).
    
47."
Как установить шлагбаум на въезде на придомовую территорию?,"Решение об установке шлагбаума принимается на общем собрании собственников помещений большинством голосов от общего числа голосов собственников (статья 44 Жилищного кодекса Российской Федерации).
    
48."
"Что делать, если сосед использует свою квартиру не по назначению (например, организовал хостел)?","Использование жилого помещения не по назначению является нарушением жилищного законодательства, и необходимо обратиться с жалобой в органы местного самоуправления и органы государственного жилищного надзора (статья 17 Жилищного кодекса Российской Федерации).
    
49."
"Как провести общее собрание собственников в многоквартирном доме, если в доме много квартир и сложно собрать кворум?","В случае отсутствия кворума при проведении общего собрания собственников может быть проведено повторное общее собрание по той же повестке дня. Также возможно проведение общего собрания в заочной форме (статьи 45-47 Жилищного кодекса Российской Федерации).
    
50."
"Что делать, если я считаю, что решение общего собрания собственников нарушает мои права?","Решение общего собрания собственников помещений в многоквартирном доме, которое нарушает требования Жилищного кодекса Российской Федерации, иных федеральных законов, может быть оспорено в судебном порядке любым собственником, не принимавшим участия в этом собрании или голосовавшим против принятия такого решения, в течение шести месяцев со дня, когда указанный собственник узнал или должен был узнать о принятом решении (статья 46 Жилищного кодекса Российской Федерации).

51."
Кто имеет право на получение жилого помещения по договору социального найма?,"В соответствии со статьей 49 Жилищного кодекса Российской Федерации, малоимущим гражданам, признанным по установленным законом основаниям нуждающимися в жилых помещениях, предоставляются жилые помещения муниципального жилищного фонда по договорам социального найма.
    
52."
Каков порядок постановки на учет в качестве нуждающегося в жилом помещении?,"Порядок принятия граждан на учет в качестве нуждающихся в жилых помещениях устанавливается законом субъекта Российской Федерации (статья 52 Жилищного кодекса Российской Федерации).
    
53."
Могут ли меня снять с учета нуждающихся в жилом помещении?,"Основания снятия граждан с учета в качестве нуждающихся в жилых помещениях установлены статьей 56 Жилищного кодекса Российской Федерации, например, в случае улучшения их жилищных условий.
    
54."
Какие права имеют члены семьи нанимателя жилого помещения по договору социального найма?,"Члены семьи нанимателя жилого помещения по договору социального найма имеют равные с нанимателем права и обязанности (статья 69 Жилищного кодекса Российской Федерации).
    
55."
Может ли наниматель жилого помещения по договору социального найма обменять занимаемое жилое помещение?,"Наниматель жилого помещения по договору социального найма с согласия в письменной форме наймодателя и проживающих совместно с ним членов его семьи вправе произвести обмен занимаемого жилого помещения на другое жилое помещение, предоставленное по договору социального найма другому нанимателю (статья 72 Жилищного кодекса Российской Федерации).
    
56."
В каких случаях договор социального найма жилого помещения может быть расторгнут по требованию наймодателя?,"Договор социального найма жилого помещения может быть расторгнут в судебном порядке по требованию наймодателя в случаях, предусмотренных статьей 83 Жилищного кодекса Российской Федерации, например, невнесения нанимателем платы за жилое помещение более шести месяцев.
    
57."
Что такое жилой дом блокированной застройки?,"Жилым домом блокированной застройки является жилой дом, блокированный с другим жилым домом (или другими жилыми домами) в одном ряду посредством боковых стен без проемов и имеющий самостоятельный выход на отдельный земельный участок (пункт 16 статьи 1 Градостроительного кодекса Российской Федерации, применяется по аналогии).
    
58."
"Каковы особенности правового положения собственников помещений в многоквартирном доме, в котором создано жилищное объединение (например, жилищный кооператив)?","Правовое положение членов жилищного кооператива регулируется главой 11 Жилищного кодекса Российской Федерации (статьи 110-134). Член жилищного кооператива приобретает право собственности на жилое помещение после выплаты паевого взноса.
    
59."
Какие права и обязанности имеют члены жилищного кооператива?,"Права и обязанности членов жилищного кооператива установлены статьей 124 Жилищного кодекса Российской Федерации, включая1 право пользования жилым помещением, участие в управлении кооперативом и обязанность своевременно вносить паевые и иные взносы.
    
60."
Как происходит исключение из членов жилищного кооператива?,"Член жилищного кооператива может быть исключен из кооператива по основаниям, предусмотренным статьей 130 Жилищного кодекса Российской Федерации, например, в случае невнесения без уважительных причин паевого взноса в установленный срок.
    
61."
Что такое служебное жилое помещение и кто имеет право на его получение?,"Служебные жилые помещения предоставляются гражданам в связи с характером их трудовых отношений с органом государственной власти, органом местного самоуправления, государственным или муниципальным унитарным предприятием, государственным или муниципальным учреждением, прохождением службы, назначением на государственную должность Российской Федерации или государственную должность субъекта Российской Федерации либо избранием на выборные должности в органах государственной власти или органах местного самоуправления (статья 92 Жилищного кодекса Российской Федерации).
    
62."
В каком порядке осуществляется выселение из служебного жилого помещения?,"Граждане, прекратившие трудовые отношения с организацией, предоставившей служебное жилое помещение, подлежат выселению из него вместе с проживающими совместно с ними членами их семей без предоставления другого жилого помещения, если иное не предусмотрено федеральным законом или договором (статья 103 Жилищного кодекса Российской Федерации).
    
63."
Что такое жилое помещение в общежитии и кто имеет право на его получение?,"Жилые помещения в общежитиях предоставляются на период их работы (службы) или обучения (статья 94 Жилищного кодекса Российской Федерации).
    
64."
В каком порядке осуществляется выселение из жилого помещения в общежитии?,"Граждане, прекратившие работу (службу) или обучение, подлежат выселению из общежития без предоставления другого жилого помещения (статья 105 Жилищного кодекса Российской Федерации).
    
65."
Что такое маневренный фонд жилых помещений и для каких целей он предназначен?,"Маневренный фонд жилых помещений предназначен для временного проживания граждан, которые в результате чрезвычайных ситуаций, стихийных бедствий, пожаров или иных подобных2 обстоятельств утратили свое жилое помещение, а также в других случаях, предусмотренных3 законом (статья 95 Жилищного кодекса Российской Федерации).
    
66."
На какой срок предоставляются жилые помещения маневренного фонда?,"Жилые помещения маневренного4 фонда предоставляются на срок до завершения капитального ремонта или реконструкции утраченного жилого помещения, а в случаях, предусмотренных законодательством, на иной срок (статья 106 Жилищного кодекса Российской Федерации).
    
67."
Что такое специализированный жилищный фонд?,"Специализированный жилищный фонд включает в себя служебные жилые помещения, жилые помещения в общежитиях, жилые помещения маневренного фонда, жилые помещения в домах системы социального обслуживания граждан, жилые помещения фонда для временного поселения вынужденных переселенцев, жилые помещения фонда для временного поселения лиц, признанных беженцами, жилые помещения для социальной защиты отдельных категорий граждан, жилые помещения для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей (статья 92 Жилищного кодекса Российской Федерации).
    
68."
Какие требования предъявляются к жилым помещениям специализированного жилищного фонда?,"Жилые помещения специализированного жилищного фонда должны быть пригодными для проживания граждан и отвечать установленным санитарным и техническим правилам и нормам, требованиям пожарной безопасности, экологическим и иным требованиям законодательства (статья 99 Жилищного кодекса Российской Федерации).
    
69."
Что такое договор найма специализированного жилого помещения?,"По договору найма специализированного жилого помещения одна сторона - собственник специализированного жилого помещения (действующий от его имени уполномоченный государственный орган или уполномоченный орган местного самоуправления) обязуется предоставить другой стороне - гражданину (нанимателю) данное жилое помещение для временного проживания (статья 100 Жилищного кодекса Российской Федерации).
    
70."
В каких случаях договор найма специализированного жилого помещения может быть прекращен?,"Договор найма специализированного жилого помещения прекращается по основаниям, предусмотренным статьей 101 Жилищного кодекса Российской Федерации, например, в связи с прекращением5 трудовых отношений (для служебных жилых помещений) или окончанием срока обучения (для общежитий).
    
71."
"Что такое плата за наем жилого помещения,6 входящего в государственный или муниципальный жилищный фонд?","Размер платы за наем жилого помещения, находящегося в государственной или муниципальной собственности, устанавливается в соответствии с7 порядком, определенным соответственно Правительством Российской Федерации, органом государственной власти субъекта Российской Федерации или органом местного самоуправления (статья 156 Жилищного кодекса Российской Федерации).
    
72."
"Какие существуют особенности управления многоквартирным домом, в котором все помещения находятся в собственности одного лица?","В многоквартирном доме, все помещения в котором принадлежат8 одному собственнику, решения по вопросам, относящимся к компетенции общего собрания собственников помещений, принимаются этим собственником единолично и оформляются письменно (часть 6 статьи 46 Жилищного кодекса Российской Федерации).
    
73."
Что такое непосредственное управление многоквартирным9 домом и в каких случаях оно применяется?,"Непосредственное управление многоквартирным домом может осуществляться собственниками помещений в многоквартирном доме, количество квартир в котором составляет не более чем тридцать (статья 164 Жилищного кодекса Российской Федерации).
    
74."
Какие договоры заключают собственники при непосредственном управлении многоквартирным домом?,"При непосредственном управлении многоквартирным домом договоры оказания услуг по содержанию и (или) выполнению работ по ремонту общего имущества в таком доме заключаются собственниками помещений с лицами, осуществляющими соответствующие виды деятельности, на основании решений, принятых на общем собрании указанных собственников (часть 2 статьи 164 Жилищного кодекса Российской Федерации).
    
75."
Что такое лицензирование деятельности по управлению многоквартирными домами?,"Деятельность по управлению многоквартирными домами подлежит лицензированию в соответствии со статьями 192-204 Жилищного кодекса Российской Федерации.
    

 76."
Какие требования предъявляются к юридическому лицу или индивидуальному предпринимателю для получения лицензии на управление многоквартирными домами?,"Требования к лицензиатам установлены статьей 193 Жилищного кодекса Российской Федерации, включая регистрацию в качестве юридического лица или индивидуального предпринимателя, наличие квалификационного11 аттестата у руководителя, отсутствие судимости за определенные преступления.

77."
Что такое реестр лицензий на осуществление деятельности по управлению многоквартирными домами?,"Реестр лицензий на осуществление деятельности по управлению многоквартирными домами ведется органом государственного жилищного надзора субъекта Российской Федерации (статья 198 Жилищного кодекса Российской Федерации).
    
78."
В каких случаях лицензия на осуществление деятельности по управлению многоквартирными домами может быть аннулирована?,"Основания для аннулирования лицензии установлены статьей 201 Жилищного кодекса Российской Федерации, например, неоднократное грубое нарушение лицензионных требований.
    
79."
Что такое квалификационный12 аттестат руководителя управляющей13 организации?,"Квалификационный аттестат подтверждает соответствие руководителя управляющей организации квалификационным требованиям, установленным статьей 202 Жилищного кодекса Российской Федерации.
    
80."
Как получить квалификационный аттестат руководителя управляющей организации?,"Квалификационный аттестат выдается на основании результатов квалификационного экзамена (статья 202 Жилищного кодекса Российской Федерации).
    
81."
Что такое государственный жилищный надзор?,"Государственный жилищный надзор направлен на предупреждение, выявление и пресечение нарушений жилищного законодательства (статья 20 Жилищного кодекса Российской Федерации).
    
82."
Какие органы осуществляют государственный жилищный надзор?,"Государственный жилищный надзор осуществляется уполномоченными органами исполнительной власти субъектов Российской Федерации (статья 20 Жилищного кодекса Российской Федерации).
    
83."
Какие права имеют должностные лица органов государственного жилищного надзора?,"Должностные лица органов государственного жилищного надзора имеют право, в частности, проводить проверки соблюдения жилищного законодательства, выдавать предписания об устранении выявленных нарушений, составлять протоколы об административных правонарушениях (статья 20 Жилищного кодекса Российской Федерации).
    
84."
"Что делать, если я не согласен с предписанием органа государственного жилищного надзора?","Предписание органа государственного жилищного надзора может быть обжаловано в судебном порядке (статья 20 Жилищного кодекса Российской Федерации).
    
85."
Что такое муниципальный жилищный контроль?,"Муниципальный жилищный контроль осуществляется органами местного самоуправления и направлен на проверку соблюдения жилищного законодательства юридическими лицами и индивидуальными предпринимателями, осуществляющими управление многоквартирными домами (статья 20 Жилищного кодекса Российской Федерации).
    
86."
Какие права имеют должностные лица органов муниципального жилищного контроля?,"Должностные лица органов муниципального жилищного контроля имеют право проводить проверки, выдавать предписания об устранении нарушений, составлять протоколы об административных правонарушениях в пределах своей компетенции (статья 20 Жилищного кодекса Российской Федерации).
    
87."
Что такое общественные объединения собственников помещений в многоквартирных домах?,"Собственники помещений в многоквартирных домах могут создавать общественные объединения для защиты своих прав и законных интересов в сфере жилищных отношений (статья 4 Жилищного кодекса Российской Федерации).
    
88."
Какие права имеют общественные объединения собственников помещений?,"Общественные объединения собственников помещений имеют право, в частности, представлять интересы своих членов в органах государственной власти и местного самоуправления, обращаться в суд с заявлениями в защиту прав и законных интересов своих членов (статья 4 Жилищного кодекса Российской Федерации).
    
89."
Что такое энергосервисный договор и в каких случаях он заключается?,"Энергосервисный договор направлен на проведение мероприятий по энергосбережению и повышению энергетической эффективности общего имущества в многоквартирном доме (статья 157.2 Жилищного кодекса Российской Федерации).
    
90."
Как собственники помещений могут принять решение о заключении энергосервисного договора?,"Решение о заключении энергосервисного договора принимается на общем собрании собственников помещений большинством голосов от общего числа голосов собственников (статья 44 Жилищного кодекса Российской Федерации).
    
91."
Что такое региональный оператор капитального ремонта?,"Региональный оператор является некоммерческой организацией, создаваемой субъектом Российской Федерации для организации и обеспечения проведения капитального ремонта общего имущества в многоквартирных домах, собственники помещений в которых формируют фонды капитального ремонта на счете (счетах) регионального оператора (статья 179 Жилищного кодекса Российской Федерации).
    
92."
Какие функции выполняет региональный оператор капитального ремонта?,"Функции регионального оператора установлены статьей 180 Жилищного кодекса Российской Федерации и включают в себя сбор взносов на капитальный ремонт, открытие и ведение счетов, организацию проведения капитального ремонта.
    
93."
Могут ли собственники помещений выбрать другой способ формирования фонда капитального ремонта?,"Собственники помещений в многоквартирном доме вправе выбрать один из следующих способов формирования фонда капитального ремонта: перечисление взносов на специальный счет или на счет регионального оператора (статья 170 Жилищного кодекса Российской Федерации).
    
94."
Что такое специальный счет для формирования фонда капитального ремонта?,"Специальный счет для формирования фонда капитального ремонта может быть открыт в кредитной организации собственниками помещений в многоквартирном доме или ТСЖ, жилищным кооперативом (статья 175 Жилищного кодекса Российской Федерации).
    
95."
Какие требования предъявляются к владельцу специального счета для формирования фонда капитального ремонта?,"Владельцем специального счета может быть ТСЖ, жилищный кооператив или региональный оператор (статья 175 Жилищного кодекса Российской Федерации).
    
96."
"Как использовать средства, находящиеся на специальном счете фонда капитального ремонта?","Средства, находящиеся на специальном счете, могут использоваться только на цели, предусмотренные частью 1 статьи 174 Жилищного14 кодекса Российской Федерации, включая оплату работ по капитальному ремонту.
    
97."
"Что делать, если многоквартирный дом признан аварийным и подлежащим сносу, а средства на капитальный ремонт собирались на специальном счете?","В случае признания многоквартирного дома аварийным и подлежащим сносу средства фонда капитального ремонта, находящиеся на специальном счете, по решению общего собрания собственников помещений в данном доме направляются на цели сноса данного дома и иные цели, предусмотренные законодательством (часть 2 статьи 174 Жилищного кодекса Российской Федерации).
    
98."
Что такое договор о предоставлении коммунальных услуг15 ресурсоснабжающими организациями напрямую собственникам помещений?,"Собственники помещений в многоквартирном доме на общем собрании могут принять решение о заключении прямых договоров с ресурсоснабжающими организациями о предоставлении коммунальных услуг (статья 157.2 Жилищного кодекса Российской Федерации).
    
99."
Какие последствия влечет за собой заключение прямых договоров с ресурсоснабжающими организациями?,"В случае заключения прямых договоров ответственность за ненадлежащее предоставление коммунальных услуг несет непосредственно ресурсоснабжающая организация.
    
100."
Как осуществляется государственный учет жилищного фонда?,"Государственный учет жилищного фонда осуществляется в порядке, установленном уполномоченным федеральным органом исполнительной власти (статья 19 Жилищного кодекса Российской Федерации)."
