Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
"На сайте я увидел рекламу финансовой услуги, которая обещает очень высокий доход, но не указывает на риски. Законно ли это?","Нет, реклама финансовых услуг должна содержать достоверную информацию2 и не должна умалчивать об условиях оказания услуг, влияющих на сумму доходов или расходов, а также о возможных рисках (статья 28 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,41476.0,41673.0,"2) умалчивать об иных условиях оказания соответствующих услуг, влияющих на сумму доходов,
которые получат воспользовавшиеся услугами лица, или на сумму расходов, которую понесут
воспользовавшиеся услугами лица"
Что такое социальная реклама и какие к ней требования?,"Социальная реклама направлена на достижение общественно полезных целей, а также целей государственной политики. Она не должна содержать сведений о конкретных марках (моделях, артикулах) товаров, товарных знаках, знаках обслуживания и об иных средствах индивидуализации коммерческих организаций, индивидуальных предпринимателей, за исключением случаев, предусмотренных законом (статья 10 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,8538.0,8989.0,"1. Рекламодателями социальной рекламы могут выступать физические лица, юридические
лица, органы государственной власти, иные государственные органы и органы местного
самоуправления, а также муниципальные органы, которые не входят в структуру органов местного
самоуправления.
Информация об изменениях: Федеральным законом от 28 декабря 2013 г. № 396-ФЗ в часть 2
статьи 10 настоящего Федерального закона внесены изменения, вступающие в силу с 1 января
2014 г.
См. текст части в предыдущей редакции"
Могут ли использовать образ медицинского работника в рекламе лекарств?,"В рекламе лекарственных средств, медицинских изделий и медицинских услуг запрещается использование образов медицинских и фармацевтических работников, за исключением рекламы, размещаемой в местах проведения медицинских или фармацевтических съездов, конференций, симпозиумов, выставок, а также в специализированных печатных изданиях, предназначенных для медицинских и фармацевтических работников (часть 5 статьи 24 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,3867.0,4604.0,"4) использование образов медицинских и фармацевтических работников, за исключением
такого использования в рекламе медицинских услуг, средств личной гигиены, в рекламе, потребителями
которой являются исключительно медицинские и фармацевтические работники, в рекламе,
распространяемой в местах проведения медицинских или фармацевтических выставок, семинаров,
конференций и иных подобных мероприятий, в рекламе, размещенной в печатных изданиях,
предназначенных для медицинских и фармацевтических работников;"
"Я увидел рекламу магазина, где указана одна цена на товар, а на кассе мне говорят другую, более высокую. Законно ли это?","Такая реклама является недостоверной, так как содержит не соответствующие действительности сведения о цене товара (пункт 4 части 2 статьи 3 Федерального закона ""О рекламе""). Вы имеете право требовать продажу товара по цене, указанной в рекламе.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,2574.0,2704.0,"4) о стоимости или цене товара, порядке его оплаты, размере скидок, тарифов и других
условиях приобретения товара;"
"Могут ли в рекламе говорить, что один товар лучше другого, не приводя никаких доказательств?","Реклама не должна содержать некорректные сравнения рекламируемого товара с товарами, находящимися в обороте, которые произведены другими изготовителями или реализуются другими продавцами (часть 6 статьи 5 Федерального закона ""О рекламе""). Такие сравнения должны быть обоснованными и доказуемыми.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,3251.0,3451.0,"1) содержит некорректные сравнения рекламируемого товара с находящимися в обороте
товарами, которые произведены другими изготовителями или реализуются другими продавцами;
2) порочит честь, достоинство или деловую репутацию лица"
Что такое спонсорская реклама?,"Спонсорская реклама - это реклама, распространяемая на условиях спонсорского договора. Спонсор обязан указать свое наименование (фирменное наименование), товарный знак или знак обслуживания в распространяемой им рекламе (статья 19 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,2119.0,2278.0,"10) спонсорская реклама - реклама, распространяемая на условии обязательного упоминания
в ней об определенном лице как о спонсоре;"
Могут ли показывать рекламу лотерей по телевизору?,"Реклама лотерей и основанных на риске игр должна содержать, в частности, информацию об организаторе, сроках проведения и правилах участия (статья 27 Федерального закона ""О рекламе""). Существуют определенные ограничения по времени и формам размещения такой рекламы.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,38570.0,38640.0,"Статья 27. Реклама основанных на риске игр, пари
ГАРАНТ: См. комментарии к статье 27"
"Я увидел рекламу, которая дискриминирует людей по какому-либо признаку. Законно ли это?","Нет, реклама не должна содержать дискриминационные высказывания по признакам пола, расы, национальности, языка, происхождения, имущественного или должностного положения, социального происхождения, возраста, места жительства, отношения к религии, убеждений, принадлежности к общественным объединениям или по любым другим обстоятельствам (часть 3 статьи 5 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,4033.0,4604.0,"6. В рекламе не допускается использование бранных слов, непристойных и оскорбительных
образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии,
социальной категории, возраста, языка человека и гражданина, официальных государственных символов
(флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории
и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в
Список всемирного наследия."
Могут ли использовать в рекламе образ несовершеннолетних без согласия родителей?,"Использование в рекламе изображений несовершеннолетних допускается только с согласия их родителей или законных представителей (часть 4 статьи 5 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,3729.0,4604.0,"4. Реклама не должна:
1) побуждать к совершению противоправных действий;
2) призывать к насилию и жестокости;
3) иметь сходство с дорожными знаками или иным образом угрожать безопасности движения
автомобильного, железнодорожного, водного, воздушного транспорта;
4) формировать негативное отношение к лицам, не пользующимся рекламируемыми товарами,
или осуждать таких лиц;
Информация об изменениях: Федеральным законом от 21 июля 2011 г. № 252-ФЗ часть 4 статьи 5
настоящего Федерального закона дополнена пунктом 5, вступающим в силу с 1 сентября 2012 г.
5) содержать информацию порнографического характера;
Информация об изменениях: Пункт 6 изменен с 4 декабря 2024 г. - Федеральный закон от 23
ноября 2024 г. № 411-ФЗ
См. предыдущую редакцию
6) содержать информацию, пропагандирующую либо демонстрирующую нетрадиционные
сексуальные отношения и (или) предпочтения, педофилию, смену пола, отказ от деторождения.
5. В рекламе не допускаются:"
"Что делать, если реклама нарушает мои права как потребителя?","Если реклама нарушает ваши права как потребителя, вы можете обратиться с жалобой в ФАС России, а также в органы по защите прав потребителей (например, Роспотребнадзор) или в суд.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,1.0,123.0,"Федеральный закон от 13 марта 2006 г. № 38-ФЗ О рекламе"" (с изменениями и дополнениями)"
"Федеральный закон от 13 марта 2006 г. № 38-ФЗ""",,,,,
Могут ли мне звонить с предложениями рекламного характера без моего согласия?,"Распространение рекламы посредством телефонной связи допускается только при условии предварительного согласия абонента (часть 1 статьи 18 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,20747.0,20988.0,"1. Распространение рекламы по сетям электросвязи, в том числе посредством использования
телефонной, факсимильной, подвижной радиотелефонной связи, допускается только при условии
предварительного согласия абонента или адресата на получение рекламы."
"Я увидел рекламу, которая порочит честь и достоинство другого человека. Это законно?","Реклама не должна порочить честь, достоинство или деловую репутацию лица (часть 1 статьи 5 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,3320.0,3398.0,"2) порочит честь, достоинство или деловую репутацию лица, в том числе конкурента;"
Могут ли в рекламе использовать государственные символы Российской Федерации?,"Использование государственных символов Российской Федерации (герба, флага, гимна) в рекламе регулируется законодательством. Как правило, такое использование допускается только с разрешения соответствующих государственных органов (статья 8 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,7399.0,7629.0,"Статья 8. Реклама товаров при дистанционном способе их продажи
ГАРАНТ: См. комментарии к статье 8 настоящего Федерального закона
В рекламе товаров при дистанционном способе их продажи должны быть указаны сведения о
продавце таких товаров"
Что такое контрреклама?,"Контрреклама - это опровержение ненадлежащей рекламы, распространяемое в целях устранения вызванных ею последствий. Она должна быть доведена до сведения потребителей тем же способом, тем же объемом и в тот же срок, что и опровергаемая реклама, если иной срок не установлен предписанием антимонопольного органа (статья 38 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,51811.0,52096.0,"3. В случае установления антимонопольным органом факта распространения недостоверной
рекламы и выдачи соответствующего предписания антимонопольный орган вправе обратиться в
установленном порядке в суд или арбитражный суд с иском к рекламодателю о публичном
опровержении недостоверной рекламы (контррекламе) за счет рекламодателя."
"Могут ли в рекламе говорить о том, что товар одобрен государственными органами, если это не так?","Нет, реклама не должна содержать утверждения о том, что рекламируемый товар (работа, услуга) одобряется федеральными органами государственной власти, органами государственной власти субъектов Российской Федерации, органами местного самоуправления либо их должностными лицами или организациями, если это в действительности не соответствует действительности (пункт 1 части 2 статьи 3 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,3902.0,4032.0,"2) указание на то, что объект рекламирования одобряется органами государственной власти
или органами местного самоуправления либо их должностными лицами;"
"Какие требования предъявляются к рекламе, распространяемой по радио?","Реклама, распространяемая по радио, должна соответствовать общим требованиям закона ""О рекламе"". Существуют также специальные требования, например, длительность рекламных блоков не должна превышать установленные законом нормы (статья 14 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,18140.0,18210.0,"Статья 15. Реклама в радиопрограммах и радиопередачах
ГАРАНТ: См. комментарии к статье 15"
"Могут ли в рекламе использовать иностранные слова, если их значение непонятно большинству людей?","Использование иностранных слов и выражений в рекламе на территории Российской Федерации должно сопровождаться их переводом на русский язык (часть 1 статьи 7 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,5984.0,6062.0,"1) использование иностранных слов и выражений, которые могут привести к искажению смысла
информации;"
"Что делать, если я увидел рекламу, которая, на мой взгляд, нарушает нормы общественной морали?","Реклама не должна нарушать общепринятые нормы гуманности и морали (часть 3 статьи 5 Федерального закона ""О рекламе""). Вы можете сообщить о такой рекламе в ФАС России.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,4033.0,4604.0,"6. В рекламе не допускается использование бранных слов, непристойных и оскорбительных
образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии,
социальной категории, возраста, языка человека и гражданина, официальных государственных символов
(флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории
и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в
Список всемирного наследия."
Могут ли в рекламе лекарств давать советы по самолечению?,"Реклама лекарственных средств не должна содержать указание на лечебные свойства, наличие которых не подтверждено в порядке, установленном федеральным законом (часть 1 статьи 24 Федерального закона ""О рекламе""). Давать3 прямые советы по самолечению в рекламе лекарств, как правило, не допускается.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,35591.0,35825.0,"1. Реклама лекарственных средств не должна:
1) обращаться к несовершеннолетним;
2) содержать ссылки на конкретные случаи излечения от заболеваний, улучшения состояния
здоровья человека в результате применения объекта рекламирования;"
"Какие требования предъявляются к рекламе, размещаемой в интернете?","Реклама, размещаемая в интернете, должна соответствовать общим требованиям закона ""О рекламе"". Также существуют особенности, связанные с таргетированием рекламы и согласием на ее получение (статья 18 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,21919.0,21986.0,"Статья 18.1. Реклама и социальная реклама в информационно-телекоммуникационной сети
Интернет"""""
Могут ли в рекламе использовать бранные слова и непристойные выражения?,"Нет, реклама не должна содержать бранные слова, непристойные и оскорбительные образы, сравнения и выражения (часть 3 статьи 5 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,4033.0,4604.0,"6. В рекламе не допускается использование бранных слов, непристойных и оскорбительных
образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии,
социальной категории, возраста, языка человека и гражданина, официальных государственных символов
(флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории
и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в
Список всемирного наследия."
"Что такое реклама, распространяемая по сетям почтовой связи?","Реклама, распространяемая по сетям почтовой связи, должна соответствовать общим требованиям закона ""О рекламе"". Рассылка рекламы без согласия адресата не допускается (часть 1 статьи 18 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,20747.0,20988.0,"1. Распространение рекламы по сетям электросвязи, в том числе посредством использования
телефонной, факсимильной, подвижной радиотелефонной связи, допускается только при условии
предварительного согласия абонента или адресата на получение рекламы."
"Могут ли в рекламе говорить о преимуществах товара, которые на самом деле являются его недостатками?","Нет, реклама не должна содержать недостоверные сведения о преимуществах рекламируемого товара перед товарами других изготовителей (продавцов) (пункт 2 части 2 статьи 3 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,2425.0,2573.0,"1) о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые
произведены другими изготовителями или реализуются другими продавцами;"
"Какие требования предъявляются к наружной рекламе (например, на рекламных щитах)?","Размещение наружной рекламы регулируется статьей 19 Федерального закона ""О рекламе"". Необходимо получать разрешение на установку рекламных конструкций, и они должны соответствовать определенным требованиям безопасности и внешнего вида.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,25757.0,25838.0,"Статья 19. Наружная реклама и установка рекламных конструкций
ГАРАНТ: См. комментарии к статье 19"
"Могут ли в рекламе использовать результаты научных исследований, если эти исследования не проводились или их результаты искажены?","Нет, реклама не должна содержать недостоверные сведения о результатах исследований и испытаний (пункт 3 части 2 статьи 3 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,3074.0,3142.0,11) о результатах исследований и испытаний;
Что такое реклама на транспортных средствах?,"Размещение рекламы на транспортных средствах регулируется статьей 20 Федерального закона ""О рекламе"". Она не должна создавать угрозу безопасности движения и должна соответствовать определенным требованиям.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,30170.0,30266.0,"Статья 20. Реклама на транспортных средствах и с их использованием
ГАРАНТ: См. комментарии к статье 20"
"Могут ли в рекламе утверждать, что товар обладает лечебными свойствами, если он не является лекарственным средством?","Нет, реклама товаров, не являющихся лекарственными средствами, не должна создавать впечатление, что они обладают лечебными свойствами (часть 8 статьи 24 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,36650.0,37024.0,"8. Реклама лекарственных препаратов в формах и дозировках, отпускаемых по рецептам на
лекарственные препараты, методов профилактики, диагностики, лечения и медицинской реабилитации,
а также медицинских изделий, для использования которых требуется специальная подготовка, не
допускается иначе как в местах проведения медицинских или фармацевтических выставок, семинаров,
конференций и иных подобных мероприятий и в предназначенных для медицинских и
фармацевтических работников специализированных печатных изданиях."
Какие требования предъявляются к рекламе биологически активных добавок (БАД)?,"Реклама БАД не должна создавать впечатление, что они являются лекарственными средствами или обладают лечебными свойствами, а также должна содержать предупреждение о том, что они не являются лекарством (часть 1 статьи 25 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,37724.0,37794.0,"Статья 25. Реклама биологически активных добавок и пищевых добавок, продуктов детского
питания"
"Могут ли в рекламе продуктов питания говорить о том, что они полезны для здоровья, если это не соответствует действительности?","Реклама продуктов питания должна содержать достоверную информацию об их составе, пищевой ценности, свойствах, условиях применения и т.д. (статья 25 Федерального закона ""О рекламе""). Недостоверная реклама не допускается.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,37724.0,37794.0,"Статья 25. Реклама биологически активных добавок и пищевых добавок, продуктов детского
питания"
"Что такое реклама, распространяемая в кино- и видеофильмах?","Размещение рекламы в кино- и видеофильмах регулируется статьей 15 Федерального закона ""О рекламе"". Существуют ограничения по времени и способам размещения такой рекламы.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,19948.0,20169.0,"3. В радиопрограммах не допускается прерывать рекламой следующие радиопередачи:
1) религиозные радиопередачи;
2) радиопередачи продолжительностью менее чем пятнадцать минут."
"Могут ли в рекламе использовать звуковые эффекты, которые могут напугать людей (например, звук сирены)?","При распространении рекламы не допускается использование звуковых сигналов, сходных с сигналами экстренных служб (часть 9 статьи 5 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,5018.0,5328.0,"9. Не допускаются использование в радио-, теле-, видео-, аудио- и кинопродукции или в другой
продукции и распространение скрытой рекламы, то есть рекламы, которая оказывает не осознаваемое
потребителями рекламы воздействие на их сознание, в том числе такое воздействие путем
использования специальных видеовставок (двойной звукозаписи) и иными способами."
Какие требования предъявляются к рекламе образовательных услуг?,"Реклама образовательных услуг должна содержать достоверную информацию об уровне образования, сроках обучения, стоимости и других существенных условиях (статья 27.1 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,38570.0,38640.0,"Статья 27. Реклама основанных на риске игр, пари
ГАРАНТ: См. комментарии к статье 27"
"Могут ли в рекламе говорить о том, что товар произведен с использованием труда заключенных?","Реклама не должна содержать информацию, порочащую продукцию других производителей (часть 7 статьи 5 Федерального закона ""О рекламе""). Вопрос об использовании труда заключенных может рассматриваться в контексте соблюдения этических норм рекламы.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,4605.0,4838.0,"7. Не допускается реклама, в которой отсутствует часть существенной информации о
рекламируемом товаре, об условиях его приобретения или использования, если при этом искажается
смысл информации и вводятся в заблуждение потребители рекламы."
Что такое скрытая реклама?,"Скрытая реклама, то есть реклама, которая оказывает не осознаваемое потребителями воздействие на их сознание, в том числе путем использования специальных видео- и аудиотехнических приемов, не допускается (часть 9 статьи 5 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,5018.0,5328.0,"9. Не допускаются использование в радио-, теле-, видео-, аудио- и кинопродукции или в другой
продукции и распространение скрытой рекламы, то есть рекламы, которая оказывает не осознаваемое
потребителями рекламы воздействие на их сознание, в том числе такое воздействие путем
использования специальных видеовставок (двойной звукозаписи) и иными способами."
Могут ли в рекламе использовать образ умерших людей без согласия их родственников?,"Использование в рекламе изображений физических лиц, в том числе умерших, допускается только с их согласия или согласия их законных представителей (часть 1 статьи 5 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,3729.0,4604.0,"4. Реклама не должна:
1) побуждать к совершению противоправных действий;
2) призывать к насилию и жестокости;
3) иметь сходство с дорожными знаками или иным образом угрожать безопасности движения
автомобильного, железнодорожного, водного, воздушного транспорта;
4) формировать негативное отношение к лицам, не пользующимся рекламируемыми товарами,
или осуждать таких лиц;
Информация об изменениях: Федеральным законом от 21 июля 2011 г. № 252-ФЗ часть 4 статьи 5
настоящего Федерального закона дополнена пунктом 5, вступающим в силу с 1 сентября 2012 г.
5) содержать информацию порнографического характера;
Информация об изменениях: Пункт 6 изменен с 4 декабря 2024 г. - Федеральный закон от 23
ноября 2024 г. № 411-ФЗ
См. предыдущую редакцию
6) содержать информацию, пропагандирующую либо демонстрирующую нетрадиционные
сексуальные отношения и (или) предпочтения, педофилию, смену пола, отказ от деторождения.
5. В рекламе не допускаются:"
"Какие требования предъявляются к рекламе, распространяемой на телефонных справочниках?","Реклама, распространяемая на телефонных справочниках, должна соответствовать общим требованиям закона ""О рекламе"".",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,1.0,123.0,"Федеральный закон от 13 марта 2006 г. № 38-ФЗ О рекламе"" (с изменениями и дополнениями)"
"Федеральный закон от 13 марта 2006 г. № 38-ФЗ""",,,,,
"Могут ли в рекламе указывать на то, что товар является ""экологически чистым"", если это не подтверждено соответствующими сертификатами?","Реклама не должна содержать недостоверные сведения об экологических характеристиках товара (пункт 5 части 2 статьи 3 Федерального закона ""О рекламе""). Такие заявления должны быть подтверждены соответствующими документами.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,2705.0,2937.0,"5) об условиях доставки, обмена, ремонта и обслуживания товара;
6) о гарантийных обязательствах изготовителя или продавца товара;
7) об исключительных правах на результаты интеллектуальной деятельности и приравненные к
ним средства индивидуализации юридического лица"
