Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
"Что будет, если я не заплачу налоги?","Неуплата налогов физическим лицом в крупном размере может повлечь уголовную ответственность (статья 198 УК РФ). Крупным размером признается сумма налогов, сборов, страховых взносов, превышающая за период в пределах трех финансовых лет подряд два миллиона семьсот тысяч рублей, при условии, что доля неуплаченных налогов, сборов, страховых взносов превышает 10 процентов подлежащих уплате сумм налогов, сборов, страховых взносов, либо превышающая девять миллионов рублей.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,149341,150003,"Статья 198. Уклонение физического лица от уплаты налогов, сборов и (или) физического лица
 - плательщика страховых взносов от уплаты страховых взносов
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 198 УК РФ
См. схему ""Уклонение физического лица от уплаты налогов""
Информация об изменениях: Часть 1 изменена с 10 августа 2017 г. - Федеральный закон от 29 
июля 2017 г. N 250-ФЗ
См. предыдущую редакцию
1. Уклонение физического лица от уплаты налогов, сборов и (или) физического лица - 
плательщика страховых взносов от уплаты страховых взносов путем непредставления налоговой
декларации (расчета) или иных документов, представление которых в соответствии с
законодательством Российской Федерации о налогах и сборах является обязательным, либо путем
включения в налоговую декларацию (расчет) или такие документы заведомо ложных сведений, 
совершенное в крупном размере, -"
Могут ли меня посадить за клевету в интернете?,"Да, распространение заведомо ложных сведений, порочащих честь и достоинство другого лица или подрывающих его репутацию, совершенное публично с использованием информационно-телекоммуникационных сетей, включая интернет, является уголовным преступлением (часть 2 статьи 128.1 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,75352,75835,"Информация об изменениях: Часть 2 изменена с 10 января 2021 г. - Федеральный закон от 30 
декабря 2020 г. N 538-ФЗ
См. предыдущую редакцию
2. Клевета, содержащаяся в публичном выступлении, публично демонстрирующемся
произведении, средствах массовой информации либо совершенная публично с использованием
информационно-телекоммуникационных сетей, включая сеть ""Интернет"", либо в отношении
нескольких лиц, в том числе индивидуально не определенных, -
наказывается штрафом в размере до одного миллиона рублей или в размере заработной платы
или иного дохода осужденного за период до одного года, либо обязательными работами на срок до
двухсот сорока часов, либо принудительными работами на срок до двух лет, либо арестом на срок до
двух месяцев, либо лишением свободы на срок до двух лет."
Что такое мошенничество и какое наказание за него предусмотрено?,"Мошенничество - это хищение чужого имущества или приобретение права на чужое имущество путем обмана или злоупотребления доверием (статья 159 УК РФ). Наказание зависит от размера ущерба и может включать штраф, обязательные работы, исправительные работы, ограничение свободы или лишение свободы.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,100470,101189,"Статья 159. Мошенничество
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 159 УК РФ
О судебной практике по делам о мошенничестве, присвоении и растрате см. постановление Пленума
Верховного Суда РФ от 30 ноября 2017 г. N 48
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 159 внесены изменения
См. текст части в предыдущей редакции
ГАРАНТ: О конституционно-правовом смысле положений часть первую статьи 159 см. 
постановление Конституционного Суда РФ от 4 марта 2021 г. N 5-П
1. Мошенничество, то есть хищение чужого имущества или приобретение права на чужое
имущество путем обмана или злоупотребления доверием, -
наказывается штрафом в размере до ста двадцати тысяч рублей или в размере заработной платы
или иного дохода осужденного за период до одного года, либо обязательными работами на срок до
трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо
ограничением свободы на срок до двух лет, либо принудительными работами на срок до двух лет, либо
арестом на срок до четырех месяцев, либо лишением свободы на срок до двух лет."
"Могут ли меня наказать, если я украду что-то из магазина?","Кража, то есть тайное хищение чужого имущества, является уголовным преступлением (статья 158 УК РФ). Наказание зависит от стоимости похищенного имущества и может варьироваться от штрафа до лишения свободы. Если стоимость похищенного незначительна, может наступить административная ответственность (статья 7.27 КоАП РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,99824,100469,"Статья 158. Кража
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 158 УК РФ
О судебной практике по делам о краже см. Постановление Пленума Верховного Суда РФ от
27 декабря 2002 г. N 29
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 158 внесены изменения
См. текст части в предыдущей редакции
ГАРАНТ: О конституционно-правовом смысле положений части 1 см. постановление
Конституционного Суда РФ от 12 января 2023 г. N 2-П
1. Кража, то есть тайное хищение чужого имущества, -"
"Что будет, если я дам взятку должностному лицу?","Дача взятки должностному лицу лично или через посредника является уголовным преступлением (статья 291 УК РФ). Наказание может включать штраф, лишение права занимать определенные должности или заниматься определенной деятельностью, принудительные работы или лишение свободы.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,273273,274069,"Статья 291. Дача взятки
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 291 УК РФ
О судебной практике по делам о взяточничестве и об иных коррупционных преступлениях см. 
Постановление Пленума Верховного Суда РФ от 9 июля 2013 г. N 24
Информация об изменениях: Федеральным законом от 3 июля 2016 г. N 324-ФЗ статья 291 
изложена в новой редакции
См. текст статьи в предыдущей редакции
1. Дача взятки должностному лицу, иностранному должностному лицу либо должностному
лицу публичной международной организации лично или через посредника (в том числе когда взятка по
указанию должностного лица передается иному физическому или юридическому лицу) -
наказывается штрафом в размере до пятисот тысяч рублей, или в размере заработной платы или
иного дохода осужденного за период до одного года, или в размере от пятикратной до тридцатикратной
суммы взятки, либо исправительными работами на срок до двух лет с лишением права занимать
определенные должности или заниматься определенной деятельностью на срок до трех лет или без
такового, либо принудительными работами на срок до трех лет, либо лишением свободы на срок до двух
лет со штрафом в размере от пятикратной до десятикратной суммы взятки или без такового."
"Что будет, если должностное лицо потребует у меня взятку?","Вымогательство взятки должностным лицом является уголовным преступлением (статья 290 УК РФ - получение взятки). Также вы обязаны сообщить о факте вымогательства взятки в правоохранительные органы. За несообщение о преступлении взятки предусмотрена уголовная ответственность (статья 205.6 УК РФ), за исключением случаев, предусмотренных законом.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,272105,273272,"5. Деяния, предусмотренные частями первой, третьей, четвертой настоящей статьи, если они
совершены:
а) группой лиц по предварительному сговору или организованной группой;
б) с вымогательством взятки;
в) в крупном размере, -
наказываются штрафом в размере от двух миллионов до четырех миллионов рублей, или в
размере заработной платы или иного дохода осужденного за период от двух до четырех лет, или в
размере от семидесятикратной до девяностократной суммы взятки с лишением права занимать
определенные должности или заниматься определенной деятельностью на срок до десяти лет либо
лишением свободы на срок от семи до двенадцати лет со штрафом в размере до шестидесятикратной
суммы взятки или без такового и с лишением права занимать определенные должности или заниматься
определенной деятельностью на срок до десяти лет или без такового."
Могут ли меня привлечь к ответственности за вождение в нетрезвом виде?,"Да, управление транспортным средством в состоянии опьянения является административным правонарушением (статья 12.8 КоАП РФ). Однако, если это деяние совершено лицом, ранее подвергнутым административному наказанию за аналогичное правонарушение или имеющим судимость за совершение преступления, предусмотренного статьями 264.1, 264.2 или 264.3 УК РФ, наступает уголовная ответственность (статья 264.1 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,239481,240127,"Статья 264.1. Управление транспортным средством в состоянии опьянения лицом, 
подвергнутым административному наказанию или имеющим судимость
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 264.1 УК
РФ
О судебной практике по делам о преступлениях, связанных с нарушением правил дорожного
движения и эксплуатации транспортных средств, а также с их неправомерным завладением без цели
хищения см. постановление Пленума Верховного Суда РФ от 9 декабря 2008 г. N 25
Транспортное средство, принадлежащее обвиняемому и использованное им при совершении
преступления, предусмотренного статьей 264.1, подлежит конфискации
1. Управление автомобилем, трамваем либо другим механическим транспортным средством
лицом, находящимся в состоянии опьянения, подвергнутым административному наказанию за
управление транспортным средством в состоянии опьянения или за невыполнение законного
требования уполномоченного должностного лица о прохождении медицинского освидетельствования
на состояние опьянения, -"
"Что будет, если я причиню вред здоровью человека по неосторожности?","Причинение тяжкого вреда здоровью по неосторожности является уголовным преступлением (статья 118 УК РФ). Причинение средней тяжести вреда здоровью по неосторожности может повлечь уголовную ответственность только в определенных случаях, предусмотренных законом. Легкий вред здоровью, причиненный по неосторожности, может повлечь административную ответственность.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,66823,67538,"Статья 118. Причинение тяжкого вреда здоровью по неосторожности
ГАРАНТ: См. комментарии к статье 118 УК РФ
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 118 внесены изменения
См. текст части в предыдущей редакции
1. Причинение тяжкого вреда здоровью по неосторожности -
наказывается штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы
или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок до
четырехсот восьмидесяти часов, либо исправительными работами на срок до двух лет, либо
ограничением свободы на срок до трех лет, либо арестом на срок до шести месяцев."
"Могут ли меня наказать за то, что я не оказал помощь человеку, находящемуся в опасном для жизни состоянии?","Неоказание помощи лицу, находящемуся в опасном для жизни состоянии, если это лицо лишено возможности принять меры к самосохранению по малолетству, старости, болезни или вследствие своей беспомощности, в случаях, если оказывающий помощь обязан был это сделать и имел возможность это сделать, является уголовным преступлением (статья 124 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,69878,70559,"Статья 124. Неоказание помощи больному
ГАРАНТ: См. комментарии к статье 124 УК РФ
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 124 внесены изменения
См. текст части в предыдущей редакции
1. Неоказание помощи больному без уважительных причин лицом, обязанным ее оказывать в
соответствии с законом или со специальным правилом, если это повлекло по неосторожности
причинение средней тяжести вреда здоровью больного, -
наказывается штрафом в размере до сорока тысяч рублей или в размере заработной платы или
иного дохода осужденного за период до трех месяцев, либо обязательными работами на срок до трехсот
шестидесяти часов, либо исправительными работами на срок до одного года, либо арестом на срок до
четырех месяцев."
Что такое хулиганство и какое наказание за него предусмотрено?,"Хулиганство - это грубое нарушение общественного порядка, выражающее явное неуважение к обществу, совершенное с применением насилия к гражданам или угрозой его применения; либо по мотивам политической, идеологической, расовой, национальной или религиозной ненависти или вражды либо по мотивам ненависти или вражды в отношении какой-либо социальной группы; либо на железнодорожном, морском, внутреннем водном или воздушном транспорте, а также на любом другом транспорте общего пользования (статья 213 УК РФ). Наказание может включать штраф, обязательные работы, исправительные работы или лишение свободы.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,180453,181586,"Статья 213. Хулиганство
ГАРАНТ: См. комментарии к статье 213 УК РФ
О судебной практике по уголовным делам о хулиганстве и иных преступлениях, совершенных из
хулиганских побуждений см. постановление Пленума Верховного Суда РФ от 15 ноября 2007 г. N 45
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 213 внесены изменения
См. текст части в предыдущей редакции
1. Хулиганство, то есть грубое нарушение общественного порядка, выражающее явное
неуважение к обществу, совершенное:
Информация об изменениях: Пункт ""а"" изменен с 10 января 2021 г. - Федеральный закон от 30 
декабря 2020 г. N 543-ФЗ
См. предыдущую редакцию
а) с применением насилия к гражданам либо угрозой его применения;
Информация об изменениях: Федеральным законом от 3 апреля 2017 г. N 60-ФЗ в подпункт ""б"" 
части 1 статьи 213 внесены изменения
См. текст подпункта в предыдущей редакции
б) по мотивам политической, идеологической, расовой, национальной или религиозной
ненависти или вражды либо по мотивам ненависти или вражды в отношении какой-либо социальной
группы;
Информация об изменениях: Федеральным законом от 3 апреля 2017 г. N 60-ФЗ часть 1 статьи
213 дополнена подпунктом ""в""
в) на железнодорожном, морском, внутреннем водном или воздушном транспорте, а также на
любом ином транспорте общего пользования, -
наказывается штрафом в размере от трехсот тысяч до пятисот тысяч рублей или в размере
заработной платы или иного дохода осужденного за период от двух до трех лет, либо обязательными
работами на срок до четырехсот восьмидесяти часов, либо исправительными работами на срок от
одного года до двух лет, либо принудительными работами на срок до пяти лет, либо лишением свободы
на тот же срок."
Могут ли меня привлечь к ответственности за незаконное хранение оружия?,"Да, незаконные приобретение, передача, сбыт, хранение, перевозка или ношение огнестрельного оружия, его основных частей, боеприпасов являются уголовным преступлением (статья 222 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,189667,190529,"Статья 222. Незаконные приобретение, передача, сбыт, хранение, перевозка, пересылка или
ношение оружия, основных частей огнестрельного оружия, боеприпасов
ГАРАНТ: См. комментарии к статье 222 УК РФ
1. Незаконные приобретение, передача, хранение, перевозка, пересылка или ношение
огнестрельного оружия, его основных частей и боеприпасов к нему (за исключением
крупнокалиберного огнестрельного оружия, его основных частей и боеприпасов к нему, гражданского
огнестрельного гладкоствольного длинноствольного оружия, его основных частей и патронов к нему, 
огнестрельного оружия ограниченного поражения, его основных частей и патронов к нему) -
наказывается ограничением свободы на срок до трех лет, либо принудительными работами на
срок до четырех лет, либо арестом на срок до шести месяцев, либо лишением свободы на срок от трех до
пяти лет со штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или
иного дохода осужденного за период до трех месяцев либо без такового."
"Что будет, если я незаконно срублю дерево в лесу?","Незаконная рубка лесных насаждений, если она совершена в значительном, крупном или особо крупном размере, является уголовным преступлением (статья 260 УК РФ). В незначительном размере может наступить административная ответственность (статья 8.28 КоАП РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,232260,233073,"Статья 260. Незаконная рубка лесных насаждений
ГАРАНТ: См. комментарии к статье 260 УК РФ
Информация об изменениях: Федеральным законом от 21 июля 2014 г. N 277-ФЗ в часть 1 статьи
260 внесены изменения
См. текст части в предыдущей редакции
1. Незаконная рубка, а равно повреждение до степени прекращения роста лесных насаждений
или не отнесенных к лесным насаждениям деревьев, кустарников, лиан, если эти деяния совершены в
значительном размере, -
наказываются штрафом в размере до пятисот тысяч рублей или в размере заработной платы или
иного дохода осужденного за период до трех лет, либо обязательными работами на срок до четырехсот
восьмидесяти часов, либо исправительными работами на срок до двух лет, либо принудительными
работами на срок до двух лет со штрафом в размере от ста тысяч до двухсот тысяч рублей или в размере
заработной платы или иного дохода осужденного за период от одного года до восемнадцати месяцев или
без такового, либо лишением свободы на срок до двух лет со штрафом в размере от ста тысяч до двухсот
тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года
до восемнадцати месяцев или без такового."
Могут ли меня наказать за распространение наркотиков?,"Незаконные производство, сбыт или пересылка наркотических средств, психотропных веществ или их аналогов являются тяжкими уголовными преступлениями (статья 228.1 УК РФ) и наказываются лишением свободы на длительные сроки.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,199570,200372,"Статья 228.1. Незаконные производство, сбыт или пересылка наркотических средств, 
психотропных веществ или их аналогов, а также незаконные сбыт или пересылка
растений, содержащих наркотические средства или психотропные вещества, либо их
частей, содержащих наркотические средства или психотропные вещества
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 228.1 УК
РФ
Информация об изменениях: Федеральным законом от 1 марта 2012 г. N 18-ФЗ часть 1 статьи
228.1 изложена в новой редакции, вступающей в силу с 1 января 2013 г.
См. текст части в предыдущей редакции
1. Незаконные производство, сбыт или пересылка наркотических средств, психотропных
веществ или их аналогов, а также незаконные сбыт или пересылка растений, содержащих наркотические
средства или психотропные вещества, либо их частей, содержащих наркотические средства или
психотропные вещества, -
наказываются лишением свободы на срок от четырех до восьми лет с ограничением свободы на
срок до одного года либо без такового."
