Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Что такое красные линии и как они влияют на строительство на моем участке?,"Красные линии - это линии, которые обозначают границы территорий общего пользования и границы земельных участков. Строительство за пределами красных линий не допускается (статья 1 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,3018,3279,"11) красные линии - линии, которые обозначают границы территорий общего пользования и
подлежат установлению, изменению или отмене в документации по планировке территории;"
Как получить градостроительный план земельного участка?,Градостроительный план земельного участка выдается органом местного самоуправления по запросу правообладателя земельного участка в соответствии со статьей 57.3 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,319370,319942,"Статья 57.3. Градостроительный план земельного участка
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 57.3 
Градостроительного кодекса РФ
1. Градостроительный план земельного участка выдается в целях обеспечения субъектов
градостроительной деятельности информацией, необходимой для архитектурно-строительного
проектирования, строительства, реконструкции объектов капитального строительства в границах
земельного участка.
Информация об изменениях: Статья 57.3 дополнена частью 1.1 с 2 августа 2019 г. - Федеральный
закон от 2 августа 2019 г. N 283-ФЗ"
Как повлияет на строительство моего дома установление зоны охраны объекта культурного наследия по соседству?,"Установление зоны охраны объекта культурного наследия может наложить определенные ограничения на строительство и использование земельных участков в этой зоне в соответствии с Федеральным законом ""Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации"".",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,1800,2473,"4) зоны с особыми условиями использования территорий - охранные, 
санитарно-защитные зоны, зоны охраны объектов культурного наследия (памятников истории и
культуры) народов Российской Федерации (далее - объекты культурного наследия), защитные зоны
объектов культурного наследия, водоохранные зоны, зоны затопления, подтопления, зоны санитарной
охраны источников питьевого и хозяйственно-бытового водоснабжения, зоны охраняемых объектов, 
приаэродромная территория, иные зоны, устанавливаемые в соответствии с законодательством
Российской Федерации;"
"Как узнать, является ли земельный участок пригодным для строительства с точки зрения геологических условий?",Для определения пригодности земельного участка для строительства необходимо проведение инженерно-геологических изысканий в соответствии со статьей 47 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,136930,137255,"Статья 47. Инженерные изыскания для подготовки проектной документации, строительства, 
реконструкции объектов капитального строительства
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 47 
Градостроительного кодекса РФ
Информация об изменениях: Федеральным законом от 3 июля 2016 г. N 373-ФЗ часть 1 статьи 47 
настоящего Кодекса изложена в новой редакции, вступающей в силу с 1 января 2017 г.
См. текст части в предыдущей редакции
1. Инженерные изыскания выполняются для подготовки проектной документации, 
строительства, реконструкции объектов капитального строительства."
Что такое проект межевания территории?,"Согласно статье 43 Градостроительного кодекса Российской Федерации, проект межевания территории разрабатывается в целях определения границ образуемых и изменяемых земельных участков.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,120048,120389,"Статья 43. Проект межевания территории
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 43 
Градостроительного кодекса РФ
Информация об изменениях: Часть 1 изменена с 24 июня 2023 г. - Федеральный закон от 13 июня
2023 г. N 240-ФЗ
См. предыдущую редакцию
1. Подготовка проекта межевания территории осуществляется применительно к территории, 
расположенной в границах одного или нескольких смежных элементов планировочной структуры, 
границах определенной правилами землепользования и застройки территориальной зоны и (или) 
границах установленной схемой территориального планирования муниципального района, генеральным
планом поселения, муниципального округа, городского округа функциональной зоны, территории, в
отношении которой предусматривается осуществление комплексного развития территории.
2. Подготовка проекта межевания территории осуществляется для:
1) определения местоположения границ образуемых и изменяемых земельных участков;"
"Что делать, если я обнаружил, что построенный мной объект не соответствует градостроительному плану2 земельного участка?",В случае несоответствия построенного объекта градостроительному плану земельного участка необходимо обратиться в органы местного самоуправления для выяснения возможности узаконивания постройки или необходимости ее приведения в соответствие.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,319370,319682,"Статья 57.3. Градостроительный план земельного участка
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 57.3 
Градостроительного кодекса РФ
1. Градостроительный план земельного участка выдается в целях обеспечения субъектов
градостроительной деятельности информацией, необходимой для архитектурно-строительного
проектирования, строительства, реконструкции объектов капитального строительства в границах
земельного участка."
"Как узнать о планируемом строительстве объектов социальной инфраструктуры (школ, детских садов) в моем районе?",Информация о планируемом строительстве объектов социальной инфраструктуры должна быть отражена в документах территориального планирования муниципального образования.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,11108,11687,"28) программы комплексного развития социальной инфраструктуры поселения, 
муниципального округа, городского округа - документы, устанавливающие перечни мероприятий
по проектированию, строительству, реконструкции объектов социальной инфраструктуры местного
значения поселения, муниципального округа, городского округа, которые предусмотрены также
государственными и муниципальными программами, стратегией социально-экономического развития
муниципального образования и планом мероприятий по реализации стратегии
социально-экономического развития муниципального образования (при наличии данных стратегии и
плана)."
"Что делать, если соседний участок используется не по целевому назначению, нарушая градостроительные регламенты?",В случае нарушения целевого использования земельного участка следует обратиться в органы муниципального земельного контроля.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,2870,3777,"9) градостроительный регламент - устанавливаемые в пределах границ соответствующей
территориальной зоны виды разрешенного использования земельных участков, равно как всего, что
находится над и под поверхностью земельных участков и используется в процессе их застройки и
последующей эксплуатации объектов капитального строительства, предельные (минимальные и (или) 
максимальные) размеры земельных участков и предельные параметры разрешенного строительства, 
реконструкции объектов капитального строительства, ограничения использования земельных участков и
объектов капитального строительства, а также применительно к территориям, в границах которых
предусматривается осуществление деятельности по комплексному развитию территории, расчетные
показатели минимально допустимого уровня обеспеченности соответствующей территории объектами
коммунальной, транспортной, социальной инфраструктур и расчетные показатели максимально
допустимого уровня территориальной доступности указанных объектов для населения;"
Как узнать о планируемом строительстве мусороперерабатывающего завода вблизи моего населенного пункта?,Информация о планируемом строительстве таких объектов должна быть отражена в документах территориального планирования и подлежит общественному обсуждению.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,1479,1799,"2) территориальное планирование - планирование развития территорий, в том числе для
установления функциональных зон, определения планируемого размещения объектов федерального
значения, объектов регионального значения, объектов местного значения;"
Что такое минимальные расстояния между зданиями на соседних участках и где их можно узнать?,Минимальные расстояния между зданиями определяются строительными нормами и правилами (СНиП) и могут быть уточнены в органах архитектуры и градостроительства.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,110330,110788,"2. Применительно к каждой территориальной зоне устанавливаются указанные в части 1
настоящей статьи размеры и параметры, их сочетания."
Как узнать о планируемом строительстве крупного торгового центра в моем районе и как это может повлиять на транспортную ситуацию?,Информация о планируемом строительстве крупных объектов должна быть отражена в документах территориального планирования и может обсуждаться на публичных слушаниях.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,1479,1799,"2) территориальное планирование - планирование развития территорий, в том числе для
установления функциональных зон, определения планируемого размещения объектов федерального
значения, объектов регионального значения, объектов местного значения;"
"Что делать, если застройщик не выполняет свои обязательства по благоустройству территории вокруг построенного дома?","В случае невыполнения обязательств по благоустройству следует обратиться к застройщику с письменной претензией и, при необходимости, в суд.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,13657,14388,"36) благоустройство территории - деятельность по реализации комплекса мероприятий, 
установленного правилами благоустройства территории муниципального образования, направленная на
обеспечение и повышение комфортности условий проживания граждан, по поддержанию и улучшению
санитарного и эстетического состояния территории муниципального образования, по содержанию
территорий населенных пунктов и расположенных на таких территориях объектов, в том числе
территорий общего пользования, земельных участков, зданий, строений, сооружений, прилегающих
территорий;"
Как узнать о планируемом строительстве очистных сооружений или других объектов коммунальной инфраструктуры вблизи моего дома?,Информация о планируемом строительстве объектов коммунальной инфраструктуры должна быть отражена в документах территориального планирования.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,9534,10516,"23) программы комплексного развития систем коммунальной инфраструктуры
поселения, муниципального округа, городского округа - документы, устанавливающие перечни
мероприятий по проектированию, строительству, реконструкции систем электро-, газо-, тепло-, 
водоснабжения и водоотведения, объектов, используемых для обработки, утилизации, обезвреживания и
захоронения твердых коммунальных отходов, которые предусмотрены соответственно документами
перспективного развития электроэнергетики, федеральной программой газификации, 
соответствующими межрегиональными, региональными программами газификации, схемами
теплоснабжения, схемами водоснабжения и водоотведения, территориальными схемами в области
обращения с отходами, в том числе с твердыми коммунальными отходами. Программы комплексного
развития систем коммунальной инфраструктуры поселения, муниципального округа, городского округа
разрабатываются и утверждаются органами местного самоуправления поселения, муниципального
округа, городского округа на основании утвержденных в порядке, установленном настоящим Кодексом, 
генеральных планов таких поселения, муниципального округа, городского округа и должны
обеспечивать сбалансированное, перспективное развитие систем коммунальной инфраструктуры в
соответствии с потребностями в строительстве объектов капитального строительства и
соответствующие установленным требованиям надежность, энергетическую эффективность указанных
систем, снижение негативного воздействия на окружающую среду и здоровье человека и повышение
качества поставляемых для потребителей товаров, оказываемых услуг в сферах электро-, газо-, тепло-, 
водоснабжения и водоотведения, а также услуг по обработке, утилизации, обезвреживанию и
захоронению твердых коммунальных отходов;"
Что такое разрешение на отклонение от предельных параметров разрешенного строительства и в каких случаях его можно получить?,Разрешение на отклонение от предельных параметров разрешенного строительства может быть выдано в исключительных случаях при соблюдении определенных условий в соответствии со статьей 40 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,111603,112145,"Статья 40. Отклонение от предельных параметров разрешенного строительства, реконструкции
объектов капитального строительства
ГАРАНТ: О конституционно-правовом смысле положений статьи 39 настоящего Кодекса см. 
Определение Конституционного Суда РФ от 15 июля 2010 г. N 931-О-О
ГАРАНТ: См. Обзор практики рассмотрения судами дел, связанных с изменением вида
разрешенного использования земельного участка, утвержденный Президиумом Верховного Суда РФ
14 ноября 2018 г.
См. Энциклопедии, позиции высших судов и другие комментарии к статье 39 Градостроительного
кодекса РФ
Информация об изменениях: Часть 1 изменена с 28 декабря 2019 г. - Федеральный закон от 27 
декабря 2019 г. N 472-ФЗ
См. предыдущую редакцию
1. Физическое или юридическое лицо, заинтересованное в предоставлении разрешения на
условно разрешенный вид использования земельного участка или объекта капитального строительства
(далее - разрешение на условно разрешенный вид использования), направляет заявление о
предоставлении разрешения на условно разрешенный вид использования в комиссию."
"Как узнать, планируется ли строительство многоэтажного дома на месте соседней зеленой зоны?","Информацию о планируемом строительстве следует искать в генеральном плане поселения или городского округа, а также в проектах планировки территории, которые подлежат опубликованию в соответствии со статьей 24 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,70478,70950,"Статья 24. Подготовка и утверждение генерального плана поселения, генерального плана
муниципального округа, генерального плана городского округа
ГАРАНТ: В случае, если проекты документов территориального планирования, проекты правил
землепользования и застройки, а также проекты изменений в указанные документы были
подготовлены и рассмотрены на публичных слушаниях до дня вступления в силу Федерального
закона от 3 июля 2016 г. N 373-ФЗ, утверждение таких документов, изменений в такие документы
осуществляется в соответствии с настоящим Кодексом в редакции, действовавшей до дня
вступления в силу названного Федерального закона
См. Энциклопедии, позиции высших судов и другие комментарии к статье 24 Градостроительного
кодекса РФ"
Могут ли власти изменить целевое назначение земельного участка без моего ведома и согласия?,"Изменение целевого назначения земельного участка осуществляется путем внесения изменений в правила землепользования и застройки, которые подлежат публичному обсуждению в соответствии со статьей 33 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,98994,99364,"Статья 33. Порядок внесения изменений в правила землепользования и застройки
...
1. Внесение изменений в правила землепользования и застройки осуществляется в порядке, 
предусмотренном статьями 31 и 32 настоящего Кодекса, с учетом особенностей, установленных
настоящей статьей."
"Что делать, если построенный многоквартирный дом не соответствует проекту и представляет опасность для жильцов?",В случае выявления нарушений проектной документации и требований безопасности следует обратиться в органы государственного строительного надзора в соответствии со статьей 54 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,214938,215593,"Статья 54. Государственный строительный надзор
...
1. Государственный строительный надзор осуществляется:
1) при строительстве объектов капитального строительства, проектная документация которых
подлежит экспертизе в соответствии со статьей 49 настоящего Кодекса, за исключением случая, 
предусмотренного частью 3.3 статьи 49 настоящего Кодекса;
2) при реконструкции объектов капитального строительства..."
"Как узнать, какие коммуникации (газ, вода, электричество) будут подведены к моему строящемуся дому и кто за это отвечает?","Информация о планируемых коммуникациях должна быть отражена в проектной документации и технических условиях на подключение, которые выдаются ресурсоснабжающими организациями в соответствии со статьей 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,144191,144505,"3) технические условия подключения (технологического присоединения), предусмотренные
статьей 52.1 настоящего Кодекса (в случае, если функционирование проектируемого объекта
капитального строительства невозможно обеспечить без подключения (технологического
присоединения) такого объекта к сетям инженерно-технического обеспечения)."
"Что делать, если застройщик не выполняет обязательства по строительству обещанных объектов инфраструктуры (детского сада, школы)?","Невыполнение застройщиком обязательств может являться основанием для обращения в суд в рамках договора долевого строительства или иного договора, регулируемого статьями 46.1-46.9 Градостроительного кодекса Российской Федерации (комплексное развитие территории).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,133502,133812,"Статья 46. Особенности подготовки документации по планировке территории применительно к
территории поселения, территории муниципального округа, территории городского
округа
...
Статья 46.1. Комплексное развитие территорий по инициативе правообладателей"
Как повлияет на мой частный дом строительство рядом крупного промышленного объекта?,"Строительство промышленного объекта может потребовать проведения оценки воздействия на окружающую среду в соответствии с требованиями законодательства, регулируемого, в частности, статьей 49 Градостроительного кодекса Российской Федерации (экспертиза проектной документации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,152766,153399,"Статья 49. Экспертиза проектной документации и результатов инженерных изысканий, 
государственная экологическая экспертиза проектной документации объектов, 
строительство, реконструкцию которых предполагается осуществлять в
исключительной экономической зоне Российской Федерации, на континентальном
шельфе Российской Федерации, во внутренних морских водах, в территориальном
море Российской Федерации, в границах особо охраняемых природных территорий, в
границах Байкальской природной территории и в Арктической зоне Российской
Федерации, в границах округов санитарной (горно-санитарной) охраны природных
лечебных ресурсов"
"Что делать, если я считаю, что строительство соседнего объекта нарушает мои права на инсоляцию (освещение)?","Нарушение норм инсоляции является нарушением строительных норм и правил, и следует обратиться в органы государственного строительного надзора в соответствии со статьей 54 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,214938,215240,"Статья 54. Государственный строительный надзор
...
1. Государственный строительный надзор осуществляется:"
"Могу ли я построить временное сооружение (например, торговый павильон) на земельном участке без оформления капитального строительства?","Размещение временных сооружений может регулироваться местными нормативными актами, принимаемыми в соответствии со статьей 36 Градостроительного кодекса Российской Федерации (градостроительные регламенты).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,107174,107847,"Статья 36. Градостроительный регламент
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 36 
Градостроительного кодекса РФ
1. Градостроительным регламентом определяется правовой режим земельных участков, 
равно как всего, что находится над и под поверхностью земельных участков и используется в процессе
их застройки и последующей эксплуатации объектов капитального строительства.
2. Градостроительные регламенты устанавливаются с учетом:
1) фактического использования земельных участков и объектов капитального строительства в
границах территориальной зоны;
2) возможности сочетания в пределах одной территориальной зоны различных видов
существующего и планируемого использования земельных участков и объектов капитального
строительства;"
"Как узнать, не планируется ли снос моего частного дома в рамках программы реновации или комплексного развития территории?",Информация о планируемом сносе должна быть доведена до собственников в установленном законом порядке в рамках принятия решений о комплексном развитии территории в соответствии со статьей 46.3 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,133950,134062,Статья 46.3. Договор о комплексном развитии территории
"Что делать, если я обнаружил незаконное строительство на соседнем участке?","О факте незаконного строительства следует сообщить в органы муниципального строительного контроля, осуществляющие надзор в соответствии со статьей 54 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,214938,215240,"Статья 54. Государственный строительный надзор
...
1. Государственный строительный надзор осуществляется:"
"Как узнать, какие требования предъявляются к парковочным местам при строительстве многоквартирного дома?","Требования к парковочным местам устанавливаются нормативами градостроительного проектирования, которые являются частью правил землепользования и застройки, разрабатываемых в соответствии со статьей 31 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,10417,10744,"26) нормативы градостроительного проектирования - совокупность расчетных
показателей, установленных в соответствии с настоящим Кодексом в целях обеспечения благоприятных
условий жизнедеятельности человека и подлежащих применению при подготовке документов
территориального планирования, градостроительного зонирования, документации по планировке
территории;"
"Как узнать, какие экологические требования действуют при строительстве вблизи водного объекта?","Экологические требования устанавливаются Водным кодексом Российской Федерации и другими природоохранными нормативными актами, которые должны учитываться при подготовке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации, рабочей документации (если иное не предусмотрено частью 1.4 настоящей статьи), в
том числе путем внесения в них изменений в соответствии с настоящим Кодексом, применительно к
объектам капитального строительства и их частям, строящимся, реконструируемым в границах
принадлежащего застройщику или иному правообладателю (которому при осуществлении бюджетных
инвестиций в объекты капитального строительства государственной (муниципальной) собственности
органы государственной власти (государственные органы), Государственная корпорация по атомной
энергии ""Росатом"", Государственная корпорация по космической деятельности ""Роскосмос"", органы
управления государственными внебюджетными фондами или органы местного самоуправления
передали в случаях, установленных бюджетным законодательством Российской Федерации, на
основании соглашений свои полномочия государственного (муниципального) заказчика) земельного
участка, а также раздела проектной документации ""Смета на капитальный ремонт объекта капитального
строительства"" при проведении капитального ремонта объекта капитального строительства в случаях, 
предусмотренных частью 12.2 настоящей статьи."
"Как узнать, какие требования предъявляются к благоустройству территории при строительстве?","Требования к благоустройству территории могут устанавливаться правилами землепользования и застройки, а также проектной документацией, разработанной в соответствии со статьей 42 Градостроительного кодекса Российской Федерации (проекты планировки территории).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,13657,14388,"36) благоустройство территории - деятельность по реализации комплекса мероприятий, 
установленного правилами благоустройства территории муниципального образования, направленная на
обеспечение и повышение комфортности условий проживания граждан, по поддержанию и улучшению
санитарного и эстетического состояния территории муниципального образования, по содержанию
территорий населенных пунктов и расположенных на таких территориях объектов, в том числе
территорий общего пользования, земельных участков, зданий, строений, сооружений, прилегающих
территорий;"
"Что делать, если я считаю, что проект строительства нарушает нормы пожарной безопасности?","О нарушении норм пожарной безопасности следует сообщить в органы государственного пожарного надзора, которые осуществляют контроль в соответствии с требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,171093,171317,"Статья 51. Разрешение на строительство
...
1. Разрешение на строительство представляет собой документ, который подтверждает
соответствие проектной документации требованиям, установленным градостроительным регламентом..."
"Как узнать, какие требования предъявляются к шумоизоляции в многоквартирных домах?","Требования к шумоизоляции устанавливаются строительными нормами и правилами, которые разрабатываются в соответствии с Федеральным законом ""О техническом регулировании"" и учитываются при проектировании согласно статье 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
