Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Какие виды доказательств могут быть представлены в суд?,"В качестве доказательств могут быть представлены объяснения сторон и третьих лиц, показания свидетелей, письменные и вещественные доказательства, аудио- и видеозаписи, заключения экспертов (статья 55 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,28524,28813,"Эти сведения могут быть получены из объяснений сторон и третьих лиц, показаний свидетелей, 
письменных и вещественных доказательств, аудио- и видеозаписей, заключений экспертов."
"Что делать, если мне необходимы показания свидетеля, который не желает добровольно являться в суд?","В соответствии со статьей 70 Гражданского процессуального кодекса Российской Федерации, суд по ходатайству стороны вправе вызвать свидетеля в судебное заседание.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,34251,34511,"1. Лицо, вызванное в качестве свидетеля, обязано явиться в суд в назначенное время и дать
правдивые показания. Свидетель может быть допрошен судом в месте своего пребывания, если он
вследствие болезни, старости, инвалидности или других уважительных причин не в состоянии явиться
по вызову суда."
Что такое судебная экспертиза и в каких случаях она назначается?,"Судебная экспертиза назначается судом в случаях, когда для разъяснения возникающих при рассмотрении дела вопросов требуются специальные знания в различных областях науки, техники, искусства, ремесла (статья 79 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,36980,37373,"1. При возникновении в процессе рассмотрения дела вопросов, требующих специальных знаний
в различных областях науки, техники, искусства, ремесла, суд назначает экспертизу. Проведение
экспертизы может быть поручено судебно-экспертному учреждению, конкретному эксперту или
нескольким экспертам."
Кто оплачивает расходы на проведение судебной экспертизы?,"Расходы на проведение экспертизы несет сторона, заявившая ходатайство о ее назначении, если иное не установлено судом (статья 96 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,42523,43043,"1. Денежные суммы, подлежащие выплате свидетелям, экспертам и специалистам, или другие
связанные с рассмотрением дела расходы, признанные судом необходимыми, предварительно вносятся
на счет, открытый в порядке, установленном бюджетным законодательством Российской Федерации, 
соответственно Верховному Суду Российской Федерации, кассационному суду общей юрисдикции, 
апелляционному суду общей юрисдикции, верховному суду республики, краевому, областному суду, 
суду города федерального значения, суду автономной области, суду автономного округа, окружному
(флотскому) военному суду, управлению Судебного департамента в субъекте Российской Федерации, а
также органу, осуществляющему организационное обеспечение деятельности мировых судей, стороной, 
заявившей соответствующее ходатайство. В случае, если указанное ходатайство заявлено обеими
сторонами, требуемые суммы вносятся сторонами в равных частях."
Что такое протокол судебного заседания и для чего он нужен?,"Протокол судебного заседания ведется секретарем судебного заседания и отражает ход судебного разбирательства, заявления и ходатайства участников процесса, объяснения сторон, показания свидетелей и заключения экспертов (статья 229 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,101269,102362,"1. Протокол в письменной форме является дополнительным средством фиксирования данных о
ходе судебного заседания. В протоколе указываются:
1) дата и место судебного заседания;
2) время начала и окончания судебного заседания;
3) наименование суда, рассматривающего дело, состав суда, помощник судьи и секретарь
судебного заседания;
4) наименование и номер дела, присвоенный судом первой инстанции;
5) сведения о явке лиц, участвующих в деле, их представителей, свидетелей, экспертов, 
специалистов, переводчиков;
6) сведения о разъяснении лицам, участвующим в деле, их представителям, свидетелям, 
экспертам, специалистам, переводчикам их процессуальных прав и обязанностей;
7) распоряжения председательствующего и вынесенные судом в зале судебного заседания
определения;
8) устные заявления и ходатайства лиц, участвующих в деле, консультации специалистов;
9) соглашения сторон по фактическим обстоятельствам дела и заявленным требованиям и
возражениям;
10) сведения об использовании средств аудио-, видеозаписи, систем видеоконференц-связи, 
системы веб-конференции и (или) иных технических средств, а также о проведении кино- и фотосъемки, 
видеозаписи, трансляции судебного заседания по радио, телевидению и в
информационно-телекоммуникационной сети ""Интернет"" в ходе судебного заседания. При проведении
трансляции судебного заседания указывается также наименование средства массовой информации или
сайта в информационно-телекоммуникационной сети ""Интернет"", посредством которых осуществлялась
трансляция;
11) дата составления протокола."
"Что делать, если я не согласен с решением суда первой инстанции?","В соответствии со статьей 321 Гражданского процессуального кодекса Российской Федерации, решение суда первой инстанции может быть обжаловано в апелляционном порядке в вышестоящий суд в течение одного месяца со дня принятия решения суда в окончательной форме.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,132544,132917,"1. Апелляционные жалоба, представление подаются через суд, принявший решение, на
бумажном носителе или в электронном виде, в том числе в форме электронного документа. 
Апелляционные жалоба, представление, поступившие непосредственно в апелляционную инстанцию, 
подлежат направлению в суд, вынесший решение, для дальнейших действий в соответствии с
требованиями статьи 325 настоящего Кодекса."
В какой срок рассматривается апелляционная жалоба?,"Сроки рассмотрения апелляционной жалобы установлены статьей 327.2 Гражданского процессуального кодекса Российской Федерации и составляют, как правило, два месяца со дня поступления дела в суд апелляционной инстанции.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,137111,137634,"1. Районный суд, верховный суд республики, краевой, областной суд, суд города федерального
значения, суд автономной области, суд автономного округа, окружной (флотский) военный суд, 
апелляционный суд общей юрисдикции рассматривают поступившее по апелляционным жалобе, 
представлению дело в срок, не превышающий двух месяцев со дня его поступления в суд
апелляционной инстанции. В случае, если апелляционная жалоба поступила в суд апелляционной
инстанции до истечения срока ее подачи, срок рассмотрения апелляционной жалобы исчисляется со дня
истечения срока подачи апелляционной жалобы."
"Что делать, если я не согласен с решением суда апелляционной инстанции?",Решение суда апелляционной инстанции может быть обжаловано в кассационном порядке в суд кассационной инстанции в течение трех месяцев со дня его вынесения (статья 376 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,143175,143574,"1. Вступившие в законную силу судебные постановления, указанные в части второй статьи
377 настоящего Кодекса, могут быть обжалованы в порядке, установленном настоящим параграфом, в
кассационный суд общей юрисдикции лицами, участвующими в деле, и другими лицами, если их права
и законные интересы нарушены судебными постановлениями."
Что такое надзорная жалоба и в какой суд она подается?,"Надзорная жалоба подается в Президиум Верховного Суда Российской Федерации на вступившие в законную силу судебные постановления в порядке, установленном главой 41 Гражданского процессуального кодекса Российской Федерации.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,162225,162379,Глава 41.1. Производство в суде надзорной инстанции
В течение какого срока можно подать надзорную жалобу?,Надзорная жалоба может быть подана в течение трех месяцев со дня вступления в законную силу обжалуемого судебного постановления (статья 390.3 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,157710,158094,"2. Судебные постановления, указанные в части второй статьи 391.1 настоящего Кодекса, 
могут быть обжалованы в порядке надзора в течение трех месяцев со дня их вступления в законную
силу."
"Что делать, если решение суда вступило в законную силу, но ответчик его не исполняет?",В случае неисполнения решения суда в добровольном порядке необходимо обратиться в службу судебных приставов с заявлением о принудительном исполнении решения суда (статья 428 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,191899,192504,"1. Исполнительный лист выдается судом взыскателю после вступления судебного постановления
в законную силу, за исключением случаев немедленного исполнения, если исполнительный лист
выдается немедленно после принятия судебного постановления. Исполнительный лист выдается по
заявлению взыскателя и по его ходатайству направляется для исполнения непосредственно судом. Для
направления судом исполнительного листа на взыскание денежных средств в доход бюджета заявление
взыскателя не требуется."
Какой срок установлен для предъявления исполнительного листа к исполнению?,Исполнительный лист может быть предъявлен к исполнению в течение трех лет со дня вступления судебного решения в законную силу (статья 432 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,193936,194468,"Статья 432. Перерыв и восстановление срока предъявления исполнительного документа к
исполнению
ГАРАНТ: См. комментарии к статье 432 ГПК РФ
1. Срок предъявления исполнительного документа к исполнению прерывается предъявлением
его к исполнению, если федеральным законом не установлено иное, а также частичным исполнением
должником судебного постановления."
Какие меры принудительного исполнения могут быть применены к должнику?,"К мерам принудительного исполнения относятся, в частности, обращение взыскания на имущество должника, включая денежные средства, заработную плату и иные доходы, а также иные меры, предусмотренные Федеральным законом ""Об исполнительном производстве"" (статья 68 Федерального закона от 2 октября 2007 г. N 229-ФЗ).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,193106,193284,"1. Суд, которому дело передано на новое рассмотрение, обязан по своей инициативе рассмотреть
вопрос о повороте исполнения решения суда и разрешить дело в новом решении или новом определении
суда."
"Что делать, если я не согласен с действиями судебного пристава-исполнителя?","Действия (бездействие) судебного пристава-исполнителя могут быть обжалованы в порядке, установленном главой 18 Федерального закона ""Об исполнительном производстве"" (статья 441 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,195736,196755,"1. Постановления главного судебного пристава Российской Федерации, главного судебного
пристава субъекта (главного судебного пристава субъектов) Российской Федерации, старшего судебного
пристава, их заместителей, судебного пристава-исполнителя, их действия (бездействие) могут быть
оспорены взыскателем, должником или лицами, чьи права и интересы нарушены такими
постановлением, действиями (бездействием), в порядке, установленном законодательством об
административном судопроизводстве."
Что такое заочное решение суда и в каком порядке оно выносится?,"Заочное решение выносится в случае неявки в судебное заседание ответчика, извещенного о времени и месте судебного заседания, не сообщившего суду об уважительных причинах неявки и не просившего о рассмотрении дела в его отсутствие (статья 233 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,105928,106598,"1. В случае неявки в судебное заседание ответчика, извещенного о времени и месте судебного
заседания, не сообщившего об уважительных причинах неявки и не просившего о рассмотрении дела в
его отсутствие, дело может быть рассмотрено в порядке заочного производства. О рассмотрении дела в
таком порядке суд выносит определение."
В течение какого срока ответчик может подать заявление об отмене заочного решения суда?,Заявление об отмене заочного решения суда может быть подано ответчиком в течение семи дней со дня вручения ему копии этого решения (статья 237 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,108734,109059,"1. Ответчик вправе подать в суд, принявший заочное решение, заявление об отмене этого
решения суда в течение семи дней со дня вручения ему копии этого решения."
Что такое приказное производство и в каких случаях оно применяется?,"Приказное производство - это упрощенный порядок рассмотрения дел, по которым требования заявителя являются бесспорными и основаны на представленных документах (статья 121 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,51587,52275,"1. Судебный приказ - судебное постановление, вынесенное судьей единолично на основании
заявления о взыскании денежных сумм или об истребовании движимого имущества от должника по
требованиям, предусмотренным статьей 122 настоящего Кодекса, если размер денежных сумм, 
подлежащих взысканию, или стоимость движимого имущества, подлежащего истребованию, не
превышает пятьсот тысяч рублей."
В течение какого срока должник может представить возражения относительно судебного приказа?,Должник вправе представить свои возражения относительно исполнения судебного приказа в течение десяти дней со дня получения копии судебного приказа (статья 128 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,56658,57044,"Судья в пятидневный срок со дня вынесения судебного приказа высылает копию судебного
приказа должнику, который в течение десяти дней со дня получения приказа имеет право представить
возражения относительно его исполнения."
Что такое мировое соглашение и на какой стадии судебного процесса его можно заключить?,Мировое соглашение - это соглашение сторон о прекращении спора на взаимоприемлемых условиях. Мировое соглашение может быть заключено на любой стадии гражданского процесса (статья 39 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,73099,73518,"1. Мировое соглашение может быть заключено сторонами на любой стадии гражданского
процесса и при исполнении судебного акта. Третьи лица, заявляющие самостоятельные требования
относительно предмета спора, вправе участвовать в заключении мирового соглашения в качестве
стороны."
Каковы последствия утверждения судом мирового соглашения?,Утвержденное судом мировое соглашение имеет силу судебного решения и подлежит принудительному исполнению в случае его неисполнения (статья 220 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,97948,98262,"3. Мировое соглашение заключается в отношении предъявленных в суд исковых требований. 
Допускается включение в мировое соглашение положений, которые связаны с заявленными
требованиями, но не были предметом судебного разбирательства."
Что такое обеспечительные меры и в каких случаях они могут быть приняты судом?,"Обеспечительные меры - это меры, направленные на обеспечение исполнения будущего судебного решения, которые могут быть приняты судом по заявлению лица, участвующего в деле, при наличии достаточных оснований полагать, что непринятие таких мер может затруднить или сделать невозможным исполнение судебного решения (статья 139 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,63377,63732,"1. По заявлению лиц, участвующих в деле, судья или суд может принять меры по обеспечению
иска.
Заявление об обеспечении иска, подаваемое в электронном виде, должно быть подписано
усиленной квалифицированной электронной подписью.
2. Обеспечение иска допускается во всяком положении дела, если непринятие мер по
обеспечению иска может затруднить или сделать невозможным исполнение решения суда."
Какие виды обеспечительных мер может принять суд?,"Суд может принять такие обеспечительные меры, как наложение ареста на имущество ответчика, запрещение ответчику совершать определенные действия, запрещение другим лицам совершать определенные действия, касающиеся предмета спора, и другие меры, предусмотренные законом (статья 140 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,63733,64682,"1. Мерами по обеспечению иска могут быть:
1) наложение ареста на имущество, принадлежащее ответчику и находящееся у него или других
лиц;
2) запрещение ответчику совершать определенные действия;
3) запрещение другим лицам совершать определенные действия, касающиеся предмета спора, в
том числе передавать имущество ответчику или выполнять по отношению к нему иные обязательства;
...
5) приостановление взыскания по исполнительному документу, оспариваемому должником в
судебном порядке.
В необходимых случаях судья или суд может принять иные меры по обеспечению иска, 
которые отвечают целям, указанным в статье 139 настоящего Кодекса. Судьей или судом может быть
допущено несколько мер по обеспечению иска."
Что такое встречный иск и в каком порядке он предъявляется?,Ответчик вправе до принятия судом первой инстанции судебного постановления предъявить к истцу встречный иск для совместного рассмотрения с первоначальным иском (статья 137 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,62924,63226,"Ответчик вправе до принятия судом решения предъявить к истцу встречный иск для
совместного рассмотрения с первоначальным иском. Предъявление встречного иска осуществляется по
общим правилам предъявления иска."
Что такое третейский суд и каковы особенности рассмотрения дел в третейском суде?,"Третейский суд - это негосударственный орган, создаваемый по соглашению сторон для разрешения возникшего между ними спора. Порядок рассмотрения дел в третейском суде определяется федеральным законом о третейских судах (Федеральный закон от 29 декабря 2015 г. N 382-ФЗ).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,12196,12790,"3. По соглашению сторон спор, возникший из гражданско-правовых отношений, а также
индивидуальные трудовые споры спортсменов, тренеров в профессиональном спорте и спорте высших
достижений до принятия судом первой инстанции судебного постановления, которым заканчивается
рассмотрение гражданского дела по существу, могут быть переданы сторонами на рассмотрение
третейского суда, если иное не предусмотрено настоящим Кодексом и федеральным законом."
Что такое упрощенное производство и в каких случаях оно применяется?,"Упрощенное производство применяется по делам незначительной сложности, перечень которых установлен статьей 227 Гражданского процессуального кодекса Российской Федерации.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,103174,103662,"1. В порядке упрощенного производства подлежат рассмотрению дела:
1) по исковым заявлениям о взыскании денежных средств или об истребовании имущества, если
цена иска не превышает двести пятьдесят тысяч рублей, кроме дел, рассматриваемых в порядке
приказного производства (статья 122 и часть третья статьи 125 настоящего Кодекса);
2) по исковым заявлениям о признании права собственности, если цена иска не превышает
двести пятьдесят тысяч рублей;"
Какие сроки рассмотрения дел установлены в порядке упрощенного производства?,Дела в порядке упрощенного производства рассматриваются судом в течение двух месяцев со дня поступления искового заявления в суд (статья 232.3 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,105542,105869,"3. Гражданские дела в порядке упрощенного производства рассматриваются и разрешаются
судом до истечения двух месяцев со дня поступления заявления в суд."
Что такое судебные извещения и повестки и каким образом они направляются участникам процесса?,"Судебные извещения и повестки направляются участникам процесса судом по почте заказным письмом с уведомлением о вручении или иным способом, обеспечивающим фиксирование их получения адресатом (статья 113 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,48501,49057,"1. Лица, участвующие в деле, а также свидетели, эксперты, специалисты и переводчики
извещаются или вызываются в суд заказным письмом с уведомлением о вручении, судебной повесткой с
уведомлением о вручении, телефонограммой или телеграммой, по факсимильной связи либо с
использованием иных средств связи и доставки, обеспечивающих фиксирование судебного извещения
или вызова и его вручение адресату."
"Что делать, если я не получил судебную повестку, но узнал о судебном заседании?",В случае ненадлежащего извещения о времени и месте судебного заседания необходимо обратиться в суд с ходатайством об отложении судебного разбирательства (статья 167 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,80798,81427,"2. В случае неявки в судебное заседание кого-либо из лиц, участвующих в деле, в отношении
которых отсутствуют сведения об их извещении, разбирательство дела откладывается.
В случае, если лица, участвующие в деле, извещены о времени и месте судебного заседания, суд
откладывает разбирательство дела в случае признания причин их неявки уважительными."
