Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Что такое кадастровый учет земельного участка?,"Государственный кадастровый учет земельных участков осуществляется в порядке, установленном Федеральным законом ""О государственной регистрации5 недвижимости"" и представляет собой описание и индивидуализацию в Едином государственном реестре недвижимости земельных участков,6 в результате чего такие земельные участки становятся объектами гражданских прав (статья 1 Федерального закона от 13 июля 2015 г. N 218-ФЗ).",Земельный кодекс РФ.txt,178174,178348,"Государственный кадастровый учет земельных участков осуществляется в порядке, установленном Федеральным законом ""О государственной регистрации недвижимости""."
Как узнать кадастровую стоимость земельного участка?,"Кадастровую стоимость земельного участка можно узнать, обратившись с запросом в Росреестр7 или воспользовавшись онлайн-сервисами Росреестра.8",Земельный кодекс РФ.txt,,,
"Что делать, если я не согласен с кадастровой стоимостью своего земельного участка?",В случае несогласия с кадастровой стоимостью земельного участка собственник вправе оспорить ее в судебном порядке или в комиссии по рассмотрению споров о результатах определения кадастровой стоимости (статья 24.18 Федерального закона от 29 июля 1998 г. N 135-ФЗ).,Земельный кодекс РФ.txt,,,
"Как приобрести земельный участок, находящийся в9 государственной или муниципальной собственности?","Приобретение земельных участков, находящихся в государственной или муниципальной собственности, осуществляется в порядке, установленном главой V.1 Земельного кодекса Российской Федерации (статьи 39.1-39.17), как правило, посредством проведения торгов10 (аукционов).",Земельный кодекс РФ.txt,35887,36056,"Глава V.1. Предоставление земельных участков, находящихся в государственной или муниципальной собственности"
Какие земельные участки могут быть предоставлены в собственность бесплатно?,"Случаи бесплатного предоставления земельных участков, находящихся в государственной или муниципальной собственности, определяются федеральными законами, законами субъектов Российской Федерации и муниципальными правовыми актами (статья 39.5 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,38610,39005,"Предоставление земельного участка, находящегося в государственной или муниципальной собственности, гражданину или юридическому лицу в собственность бесплатно на основании решения уполномоченного органа осуществляется в случае предоставления:"
Что такое договор аренды земельного участка и какие условия он должен содержать?,По договору аренды земельного участка арендодатель обязуется предоставить арендатору земельный участок за плату во временное владение и пользование. Существенные условия договора аренды земельного участка определены статьей 606 Гражданского кодекса Российской Федерации.,Земельный кодекс РФ.txt,24700,24831,"1. Иностранные граждане, лица без гражданства могут иметь расположенные в пределах территории Российской Федерации земельные участки на праве аренды, за исключением случаев, предусмотренных настоящим Кодексом."
"На какой срок может быть заключен договор аренды земельного участка, находящегося в государственной или муниципальной собственности?","Срок договора аренды земельного участка, находящегося в государственной или муниципальной собственности, устанавливается в соответствии со статьей 39.8 Земельного кодекса Российской Федерации и может зависеть от цели использования земельного участка.",Земельный кодекс РФ.txt,49664,50175,"8. Договор аренды земельного участка, находящегося в государственной или муниципальной собственности, заключается:; 1) на срок от трех до десяти лет в случае предоставления земельного участка для строительства, реконструкции зданий, сооружений, за исключением случаев, предусмотренных подпунктами 2 и 3 настоящего пункта и пунктом 9 настоящей статьи;; 2) на срок до сорока девяти лет для размещения линейных объектов;"
"Могут ли арендаторы земельных участков, находящихся в государственной или муниципальной собственности, передавать свои права и обязанности по договору аренды третьим лицам?","Передача арендатором прав и обязанностей по договору аренды земельного участка, находящегося в государственной или муниципальной собственности, допускается с согласия арендодателя, за исключением случаев, предусмотренных пунктом 9 статьи 22 Земельного кодекса Российской Федерации.",Земельный кодекс РФ.txt,26038,26645,"9. При аренде земельного участка, находящегося в государственной или муниципальной собственности, на срок более чем пять лет арендатор земельного участка имеет право, если иное не установлено федеральными законами, в пределах срока договора аренды земельного участка передавать свои права и обязанности по этому договору третьему лицу, в том числе права и обязанности, указанные в пунктах 5 и 6 настоящей статьи, без согласия арендодателя при условии его уведомления."
Что такое сервитут на земельный участок и какие виды сервитутов существуют?,Сервитут - это право ограниченного пользования чужим земельным участком. Различают частные и публичные сервитуты11 (статья 23 Земельного кодекса Российской Федерации).,Земельный кодекс РФ.txt,27096,27376,"Статья 23. Право ограниченного пользования чужим земельным участком (сервитут, публичный сервитут); 1. Сервитут устанавливается в соответствии с гражданским законодательством, а в отношении земельного участка, находящегося в государственной или муниципальной собственности, с учетом особенностей, предусмотренных главой V.3 настоящего Кодекса."
Как установить частный сервитут на земельный участок?,"Частный сервитут устанавливается соглашением между лицом, требующим установления сервитута, и собственником соседнего земельного участка и подлежит государственной регистрации (статья 23 Земельного кодекса Российской Федерации). В случае недостижения соглашения спор разрешается в судебном порядке.",Земельный кодекс РФ.txt,27096,27376,"Статья 23. Право ограниченного пользования чужим земельным участком (сервитут, публичный сервитут); 1. Сервитут устанавливается в соответствии с гражданским законодательством, а в отношении земельного участка, находящегося в государственной или муниципальной собственности, с учетом особенностей, предусмотренных главой V.3 настоящего Кодекса."
Что такое межевание земельного участка и для чего оно необходимо?,"Межевание земельного участка представляет собой комплекс кадастровых работ, выполняемых в целях определения границ земельного участка на местности и их юридического оформления. Межевание необходимо для установления точных границ земельного участка и предотвращения земельных споров.",Земельный кодекс РФ.txt,,,
Как согласовать границы земельного участка с12 соседними землепользователями?,"Порядок согласования границ земельного участка с соседними землепользователями установлен Федеральным законом ""О кадастровой деятельности"" (статья 39).",Земельный кодекс РФ.txt,,,
"Что делать, если границы моего земельного участка пересекаются с границами соседнего участка?",В случае пересечения границ земельных участков необходимо обратиться к кадастровому инженеру для проведения кадастровых работ и устранения реестровой ошибки. При невозможности урегулирования спора во внесудебном порядке спор разрешается в судебном порядке.,Земельный кодекс РФ.txt,16038,16321,При выявлении пересечения границ земельных участков с границами муниципальных образований и (или) границами городских либо сельских населенных пунктов устранение такого пересечения осуществляется в соответствии с настоящим Кодексом и другими федеральными законами.
Что такое земельный спор и какие органы уполномочены их рассматривать?,"Земельные споры - это разногласия между собственниками, владельцами, пользователями и арендаторами земельных участков по вопросам, связанным с земельными правоотношениями. Земельные споры рассматриваются в судебном порядке, а в случаях, предусмотренных федеральными законами, - в административном порядке (статья 64 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,175203,175360,1. Земельные споры рассматриваются в судебном порядке.; 2. До принятия дела к производству судом земельный спор может быть передан сторонами на разрешение в третейский суд.
Что такое самовольная постройка и какие последствия ее возведения предусмотрены законом?,"Самовольной постройкой является здание, сооружение или другое строение, возведенные, созданные на земельном участке, не предоставленном для этих целей в установленном порядке, или на земельном участке, разрешенное использование которого не допускает строительства на нем данного объекта, либо возведенные, созданные без получения на это необходимых разрешений или с нарушением градостроительных и строительных норм и правил (статья 222 Гражданского кодекса Российской Федерации). Самовольная постройка подлежит сносу лицом, осуществившим ее, или за его счет, кроме случаев, предусмотренных законом.",Земельный кодекс РФ.txt,,,
Как оформить право собственности на самовольную постройку?,"Право собственности на самовольную постройку может быть признано судом за лицом, осуществившим постройку, при одновременном соблюдении условий, предусмотренных пунктом 3 статьи 222 Гражданского кодекса Российской Федерации (земельный участок находится в собственности, разрешенное использование допускает строительство, отсутствуют нарушения градостроительных и строительных норм и правил).",Земельный кодекс РФ.txt,,,
Что такое земли сельскохозяйственного назначения и как они используются?,"Землями сельскохозяйственного назначения признаются земли, находящиеся за границами населенного пункта и предоставленные для нужд сельского хозяйства, а также предназначенные для этих целей13 (статья 77 Земельного кодекса Российской Федерации). Использование земель сельскохозяйственного назначения регулируется Федеральным законом ""Об обороте земель сельскохозяйственного назначения"".",Земельный кодекс РФ.txt,185227,185518,"1. Землями сельскохозяйственного назначения признаются земли, находящиеся за границами населенного пункта и предоставленные для нужд сельского хозяйства, а также предназначенные для этих целей."
Какие ограничения существуют на оборот земель сельскохозяйственного назначения?14,"Оборот земель сельскохозяйственного назначения регулируется Федеральным законом ""Об обороте земель сельскохозяйственного назначения"" и предусматривает ряд ограничений, направленных на сохранение целевого использования этих земель.",Земельный кодекс РФ.txt,32882,33160,"6. Оборот земель сельскохозяйственного назначения регулируется Федеральным законом ""Об обороте земель сельскохозяйственного назначения"". Образование земельных участков из земель сельскохозяйственного назначения регулируется настоящим Кодексом и Федеральным законом ""Об обороте земель сельскохозяйственного назначения""."
Что такое земли населенных пунктов и как определяется их использование?,"Землями населенных пунктов признаются земли, используемые и предназначенные для застройки и развития населенных пунктов. Использование земель населенных пунктов определяется градостроительными регламентами, правилами землепользования и застройки (статья 83 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,188057,188280,"1. Землями населенных пунктов признаются земли, используемые и предназначенные для застройки и развития населенных пунктов."
Что такое земли промышленности и иного специального назначения?,"К землям промышленности и иного специального назначения относятся земли, которые расположены за пределами населенных пунктов и используются или предназначены для обеспечения деятельности организаций15 и (или) эксплуатации объектов промышленности, энергетики,16 транспорта, связи, радиовещания, телевидения, информатики, для обеспечения космической деятельности, для нужд обороны и безопасности (статья 87 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,190329,191008,"1. Землями промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, землями для обеспечения космической деятельности, землями обороны, безопасности и землями иного специального назначения признаются земли, которые расположены за границами населенных пунктов и используются или предназначены для обеспечения деятельности организаций и (или) эксплуатации объектов промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, объектов для обеспечения космической деятельности, объектов обороны и безопасности, осуществления иных специальных задач и права на которые возникли у участников земельных отношений по основаниям, предусмотренным настоящим Кодексом, федеральными законами и законами субъектов Российской Федерации (далее - земли промышленности и иного специального назначения)."
Что такое земли особо охраняемых территорий и объектов?,"К землям особо охраняемых территорий и объектов относятся земли, имеющие особое природоохранное, научное, историко-культурное,17 эстетическое, рекреационное, оздоровительное и иное особо ценное значение (статья 94 Земельного кодекса Российской Федерации). Режим использования таких земель определяется федеральными законами.",Земельный кодекс РФ.txt,196487,196752,"1. К землям особо охраняемых территорий относятся земли, которые имеют особое природоохранное, научное, историко-культурное, эстетическое, рекреационное, оздоровительное и иное особо ценное значение, которые изъяты в соответствии с постановлениями федеральных органов государственной власти, органов государственной власти субъектов Российской Федерации или решениями органов местного самоуправления полностью или частично из хозяйственного использования и оборота и для которых установлен особый правовой режим."
Что такое земли лесного фонда?,"К землям лесного фонда относятся лесные земли (земли, покрытые лесной растительностью и не покрытые ею, но предназначенные для ее восстановления) и предназначенные для лесовосстановления нелесные земли (статья 101 Земельного кодекса Российской Федерации). Правовой режим земель лесного фонда регулируется Лесным кодексом Российской Федерации.",Земельный кодекс РФ.txt,201531,201734,"1. К землям лесного фонда относятся лесные земли и нелесные земли, состав которых устанавливается лесным законодательством."
Что такое земли водного фонда?,"К землям водного фонда относятся земли, покрытые поверхностными водами, сосредоточенными в водных объектах, и земли, занятые гидротехническими и иными сооружениями, расположенными на водных объектах (статья18 102 Земельного кодекса Российской Федерации). Правовой режим земель19 водного фонда регулируется Водным кодексом Российской Федерации.",Земельный кодекс РФ.txt,201968,202125,"1. Землями водного фонда являются земли, на которых находятся поверхностные водные объекты."
Что такое земли запаса?,"К землям запаса относятся земли, находящиеся в государственной или муниципальной собственности и не предоставленные гражданам или юридическим лицам, за исключением земель фонда перераспределения (статья 103 Земельного кодекса Российской20 Федерации).",Земельный кодекс РФ.txt,202671,202946,"1. К землям запаса относятся земли, находящиеся в государственной или муниципальной собственности и не предоставленные гражданам или юридическим лицам, за исключением земель фонда перераспределения земель, формируемого в соответствии со статьей 80 настоящего Кодекса."
Что такое изъятие земельного участка для государственных или муниципальных нужд?,"Изъятие земельных участков для государственных или муниципальных нужд допускается в исключительных случаях, связанных с реализацией международных договоров Российской Федерации, размещением объектов федерального, регионального или местного значения21 при отсутствии других возможных вариантов размещения этих объектов (статья 49 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,148815,149146,"Изъятие земельных участков для государственных или муниципальных нужд осуществляется в исключительных случаях по основаниям, связанным с:; 1) выполнением международных договоров Российской Федерации;; 2) строительством, реконструкцией следующих объектов государственного значения (объектов федерального значения, объектов регионального значения) или объектов местного значения;"
В каком порядке осуществляется изъятие земельного участка для государственных или муниципальных нужд?,Порядок изъятия земельных участков для государственных или муниципальных нужд регулируется статьями 56.1-56.11 Земельного кодекса Российской Федерации. Собственнику земельного22 участка выплачивается компенсация за изымаемый земельный участок и находящиеся на нем объекты недвижимости.,Земельный кодекс РФ.txt,147083,156559,"Статья 56.3. Условия изъятия земельных участков для государственных или муниципальных нужд; Статья 56.4. Ходатайство об изъятии земельного участка для государственных или муниципальных нужд; Статья 56.5. Выявление лиц, земельные участки и (или) расположенные на них объекты недвижимого имущества которых подлежат изъятию для государственных или муниципальных нужд; Статья 56.6. Решение об изъятии земельных участков для государственных или муниципальных нужд; Статья 56.7. Подготовка соглашения об изъятии земельных участков и (или) расположенных на них объектов недвижимого имущества для государственных или муниципальных нужд; Статья 56.8. Особенности определения размера возмещения в связи с изъятием земельных участков для государственных или муниципальных нужд; Статья 56.9. Соглашение об изъятии недвижимости для государственных или муниципальных нужд; Статья 56.10. Заключение соглашения об изъятии недвижимости для государственных или муниципальных нужд; Статья 56.11. Прекращение и переход прав на земельный участок и (или) расположенные на нем объекты недвижимого имущества в связи с их изъятием для государственных или муниципальных нужд"
Что такое государственный земельный надзор?,Государственный земельный надзор осуществляется уполномоченными федеральными органами исполнительной власти в целях обеспечения соблюдения земельного законодательства (статья 71 Земельного кодекса Российской23 Федерации).,Земельный кодекс РФ.txt,179609,181093,"1. Государственный земельный надзор осуществляется федеральными органами исполнительной власти, уполномоченными Правительством Российской Федерации (за исключением осуществления государственного земельного надзора в части соблюдения обязательных требований в области охраны окружающей среды на предоставленных подведомственным федеральному органу исполнительной власти в области обеспечения безопасности организациям земельных участках, на которых расположены объекты, используемые такими организациями), и подразделением федерального органа исполнительной власти в области обеспечения безопасности в части соблюдения обязательных требований в области охраны окружающей среды на предоставленных подведомственным такому органу организациям земельных участках, на которых расположены объекты, используемые такими организациями (далее также - органы государственного земельного надзора)."
Какие виды нарушений земельного законодательства существуют?,"К нарушениям земельного законодательства относятся, в частности, самовольное занятие земельного участка, использование земельного участка не по целевому назначению, неисполнение обязанностей по содержанию и использованию земельного участка (статья 71 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,179830,180161,"2. Предметом государственного земельного надзора являются:; 1) соблюдение юридическими лицами, индивидуальными предпринимателями, гражданами, органами государственной власти и органами местного самоуправления обязательных требований к использованию и охране объектов земельных отношений, за нарушение которых законодательством Российской Федерации предусмотрена административная ответственность;"
Какая ответственность предусмотрена за нарушение земельного законодательства?,"За нарушение земельного законодательства предусмотрена административная, гражданско-правовая и уголовная ответственность в соответствии с законодательством Российской Федерации.",Земельный кодекс РФ.txt,183780,184141,"Глава XIII. Ответственность за правонарушения в области охраны и использования земель; Статья 74. Административная и уголовная ответственность за земельные правонарушения; 1. Лица, виновные в совершении земельных правонарушений, несут административную или уголовную ответственность в порядке, установленном законодательством.; 2. Привлечение лица, виновного в совершении земельных правонарушений, к уголовной или административной ответственности не освобождает его от обязанности устранить допущенные земельные правонарушения и возместить причиненный ими вред."
Что такое муниципальный земельный контроль?,"Муниципальный земельный контроль осуществляется органами местного самоуправления в целях контроля за соблюдением земельного законодательства в отношении земельных участков, находящихся в пределах границ муниципального образования (статья 72 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,182319,182834,"1. Муниципальный земельный контроль осуществляется уполномоченными органами местного самоуправления в соответствии с положением, утверждаемым представительным органом муниципального образования, а в случае, если полномочия по осуществлению муниципального земельного контроля перераспределены и осуществляются органами государственной власти субъектов Российской Федерации, муниципальный земельный контроль осуществляется в соответствии с положением, утверждаемым уполномоченными органами государственной власти субъектов Российской Федерации."
Что такое фонд перераспределения земель?,"Фонд перераспределения земель формируется за счет земельных участков, находящихся в государственной или муниципальной собственности и переданных в этот фонд в случаях, предусмотренных федеральными законами и законами субъектов Российской Федерации (статья 80 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,187076,187449,"2. Фонд перераспределения земель формируется за счет земельных участков из земель сельскохозяйственного назначения, поступающих в этот фонд в случае приобретения Российской Федерацией, субъектом Российской Федерации или муниципальным образованием права собственности на земельный участок по основаниям, установленным федеральными законами, за исключением случаев приобретения права собственности на земельный участок, изъятый для государственных или муниципальных нужд."
Для каких целей используются земли фонда перераспределения?,"Земли фонда перераспределения используются для сельскохозяйственных нужд, в том числе для предоставления гражданам и юридическим лицам для ведения сельского хозяйства (статья 80 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,187450,187864,"3. Использование земель фонда перераспределения земель осуществляется в соответствии со статьей 78 настоящего Кодекса в порядке, установленном законами и иными нормативными правовыми актами Российской Федерации.; 4. Сведения о наличии земель в фонде перераспределения земель являются общедоступными."
Что такое земли лесничеств и лесопарков?,Земли лесничеств и лесопарков являются землями лесного фонда (статья 101 Земельного кодекса Российской Федерации).,Земельный кодекс РФ.txt,201531,201734,"1. К землям лесного фонда относятся лесные земли и нелесные земли, состав которых устанавливается лесным законодательством."
Что такое прибрежная защитная полоса водного объекта?,Прибрежная защитная полоса устанавливается вдоль береговой линии (границы водного объекта) и является территорией с особым режимом использования (статья 65 Водного кодекса Российской Федерации).,Земельный кодекс РФ.txt,,,
Какие ограничения действуют в пределах прибрежной защитной полосы?,"В пределах прибрежной защитной полосы действуют ограничения на хозяйственную и иную деятельность, установленные Водным кодексом Российской Федерации.",Земельный кодекс РФ.txt,,,
Что такое санитарно-защитная зона?,"Санитарно-защитные зоны устанавливаются вокруг объектов и производств, являющихся источниками воздействия на среду обитания и здоровье человека (статья 42 Федерального закона от 30 марта 1999 г. N 52-ФЗ).",Земельный кодекс РФ.txt,204058,204132,3) санитарно-защитные зоны и зоны ограничения передающего радиотехнического объекта
Какие ограничения действуют в пределах санитарно-защитной зоны?,"В пределах санитарно-защитной зоны действуют ограничения на размещение жилой застройки, объектов социальной инфраструктуры и других объектов, не связанных с деятельностью объекта, для которого установлена санитарно-защитная зона.",Земельный кодекс РФ.txt,211181,211719,"2. В целях, предусмотренных пунктом 1 настоящей статьи, в границах зон с особыми условиями использования территорий устанавливаются ограничения использования земельных участков, которые распространяются на все, что находится над и под поверхностью земель, если иное не предусмотрено законами о недрах, воздушным и водным законодательством, и ограничивают или запрещают размещение и (или) использование расположенных на таких земельных участках объектов недвижимого имущества и (или) ограничивают или запрещают использование земельных участков для осуществления иных видов деятельности, которые несовместимы с целями установления зон с особыми условиями использования территорий."
Что такое зона с особыми условиями использования территории?,"Зонами с особыми условиями использования территории являются охранные зоны, санитарно-защитные зоны, зоны охраны объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, водоохранные зоны, зоны санитарной охраны источников питьевого и хозяйственно-бытового водоснабжения, зоны залегания полезных ископаемых, зоны отчуждения, иные зоны, устанавливаемые в соответствии с законодательством Российской Федерации (статья 1 Градостроительного кодекса Российской Федерации, применяется по аналогии).",Земельный кодекс РФ.txt,145661,145849,"1) ограничения использования земельных участков в зонах с особыми условиями использования территорий;; 2) особые условия охраны окружающей среды, в том числе животного и растительного мира, памятников природы, истории и культуры, археологических объектов, сохранения плодородного слоя почвы, естественной среды обитания, путей миграции диких животных;"
Как узнать о наличии зон с особыми условиями использования территории в отношении земельного участка?,Информация о наличии зон с особыми условиями использования территории должна быть отражена в документах24 государственного кадастра недвижимости и правилах землепользования и застройки.,Земельный кодекс РФ.txt,,,
"Что делать, если мои права на земельный участок нарушены?","В случае нарушения прав на земельный участок собственник, владелец, пользователь или арендатор вправе обратиться в суд за защитой своих прав в порядке, установленном гражданским процессуальным законодательством (статья 60 Земельного кодекса Российской Федерации).",Земельный кодекс РФ.txt,174218,174293,1. Нарушенное право на земельный участок подлежит восстановлению в случаях:
